geography,year,dentist_count,dentists_per_100k_population,population
Alabama,2001,1889,42.28188791,4467634
Alabama,2002,1866,41.65095827,4480089
Alabama,2003,1878,41.70098264,4503491
Alabama,2004,1882,41.53856918,4530729
Alabama,2005,1867,40.85513496,4569805
Alabama,2006,1909,41.24017791,4628981
Alabama,2007,1927,41.23830476,4672840
Alabama,2008,1947,41.26568446,4718206
Alabama,2009,1968,41.36245575,4757938
Alabama,2010,2027,42.40819995,4779736
Alabama,2011,2046,42.63326908,4799069
Alabama,2012,2106,43.73297716,4815588
Alabama,2013,2132,44.14004651,4830081
Alabama,2014,2124,43.86799204,4841799
Alabama,2015,2123,43.75202351,4852347
Alabama,2016,2103,43.24024242,4863525
Alabama,2017,1971,40.43503253,4874486
Alabama,2018,2042,41.77850396,4887681
Alabama,2019,2009,40.97336731,4903185
Alaska,2001,460,72.58794977,633714
Alaska,2002,450,70.05668364,642337
Alaska,2003,461,71.09655251,648414
Alaska,2004,473,71.74428093,659286
Alaska,2005,496,74.36883946,666946
Alaska,2006,492,72.85629244,675302
Alaska,2007,509,74.81993238,680300
Alaska,2008,525,76.36863504,687455
Alaska,2009,540,77.26482519,698895
Alaska,2010,550,77.4395936,710231
Alaska,2011,559,77.41009904,722128
Alaska,2012,579,79.26696539,730443
Alaska,2013,581,78.82583425,737068
Alaska,2014,588,79.86059708,736283
Alaska,2015,605,82.03412077,737498
Alaska,2016,565,76.20141991,741456
Alaska,2017,588,79.49168582,739700
Alaska,2018,601,81.75324666,735139
Alaska,2019,589,80.51452747,731545
Arizona,2001,2349,44.54366635,5273477
Arizona,2002,2419,44.82738492,5396255
Arizona,2003,2597,47.12937294,5510364
Arizona,2004,2730,48.2980339,5652404
Arizona,2005,2925,50.09353362,5839077
Arizona,2006,3053,50.63739594,6029141
Arizona,2007,3144,50.97539902,6167681
Arizona,2008,3308,52.67212304,6280362
Arizona,2009,3396,53.53803486,6343154
Arizona,2010,3441,53.83277297,6392017
Arizona,2011,3471,53.62569819,6472643
Arizona,2012,3531,53.86745768,6554978
Arizona,2013,3613,54.47201197,6632764
Arizona,2014,3608,53.60740864,6730413
Arizona,2015,3669,53.72143569,6829676
Arizona,2016,3727,53.69487595,6941072
Arizona,2017,3796,53.88977412,7044008
Arizona,2018,3903,54.5262212,7158024
Arizona,2019,4012,55.11960418,7278717
Arkansas,2001,1027,38.1561549,2691571
Arkansas,2002,1032,38.13850115,2705927
Arkansas,2003,1066,39.12190768,2724816
Arkansas,2004,1066,38.76806297,2749686
Arkansas,2005,1088,39.12125323,2781097
Arkansas,2006,1113,39.44345393,2821761
Arkansas,2007,1102,38.68499114,2848650
Arkansas,2008,1121,38.99735402,2874554
Arkansas,2009,1146,39.56030755,2896843
Arkansas,2010,1156,39.64446188,2915918
Arkansas,2011,1171,39.82089778,2940667
Arkansas,2012,1191,40.34328716,2952164
