sex,age,year,percent
all,under 35,2001,15.35
all,under 35,2002,14.84
all,under 35,2003,14.81
all,under 35,2004,14.53
all,under 35,2005,14.63
all,under 35,2006,14.62
all,under 35,2007,15.04
all,under 35,2008,14.98
all,under 35,2009,14.86
all,under 35,2010,14.71
all,under 35,2011,14.97
all,under 35,2012,15.08
all,under 35,2013,15.13
all,under 35,2014,14.93
all,under 35,2015,15.52
all,under 35,2016,15.74
all,under 35,2017,16.27
all,under 35,2018,16.9
all,under 35,2019,17
all,35 - 44,2001,25.76
all,35 - 44,2002,25.42
all,35 - 44,2003,24.71
all,35 - 44,2004,24.41
all,35 - 44,2005,23.95
all,35 - 44,2006,23.41
all,35 - 44,2007,23.13
all,35 - 44,2008,22.9
all,35 - 44,2009,22.88
all,35 - 44,2010,22.86
all,35 - 44,2011,22.84
all,35 - 44,2012,22.91
all,35 - 44,2013,23.06
all,35 - 44,2014,23.19
all,35 - 44,2015,23.19
all,35 - 44,2016,23.15
all,35 - 44,2017,23.25
all,35 - 44,2018,23.4
all,35 - 44,2019,23.6
all,45 - 54,2001,31.92
all,45 - 54,2002,31.89
all,45 - 54,2003,31.63
all,45 - 54,2004,30.96
all,45 - 54,2005,30.38
all,45 - 54,2006,29.78
all,45 - 54,2007,28.77
all,45 - 54,2008,27.62
all,45 - 54,2009,26.25
all,45 - 54,2010,25.12
all,45 - 54,2011,23.87
all,45 - 54,2012,22.84
all,45 - 54,2013,22.05
all,45 - 54,2014,21.79
all,45 - 54,2015,21.52
all,45 - 54,2016,21.44
all,45 - 54,2017,21.16
all,45 - 54,2018,21.1
all,45 - 54,2019,21.4
all,55 - 64,2001,18.25
all,55 - 64,2002,19.42
all,55 - 64,2003,20.58
all,55 - 64,2004,21.58
all,55 - 64,2005,22.32
all,55 - 64,2006,23.23
all,55 - 64,2007,23.91
all,55 - 64,2008,24.66
all,55 - 64,2009,25.45
all,55 - 64,2010,26.05
all,55 - 64,2011,26.07
all,55 - 64,2012,25.88
all,55 - 64,2013,25.72
all,55 - 64,2014,25.41
all,55 - 64,2015,24.82
all,55 - 64,2016,24.35
all,55 - 64,2017,23.47
all,55 - 64,2018,22.8
all,55 - 64,2019,21.9
all,65+,2001,8.72
all,65+,2002,8.43
all,65+,2003,8.27
all,65+,2004,8.52
all,65+,2005,8.72
all,65+,2006,8.97
all,65+,2007,9.15
all,65+,2008,9.84
all,65+,2009,10.56
all,65+,2010,11.26
all,65+,2011,12.25
all,65+,2012,13.29
all,65+,2013,14.05
all,65+,2014,14.67
all,65+,2015,14.95
all,65+,2016,15.32
all,65+,2017,15.85
all,65+,2018,15.8
all,65+,2019,16.1
male,under 35,2001,12.13
male,under 35,2002,11.68
male,under 35,2003,11.52
male,under 35,2004,11.11
male,under 35,2005,10.93
male,under 35,2006,10.67
male,under 35,2007,10.93
male,under 35,2008,10.86
male,under 35,2009,10.55
male,under 35,2010,10.27
male,under 35,2011,10.42
male,under 35,2012,10.58
male,under 35,2013,10.63
male,under 35,2014,10.4
male,under 35,2015,10.69
male,under 35,2016,10.84
male,under 35,2017,11.47
male,under 35,2018,12.2
male,under 35,2019,12.4
male,35 - 44,2001,23.02
male,35 - 44,2002,22.46
male,35 - 44,2003,21.63
male,35 - 44,2004,21.11
male,35 - 44,2005,20.55
male,35 - 44,2006,19.94
male,35 - 44,2007,19.55
male,35 - 44,2008,19.27
male,35 - 44,2009,19.21
male,35 - 44,2010,19.24
male,35 - 44,2011,19.29
male,35 - 44,2012,19.36
male,35 - 44,2013,19.43
male,35 - 44,2014,19.47
male,35 - 44,2015,19.49
male,35 - 44,2016,19.39
male,35 - 44,2017,19.45
male,35 - 44,2018,19.6
male,35 - 44,2019,19.7
male,45 - 54,2001,33.65
male,45 - 54,2002,33.37
male,45 - 54,2003,32.91
male,45 - 54,2004,32.05
male,45 - 54,2005,31.33
male,45 - 54,2006,30.59
male,45 - 54,2007,29.4
male,45 - 54,2008,27.96
male,45 - 54,2009,26.33
male,45 - 54,2010,24.9
male,45 - 54,2011,23.44
male,45 - 54,2012,22.17
male,45 - 54,2013,21.21
male,45 - 54,2014,20.88
male,45 - 54,2015,20.59
male,45 - 54,2016,20.44
male,45 - 54,2017,20.18
male,45 - 54,2018,20.2
male,45 - 54,2019,20.5
male,55 - 64,2001,20.99
male,55 - 64,2002,22.52
male,55 - 64,2003,24.05
male,55 - 64,2004,25.42
male,55 - 64,2005,26.5
male,55 - 64,2006,27.67
male,55 - 64,2007,28.59
male,55 - 64,2008,29.42
male,55 - 64,2009,30.37
male,55 - 64,2010,31.05
male,55 - 64,2011,30.91
male,55 - 64,2012,30.47
male,55 - 64,2013,30.14
male,55 - 64,2014,29.67
male,55 - 64,2015,29.08
male,55 - 64,2016,28.52
male,55 - 64,2017,27.3
male,55 - 64,2018,26.4
male,55 - 64,2019,25.3
male,65+,2001,10.21
male,65+,2002,9.97
male,65+,2003,9.89
male,65+,2004,10.3
male,65+,2005,10.69
male,65+,2006,11.12
male,65+,2007,11.53
male,65+,2008,12.5
male,65+,2009,13.54
male,65+,2010,14.54
male,65+,2011,15.95
male,65+,2012,17.42
male,65+,2013,18.59
male,65+,2014,19.58
male,65+,2015,20.15
male,65+,2016,20.82
male,65+,2017,21.6
male,65+,2018,21.6
male,65+,2019,22.1
female,under 35,2001,31.88
female,under 35,2002,29.7
female,under 35,2003,28.88
female,under 35,2004,27.65
female,under 35,2005,27.43
female,under 35,2006,26.93
female,under 35,2007,27.23
female,under 35,2008,26.51
female,under 35,2009,25.72
female,under 35,2010,25.13
female,under 35,2011,25.51
female,under 35,2012,26.14
female,under 35,2013,25.64
female,under 35,2014,24.34
female,under 35,2015,24.32
female,under 35,2016,23.73
female,under 35,2017,24.4
female,under 35,2018,24.8
female,under 35,2019,24.6
female,35 - 44,2001,40.22
female,35 - 44,2002,40.03
female,35 - 44,2003,38.94
female,35 - 44,2004,38.74
female,35 - 44,2005,37.8
female,35 - 44,2006,36.84
female,35 - 44,2007,35.84
female,35 - 44,2008,35.28
female,35 - 44,2009,34.85
female,35 - 44,2010,34.16
female,35 - 44,2011,33.36
female,35 - 44,2012,32.64
female,35 - 44,2013,32.38
female,35 - 44,2014,32.46
female,35 - 44,2015,31.99
female,35 - 44,2016,31.8
female,35 - 44,2017,31.37
female,35 - 44,2018,31
female,35 - 44,2019,30.7
female,45 - 54,2001,22.99
female,45 - 54,2002,24.91
female,45 - 54,2003,26.2
female,45 - 54,2004,26.85
female,45 - 54,2005,27.35
female,45 - 54,2006,27.78
female,45 - 54,2007,27.48
female,45 - 54,2008,27.48
female,45 - 54,2009,27.1
female,45 - 54,2010,27.03
female,45 - 54,2011,26.23
female,45 - 54,2012,25.28
female,45 - 54,2013,24.88
female,45 - 54,2014,24.93
female,45 - 54,2015,24.77
female,45 - 54,2016,24.83
female,45 - 54,2017,24.14
female,45 - 54,2018,23.7
female,45 - 54,2019,23.7
female,55 - 64,2001,3.97
female,55 - 64,2002,4.4
female,55 - 64,2003,4.99
female,55 - 64,2004,5.63
female,55 - 64,2005,6.29
female,55 - 64,2006,7.3
female,55 - 64,2007,8.34
female,55 - 64,2008,9.51
female,55 - 64,2009,10.86
female,55 - 64,2010,12.01
female,55 - 64,2011,13.05
female,55 - 64,2012,13.84
female,55 - 64,2013,14.75
female,55 - 64,2014,15.6
female,55 - 64,2015,15.84
female,55 - 64,2016,16.19
female,55 - 64,2017,16.17
female,55 - 64,2018,16.2
female,55 - 64,2019,16.1
female,65+,2001,0.94
female,65+,2002,0.96
female,65+,2003,0.99
female,65+,2004,1.13
female,65+,2005,1.13
female,65+,2006,1.15
female,65+,2007,1.12
female,65+,2008,1.22
female,65+,2009,1.46
female,65+,2010,1.67
female,65+,2011,1.85
female,65+,2012,2.1
female,65+,2013,2.35
female,65+,2014,2.67
female,65+,2015,3.08
female,65+,2016,3.46
female,65+,2017,3.92
female,65+,2018,4.3
female,65+,2019,4.9
male,all,2001,83.97
male,all,2002,83.03
male,all,2003,82.07
male,all,2004,81.02
male,all,2005,80
male,all,2006,79.23
male,all,2007,78.06
male,all,2008,77.46
male,all,2009,76.56
male,all,2010,75.91
male,all,2011,74.95
male,all,2012,73.83
male,all,2013,72.98
male,all,2014,72.21
male,all,2015,71.13
male,all,2016,70.23
male,all,2017,69.03
male,all,2018,67.7
male,all,2019,66.6
female,all,2001,16.03
female,all,2002,16.97
female,all,2003,17.93
female,all,2004,18.98
female,all,2005,20
female,all,2006,20.77
female,all,2007,21.94
female,all,2008,22.54
female,all,2009,23.44
female,all,2010,24.09
female,all,2011,25.05
female,all,2012,26.17
female,all,2013,27.02
female,all,2014,27.79
female,all,2015,28.87
female,all,2016,29.77
female,all,2017,30.97
female,all,2018,32.3
female,all,2019,33.4
