year,geo_abr,geo_name,question,value,topic,unit,break_out,indicator
2013,RI,Rhode Island,Current state dental director,Yes,Leadership,,,Current state dental director
2011,OR,Oregon,Current state dental director,Yes,Leadership,,,Current state dental director
2012,NJ,New Jersey,Current state dental director,Yes,Leadership,,,Current state dental director
2012,OK,Oklahoma,Years in current dental director position,3,Leadership,years,,Years in current dental director position
2018,MT,Montana,Years in current dental director position,4,Leadership,years,,Years in current dental director position
2017,MO,Missouri,Years in current dental director position,1,Leadership,years,,Years in current dental director position
2011,IN,Indiana,Current state dental director,Yes,Leadership,,,Current state dental director
2015,AL,Alabama,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2016,TN,Tennessee,Years in current dental director position,1,Leadership,years,,Years in current dental director position
2017,AK,Alaska,Current state dental director,Yes,Leadership,,,Current state dental director
2020,ND,North Dakota,Years in current dental director position,1,Leadership,years,,Years in current dental director position
2017,TX,Texas,Current state dental director,Yes,Leadership,,,Current state dental director
2015,KS,Kansas,Years in current dental director position,< 1,Leadership,years,,Years in current dental director position
2013,NV,Nevada,Years in current dental director position,< 1,Leadership,years,,Years in current dental director position
2016,AZ,Arizona,Current state dental director,Yes,Leadership,,,Current state dental director
2019,HI,Hawaii,Current state dental director,Permanent,Leadership,,,Current state dental director
2017,HI,Hawaii,Current state dental director,Yes,Leadership,,,Current state dental director
2012,IA,Iowa,Years in current dental director position,7,Leadership,years,,Years in current dental director position
2017,MT,Montana,Current state dental director,Yes,Leadership,,,Current state dental director
2015,CA,California,Years in current dental director position,7,Leadership,years,,Years in current dental director position
2020,GA,Georgia,Current state dental director,Yes,Leadership,,,Current state dental director
2020,AK,Alaska,Current state dental director,No,Leadership,,,Current state dental director
2011,ID,Idaho,Current state dental director,No,Leadership,,,Current state dental director
2018,NJ,New Jersey,Current state dental director,Yes,Leadership,,,Current state dental director
2014,MN,Minnesota,Current state dental director,Yes,Leadership,,,Current state dental director
2014,SD,South Dakota,Current state dental director,Yes,Leadership,,,Current state dental director
2013,MN,Minnesota,Current state dental director,Yes,Leadership,,,Current state dental director
2015,WY,Wyoming,Years in current dental director position,< 1,Leadership,years,,Years in current dental director position
2013,MA,Massachusetts,Current state dental director,No,Leadership,,,Current state dental director
2018,WA,Washington,Years in current dental director position,5,Leadership,years,,Years in current dental director position
2020,CT,Connecticut,Current state dental director,Yes,Leadership,,,Current state dental director
2016,AL,Alabama,Current state dental director,Yes,Leadership,,,Current state dental director
2017,NM,New Mexico,Years in current dental director position,11,Leadership,years,,Years in current dental director position
2015,MA,Massachusetts,Current state dental director,Yes,Leadership,,,Current state dental director
2015,KY,Kentucky,"Statewide, broad-based oral health coalition",Yes,Leadership,,,"Statewide, broad-based oral health coalition"
2018,VT,Vermont,Prevention Programs,No,Programs,,Dental screening programs,Prevention Programs: Dental screening programs
2019,OK,Oklahoma,Current state dental director,Permanent,Leadership,,,Current state dental director
2011,HI,Hawaii,Prevention Programs,No,Programs,,Fluoride varnish programs,Prevention Programs: Fluoride varnish programs
2011,MD,Maryland,Years in current dental director position,9,Leadership,years,,Years in current dental director position
2017,NC,North Carolina,Current state dental director,Yes,Leadership,,,Current state dental director
