PWS_ID,state,water_system_id,PWS_name,county,population,fluorided_status,fluoride_conc
IL-0010050,IL,10050,CAMP POINT,Adams ,1083,Yes,0.7
IL-0010100,IL,10100,CLAYTON,Adams ,678,Yes,0.7
IL-0010250,IL,10250,GOLDEN,Adams ,616,Yes,0.7
IL-0010300,IL,10300,LA PRAIRIE,Adams ,45,Yes,0.7
IL-0010350,IL,10350,LIBERTY,Adams ,494,Yes,0.7
IL-0010400,IL,10400,LIMA,Adams ,156,Yes,0.7
IL-0010450,IL,10450,LORAINE,Adams ,300,Yes,0.7
IL-0010500,IL,10500,MENDON,Adams ,912,Yes,0.7
IL-0010550,IL,10550,PAYSON,Adams ,982,Yes,0.7
IL-0010600,IL,10600,PLAINVILLE,Adams ,253,Yes,0.7
IL-0010650,IL,10650,QUINCY,Adams ,43062,Yes,0.7
IL-0010700,IL,10700,URSA,Adams ,599,Yes,0.7
IL-0015150,IL,15150,ADAMS CNTY WATER DSTRCT #1,Adams ,838,Yes,0.7
IL-0015200,IL,15200,CLAYTON-CAMP POINT WTR CMSN,Adams ,2189,Yes,0.7
IL-0015300,IL,15300,MILL CREEK PWD,Adams ,5237,Yes,0.7
IL-0015350,IL,15350,ABS WTR COOP,Adams ,6623,Yes,0.7
IL-0015545,IL,15545,EXPRESSWAY MHP,Adams ,94,No,0.35
IL-0015815,IL,15815,T&ampC MOBILE ESTATES MHP,Adams ,215,Yes,0.7
IL-0030020,IL,30020,SOUTH WATER INC,Alexander ,2236,Yes,0.7
IL-0030100,IL,30100,TAMMS,Alexander ,610,Yes,0.7
IL-0030150,IL,30150,THEBES,Alexander ,422,Yes,0.7
IL-0035030,IL,35030,IL AMERICAN -CAIRO,Alexander ,2796,Yes,0.7
IL-0035050,IL,35050,MCCLURE-EAST CAPE PWD,Alexander ,1095,Yes,0.7
IL-0035100,IL,35100,CENTRAL ALEXANDER CNTY PWD,Alexander ,1550,Yes,0.7
IL-0050020,IL,50020,BOND/MADISON WTR CMPNY,Bond ,5705,Yes,0.7
IL-0050050,IL,50050,GREENVILLE,Bond ,6699,Yes,0.7
IL-0050100,IL,50100,MULBERRY GROVE,Bond ,694,Yes,0.7
IL-0050200,IL,50200,POCAHONTAS,Bond ,819,Yes,0.7
IL-0050250,IL,50250,SMITHBORO,Bond ,191,Yes,0.7
IL-0050300,IL,50300,SORENTO,Bond ,617,Yes,0.7
IL-0054360,IL,54360,DONNELLSON,Bond ,201,Yes,0.7
IL-0054720,IL,54720,PANAMA,Bond ,364,Yes,0.7
IL-0055100,IL,55100,ROYAL LAKE WTR DSTRCT,Bond ,144,Yes,0.7
IL-0070050,IL,70050,BELVIDERE,Boone ,22488,Yes,0.7
IL-0070100,IL,70100,CAPRON,Boone ,958,Yes,0.7
IL-0070150,IL,70150,POPLAR GROVE,Boone ,1435,Yes,0.7
IL-0070300,IL,70300,POPLAR GROVE SOUTH,Woodford ,1148,Yes,0.7
IL-0070350,IL,70350,POPLAR GROVE WEST-COUNTRYSIDE,Woodford ,479,Yes,0.7
IL-0075050,IL,75050,AQUA  IL WTR CANDLEWICK,Boone ,6124,Yes,0.7
IL-0075105,IL,75105,CAPRON MHP,Boone ,94,No,0.32
IL-0075235,IL,75235,PARK MEADOWLAND WEST MHP,Boone ,96,No,0.15
IL-0075275,IL,75275,OAK LAWN MHP,Boone ,414,No,0.18
IL-0075289,IL,75289,MAPLE CREST NH,Boone ,75,No,0.19
IL-0090050,IL,90050,MOUND STATION,Brown ,117,Yes,0.7
IL-0090100,IL,90100,MOUNT STERLING,Brown ,3130,Yes,0.7
IL-0090150,IL,90150,RIPLEY,Brown ,239,Yes,0.7
IL-0090200,IL,90200,VERSAILLES,Brown ,457,Yes,0.7
IL-0110010,IL,110010,HOLLOWAYVILLE,Bureau ,86,Yes,0.7
IL-0110020,IL,110020,NEW BEDFORD,Bureau ,62,No,0
IL-0110050,IL,110050,ARLINGTON,Bureau ,144,Yes,0.7
IL-0110100,IL,110100,BUDA,Bureau ,574,Yes,1.48
IL-0110150,IL,110150,BUREAU JUNCTION,Bureau ,352,Yes,6.58
IL-0110200,IL,110200,CHERRY,Bureau ,469,Yes,0.7
IL-0110250,IL,110250,DALZELL,Bureau ,686,Yes,0.7
IL-0110300,IL,110300,DE PUE,Bureau ,1763,Yes,0.7
IL-0110350,IL,110350,DOVER,Bureau ,162,Yes,0.7
IL-0110450,IL,110450,LADD,Bureau ,1256,Yes,0.7
IL-0110500,IL,110500,LA MOILLE,Bureau ,715,Yes,0.7
IL-0110550,IL,110550,MALDEN,Bureau ,354,Yes,0.7
IL-0110600,IL,110600,MANLIUS,Bureau ,344,Yes,0.7
IL-0110650,IL,110650,MINERAL,Bureau ,287,Yes,0.7
IL-0110700,IL,110700,NEPONSET,Bureau ,497,Yes,0.83
IL-0110800,IL,110800,OHIO,Bureau ,520,Yes,0.7
IL-0110850,IL,110850,PRINCETON,Bureau ,7369,Yes,0.7
IL-0110900,IL,110900,SEATONVILLE,Bureau ,290,Yes,0.7
IL-0110950,IL,110950,SHEFFIELD,Bureau ,957,Yes,0.7
IL-0111000,IL,111000,SPRING VALLEY,Bureau ,5167,Yes,0.7
IL-0111050,IL,111050,TISKILWA,Bureau ,794,Yes,0.7
IL-0111100,IL,111100,WALNUT,Bureau ,1398,Yes,0.7
IL-0111150,IL,111150,WYANET,Bureau ,900,Yes,0.7
IL-0115000,IL,115000,VAN ORIN WTR CMPNY,Bureau ,96,Yes,0.7
IL-0115135,IL,115135,MAPLE ACRES MHP,Bureau ,239,No,0.44
IL-0115429,IL,115429,ORCHARD VIEW REHAB & HLTH CARE CTR,Bureau ,227,No,0.27
IL-0115525,IL,115525,THE GROVE MHP,Bureau ,96,No,0.55
IL-0130010,IL,130010,CALHOUN CNTY RWD,Calhoun ,3646,Yes,0.7
IL-0130050,IL,130050,BATCHTOWN,Calhoun ,278,Yes,0.7
IL-0130100,IL,130100,BRUSSELS,Calhoun ,234,Yes,0.7
IL-0130200,IL,130200,HARDIN,Calhoun ,957,Yes,0.7
IL-0130250,IL,130250,KAMPSVILLE,Calhoun ,383,Yes,0.7
IL-0150020,IL,150020,CENTURY PINES APTS,Carroll ,48,No,0.21
IL-0150050,IL,150050,CHADWICK,Carroll ,483,Yes,0.7
IL-0150100,IL,150100,LANARK,Carroll ,1531,Yes,0.7
IL-0150150,IL,150150,MILLEDGEVILLE,Carroll ,1053,Yes,0.7
IL-0150200,IL,150200,MOUNT CARROLL,Carroll ,1789,Yes,0.7
IL-0150250,IL,150250,SAVANNA,Carroll ,2930,Yes,0.7
IL-0150300,IL,150300,SHANNON,Carroll ,725,Yes,0.7
IL-0150350,IL,150350,THOMSON,Carroll ,718,Yes,0.7
IL-0155077,IL,155077,SAVANNA ARMY DEPOT,Carroll ,431,No,0.2
IL-0155200,IL,155200,CARROLL HTS UTILITIES CO.,Carroll ,77,Yes,0.7
IL-0170010,IL,170010,CASS RURAL WATER DISTRICT,Sangamon ,261,Yes,0.7
IL-0170050,IL,170050,ARENZVILLE,Cass ,401,Yes,0.7
IL-0170100,IL,170100,ASHLAND,Cass ,1276,Yes,0.7
IL-0170150,IL,170150,BEARDSTOWN,Cass ,5859,Yes,0.7
IL-0170200,IL,170200,CHANDLERVILLE,Cass ,574,Yes,0.7
IL-0170250,IL,170250,VIRGINIA,Cass ,1542,Yes,0.7
IL-0190030,IL,190030,D AND R APTS,Champaign ,17,No,0
IL-0190040,IL,190040,YOUNG'S HILLCREST MHP,Champaign ,33,No,0.3
IL-0190050,IL,190050,BROADLANDS,Champaign ,316,Yes,0.7
IL-0190060,IL,190060,SEYMOUR WATER DISTRICT,Champaign ,335,Yes,0.7
IL-0190070,IL,190070,OAKS OF ILLINOIS LLC MHP,Champaign ,268,Yes,0.7
IL-0190150,IL,190150,FISHER,Champaign ,1576,Yes,0.7
IL-0190250,IL,190250,GIFFORD,Champaign ,933,Yes,0.7
IL-0190300,IL,190300,HOMER,Champaign ,1148,Yes,0.7
IL-0190350,IL,190350,LONGVIEW,Champaign ,146,Yes,0.7
IL-0190400,IL,190400,LUDLOW,Champaign ,310,Yes,0.7
IL-0190450,IL,190450,MAHOMET,Champaign ,5536,Yes,0.7
IL-0190500,IL,190500,OGDEN,Champaign ,718,Yes,0.7
IL-0190550,IL,190550,PESOTUM,Champaign ,544,Yes,0.7
IL-0190600,IL,190600,AQUA IL- PHILO,Champaign ,1244,Yes,0.7
IL-0190650,IL,190650,RANTOUL,Champaign ,12440,Yes,0.7
IL-0190700,IL,190700,ROYAL,Champaign ,297,Yes,0.7
IL-0190750,IL,190750,SADORUS WATER,Champaign ,408,Yes,0.7
IL-0190850,IL,190850,SIDNEY,Champaign ,1196,Yes,0.7
IL-0190950,IL,190950,THOMASBORO,Champaign ,1180,Yes,0.7
IL-0191000,IL,191000,TOLONO,Champaign ,2584,Yes,0.7
IL-0194560,IL,194560,IVESDALE,Champaign ,344,Yes,0.7
IL-0195100,IL,195100,PENFIELD PWD,Champaign ,144,Yes,0.7
IL-0195150,IL,195150,SANGAMON VALLEY PWD,Champaign ,3933,Yes,0.7
IL-0195200,IL,195200,DEWEY PWD,Champaign ,191,Yes,0.7
IL-0195300,IL,195300,IL AMERICAN -CHAMPAIGN,Champaign ,134929,Yes,0.7
IL-0195500,IL,195500,U OF I-CHAMPAIGN,Champaign ,12440,Yes,0.7
IL-0195625,IL,195625,COUNTRY VIEW ESTS MHP,Champaign ,93,No,0.18
IL-0195637,IL,195637,CHANUTE AFB,Champaign ,96,Yes,0.7
IL-0195645,IL,195645,EHLERS MHP,Champaign ,107,No,0.15
IL-0195728,IL,195728,CHERRY ORCHARD APARTMENTS,Champaign ,72,No,0.12
IL-0195825,IL,195825,EAST SIDE MHP,Champaign ,91,No,0.39
IL-0195845,IL,195845,PLEASANT PLAINS MHP,Champaign ,20,No,0
IL-0195865,IL,195865,PRAIRIE VIEW ESTATES MHP,Champaign ,115,No,0.52
IL-0195925,IL,195925,TRIANGLE MHP,Champaign ,86,No,0.52
IL-0195945,IL,195945,FOUNTAIN VALLEY MHP,Champaign ,359,Yes,0.92
IL-0210050,IL,210050,ASSUMPTION,Christian ,1309,Yes,0.7
IL-0210150,IL,210150,EDINBURG,Christian ,1156,Yes,0.7
IL-0210200,IL,210200,JEISYVILLE,Christian ,102,Yes,0.7
IL-0210250,IL,210250,KINCAID,Christian ,1653,Yes,0.7
IL-0210300,IL,210300,MORRISONVILLE,Christian ,1022,Yes,0.7
IL-0210350,IL,210350,MOUNT AUBURN,Christian ,459,Yes,0.7
IL-0210400,IL,210400,OWANECO,Christian ,234,Yes,0.7
IL-0210450,IL,210450,PALMER,Christian ,219,Yes,0.7
IL-0210500,IL,210500,PANA,Christian ,5595,Yes,0.7
IL-0210550,IL,210550,STONINGTON,Christian ,892,Yes,0.7
IL-0210600,IL,210600,TAYLORVILLE,Christian ,15690,Yes,0.7
IL-0210650,IL,210650,TOVEY,Christian ,490,Yes,0.7
IL-0215150,IL,215150,LANGLEYVILLE PWD,Christian ,407,Yes,0.7
IL-0230010,IL,230010,CLARK/EDGAR RURAL WTR DIST,Clark ,5551,Yes,0.7
IL-0230050,IL,230050,CASEY,Clark ,3511,Yes,0.7
IL-0230100,IL,230100,MARSHALL,Clark ,3636,Yes,0.7
IL-0230150,IL,230150,MARTINSVILLE,Clark ,1148,Yes,0.7
IL-0230200,IL,230200,WESTFIELD,Clark ,649,Yes,0.7
IL-0235400,IL,235400,UNION-YORK WTR DSTRCT,Clark ,574,Yes,0.7
IL-0250010,IL,250010,IOLA,Clay ,157,Yes,0.7
IL-0250020,IL,250020,CLAY COUNTY WATER INC.,Clay ,1751,Yes,0.7
IL-0250050,IL,250050,CLAY CITY,Clay ,1027,Yes,0.7
IL-0250100,IL,250100,FLORA,Clay ,5279,Yes,0.7
IL-0250200,IL,250200,LOUISVILLE,Champaign ,1155,Yes,0.7
IL-0250300,IL,250300,XENIA,Clay ,536,Yes,0.7
IL-0270010,IL,270010,CARLYLE NORTH WTR CMPNY,Clinton ,1878,Yes,0.7
IL-0270030,IL,270030,NORTH BREESE WATER ASSN,Clinton ,88,Yes,0.7
IL-0270040,IL,270040,GATEWAY REGIONAL WATER COMPANY,Marion ,1,Yes,0.7
IL-0270050,IL,270050,ALBERS,Clinton ,1049,Yes,0.7
IL-0270100,IL,270100,AVISTON,Clinton ,1962,Yes,0.7
IL-0270150,IL,270150,BARTELSO,Clinton ,574,Yes,0.7
IL-0270200,IL,270200,BECKEMEYER,Clinton ,1105,Yes,0.7
IL-0270250,IL,270250,BREESE,Clinton ,4315,Yes,0.7
IL-0270300,IL,270300,CARLYLE,Clinton ,3336,Yes,0.7
IL-0270350,IL,270350,GERMANTOWN,Clinton ,1398,Yes,0.7
IL-0270400,IL,270400,HOFFMAN,Clinton ,545,Yes,0.7
IL-0270500,IL,270500,TRENTON,Clinton ,2975,Yes,0.7
IL-0274580,IL,274580,KEYESPORT,Clinton ,495,Yes,0.7
IL-0274700,IL,274700,NEW BADEN,Clinton ,3205,Yes,0.7
IL-0275120,IL,275120,CARLYLE SOUTHWEST PWD,Clinton ,1404,Yes,0.7
IL-0275150,IL,275150,CLINTON COUNTY EAST PWD,Clinton ,2364,Yes,0.7
IL-0275200,IL,275200,DAMIANSVILLE,Clinton ,635,Yes,0.7
IL-0275230,IL,275230,HOFFMAN RWD,Clinton ,1103,Yes,0.7
IL-0275250,IL,275250,ST ROSE PWD,Clinton ,1952,Yes,0.7
IL-0275350,IL,275350,NEW MEMPHIS PWD,Clinton ,861,Yes,0.7
IL-0290010,IL,290010,LONGACRE ESTATES MHP,Coles ,359,Yes,0.7
IL-0290050,IL,290050,ASHMORE,Coles ,766,Yes,0.7
IL-0290100,IL,290100,CHARLESTON,Coles ,15694,Yes,0.7
IL-0290150,IL,290150,HUMBOLDT,Coles ,418,Yes,0.7
IL-0290200,IL,290200,LERNA,Coles ,335,Yes,0.7
IL-0290250,IL,290250,MATTOON,Coles ,18182,Yes,0.7
IL-0290300,IL,290300,OAKLAND,Coles ,923,Yes,0.7
IL-0295100,IL,295100,CLEAR WATER SRVC CORP,Coles ,5282,Yes,0.7
IL-0295200,IL,295200,COOKS MILLS WTR ASSN,Coles ,574,Yes,0.7
IL-0295225,IL,295225,LAKEVIEW RANCH MHP,Coles ,48,No,0
IL-0295250,IL,295250,LAKE MATTOON PWD,Coles ,1053,Yes,0.7
IL-0295500,IL,295500,EASTERN IL UNIV,Coles ,5263,Yes,0.7
IL-0310010,IL,310010,PARADISE MHP,Cook ,670,No,0
IL-0310030,IL,310030,ALSIP,Cook ,18399,Yes,0.7
IL-0310060,IL,310060,SUMMIT,Cook ,10953,Yes,0.7
IL-0310080,IL,310080,SUNSET MHP,Cook ,389,Yes,1.2
IL-0310110,IL,310110,FRANCISCAN SISTERS OF CHICAGO,Cook ,478,No,0.29
IL-0310120,IL,310120,BEDFORD PARK,Cook ,957,Yes,0.7
IL-0310140,IL,310140,SOUTH PALOS,Cook ,1818,Yes,0.7
IL-0310150,IL,310150,BELLWOOD,Cook ,18336,Yes,0.7
IL-0310180,IL,310180,BERKELEY,Cook ,5024,Yes,0.7
IL-0310200,IL,310200,VILLAGE OF SOUTH BARRINGTON,McHenry ,699,Yes,0.7
IL-0310210,IL,310210,BERWYN,Cook ,52632,Yes,0.7
IL-0310220,IL,310220,ARLINGTON PK RACE TRACK,Cook ,1148,Yes,0.6
IL-0310240,IL,310240,BLUE ISLAND,Cook ,22453,Yes,0.7
IL-0310260,IL,310260,OLYMPIA FIELDS COUNTRY CLUB,Cook ,96,Yes,0.97
IL-0310270,IL,310270,BRIDGEVIEW,Cook ,15738,Yes,0.7
IL-0310280,IL,310280,HOLY FAMILY VILLA,Cook ,191,No,0.44
IL-0310290,IL,310290,IL AMERICAN LAKE WATER COMPANY,St. Clair ,0,Yes,0.7
IL-0310300,IL,310300,BROADVIEW,Cook ,7590,Yes,0.7
IL-0310320,IL,310320,POOR CLARE MONASTERY,Cook ,27,Yes,0.7
IL-0310330,IL,310330,BROOKFIELD,Cook ,18263,Yes,0.7
IL-0310360,IL,310360,BURNHAM,Cook ,3981,Yes,0.7
IL-0310390,IL,310390,CALUMET CITY,Cook ,35629,Yes,0.7
IL-0310420,IL,310420,CALUMET PARK,Cook ,8135,Yes,0.7
IL-0310450,IL,310450,CHICAGO HEIGHTS,Cook ,29083,Yes,0.7
IL-0310480,IL,310480,CHICAGO RIDGE,Cook ,13689,Yes,0.7
IL-0310510,IL,310510,CICERO,Cook ,81914,Yes,0.7
IL-0310540,IL,310540,COUNTRY CLUB HILLS,Cook ,15473,Yes,0.7
IL-0310570,IL,310570,COUNTRYSIDE,Cook ,5641,Yes,0.7
IL-0310600,IL,310600,CRESTWOOD,Cook ,10479,Yes,0.7
IL-0310630,IL,310630,DES PLAINES,Cook ,56381,Yes,0.7
IL-0310660,IL,310660,DIXMOOR,Cook ,3765,Yes,0.7
IL-0310690,IL,310690,DOLTON,Cook ,22328,Yes,0.7
IL-0310720,IL,310720,FORD HEIGHTS,Cook ,3307,No,0
IL-0310750,IL,310750,EAST HAZEL CREST,Cook ,1531,Yes,0.7
IL-0310780,IL,310780,ELMWOOD PARK,Cook ,24311,Yes,0.7
IL-0310810,IL,310810,EVANSTON,Cook ,71279,Yes,0.7
IL-0310840,IL,310840,EVERGREEN PARK,Cook ,18997,Yes,0.7
IL-0310870,IL,310870,FLOSSMOOR,Cook ,9056,Yes,0.7
IL-0310900,IL,310900,FOREST PARK,Cook ,13557,Yes,0.7
IL-0310930,IL,310930,FOREST VIEW,Cook ,668,Yes,0.7
IL-0310960,IL,310960,FRANKLIN PARK,Cook ,17544,Yes,0.7
IL-0310990,IL,310990,GLENCOE,Cook ,8347,Yes,0.7
IL-0311000,IL,311000,PALOS PARK,Cook ,4640,Yes,0.7
IL-0311020,IL,311020,GLENVIEW,Cook ,46787,Yes,0.7
IL-0311050,IL,311050,GLENWOOD,Cook ,8612,Yes,0.7
IL-0311080,IL,311080,GOLF,Cook ,432,Yes,0.7
IL-0311110,IL,311110,HARVEY,Cook ,23924,Yes,0.7
IL-0311140,IL,311140,HARWOOD HEIGHTS,Cook ,8277,Yes,0.7
IL-0311170,IL,311170,HAZEL CREST,Cook ,13397,Yes,0.7
IL-0311200,IL,311200,HICKORY HILLS,Cook ,13444,Yes,0.7
IL-0311230,IL,311230,HILLSIDE,Cook ,8038,Yes,0.7
IL-0311260,IL,311260,HODGKINS,Cook ,2042,Yes,0.7
IL-0311290,IL,311290,HOFFMAN ESTS,Cook ,49660,Yes,0.7
IL-0311320,IL,311320,HOMETOWN,Cook ,4275,Yes,0.7
IL-0311350,IL,311350,HOMEWOOD,Cook ,18596,Yes,0.7
IL-0311410,IL,311410,INDIAN HEAD PARK,Cook ,2927,Yes,0.7
IL-0311471,IL,311471,JUSTICE-WESLEY FIELDS,Cook ,706,Yes,0.7
IL-0311500,IL,311500,KENILWORTH,Cook ,2387,Yes,0.7
IL-0311530,IL,311530,LAGRANGE,Cook ,14936,Yes,0.7
IL-0311560,IL,311560,LAGRANGE PARK,Cook ,12994,Yes,0.7
IL-0311590,IL,311590,LANSING,Cook ,27429,Yes,0.7
IL-0311620,IL,311620,LEMONT,Cook ,15311,No,0.34
IL-0311650,IL,311650,LINCOLNWOOD,Cook ,12048,Yes,0.7
