"Cat","year","geography","FIPS_code","geo_type","geo_full_name","geo_abbreviation","cat","age","eligible90"
"CN","2016","United States",0,"country","United States","USA","CN","< 1","1723549"
"CN","2016","United States",0,"country","United States","USA","CN","1--2","4412279"
"CN","2016","United States",0,"country","United States","USA","CN","3--5","6185240"
"CN","2016","United States",0,"country","United States","USA","CN","6--9","8094676"
"CN","2016","United States",0,"country","United States","USA","CN","10--14","8854532"
"CN","2016","United States",0,"country","United States","USA","CN","15--18","6256532"
"CN","2016","United States",0,"country","United States","USA","CN","19--20","2239889"
"MN","2016","United States",0,"country","United States","USA","MN","< 1","140166"
"MN","2016","United States",0,"country","United States","USA","MN","1--2","180339"
"MN","2016","United States",0,"country","United States","USA","MN","3--5","151542"
"MN","2016","United States",0,"country","United States","USA","MN","6--9","409409"
"MN","2016","United States",0,"country","United States","USA","MN","10--14","498674"
"MN","2016","United States",0,"country","United States","USA","MN","15--18","388467"
"MN","2016","United States",0,"country","United States","USA","MN","19--20","264937"
"Total","2016","United States",0,"country","United States","USA","Total","< 1","1863715"
"Total","2016","United States",0,"country","United States","USA","Total","1--2","4592618"
"Total","2016","United States",0,"country","United States","USA","Total","3--5","6336782"
"Total","2016","United States",0,"country","United States","USA","Total","6--9","8504085"
"Total","2016","United States",0,"country","United States","USA","Total","10--14","9353206"
"Total","2016","United States",0,"country","United States","USA","Total","15--18","6644999"
"Total","2016","United States",0,"country","United States","USA","Total","19--20","2504826"
"CN","2017","United States",0,"country","United States","USA","CN","< 1","1639592"
"CN","2017","United States",0,"country","United States","USA","CN","1--2","4422371"
"CN","2017","United States",0,"country","United States","USA","CN","3--5","6266874"
"CN","2017","United States",0,"country","United States","USA","CN","6--9","8089633"
"CN","2017","United States",0,"country","United States","USA","CN","10--14","9287118"
"CN","2017","United States",0,"country","United States","USA","CN","15--18","6484931"
"CN","2017","United States",0,"country","United States","USA","CN","19--20","2429069"
"MN","2017","United States",0,"country","United States","USA","MN","< 1","144775"
"MN","2017","United States",0,"country","United States","USA","MN","1--2","181347"
"MN","2017","United States",0,"country","United States","USA","MN","3--5","156965"
"MN","2017","United States",0,"country","United States","USA","MN","6--9","377093"
"MN","2017","United States",0,"country","United States","USA","MN","10--14","473382"
"MN","2017","United States",0,"country","United States","USA","MN","15--18","363930"
"MN","2017","United States",0,"country","United States","USA","MN","19--20","234589"
"Total","2017","United States",0,"country","United States","USA","Total","< 1","1784367"
"Total","2017","United States",0,"country","United States","USA","Total","1--2","4603718"
"Total","2017","United States",0,"country","United States","USA","Total","3--5","6423839"
"Total","2017","United States",0,"country","United States","USA","Total","6--9","8466726"
"Total","2017","United States",0,"country","United States","USA","Total","10--14","9760500"
"Total","2017","United States",0,"country","United States","USA","Total","15--18","6848861"
"Total","2017","United States",0,"country","United States","USA","Total","19--20","2663658"
"CN","2018","United States",0,"country","United States","USA","CN","< 1","1586720"
"CN","2018","United States",0,"country","United States","USA","CN","1--2","4289433"
"CN","2018","United States",0,"country","United States","USA","CN","3--5","6189915"
"CN","2018","United States",0,"country","United States","USA","CN","6--9","7803922"
"CN","2018","United States",0,"country","United States","USA","CN","10--14","9396703"
"CN","2018","United States",0,"country","United States","USA","CN","15--18","6472815"
"CN","2018","United States",0,"country","United States","USA","CN","19--20","2368191"
"MN","2018","United States",0,"country","United States","USA","MN","< 1","121644"
"MN","2018","United States",0,"country","United States","USA","MN","1--2","170566"
"MN","2018","United States",0,"country","United States","USA","MN","3--5","165995"
"MN","2018","United States",0,"country","United States","USA","MN","6--9","370843"
"MN","2018","United States",0,"country","United States","USA","MN","10--14","476509"
"MN","2018","United States",0,"country","United States","USA","MN","15--18","361991"
"MN","2018","United States",0,"country","United States","USA","MN","19--20","228466"
"Total","2018","United States",0,"country","United States","USA","Total","< 1","1708364"
"Total","2018","United States",0,"country","United States","USA","Total","1--2","4459999"
"Total","2018","United States",0,"country","United States","USA","Total","3--5","6355910"
"Total","2018","United States",0,"country","United States","USA","Total","6--9","8174765"
"Total","2018","United States",0,"country","United States","USA","Total","10--14","9873212"
"Total","2018","United States",0,"country","United States","USA","Total","15--18","6834806"
"Total","2018","United States",0,"country","United States","USA","Total","19--20","2596657"
"CN","2010","United States",0,"country","United States","USA","CN","< 1","1580775"
"CN","2010","United States",0,"country","United States","USA","CN","1--2","4258100"
"CN","2010","United States",0,"country","United States","USA","CN","3--5","5658840"
"CN","2010","United States",0,"country","United States","USA","CN","6--9","6141502"
"CN","2010","United States",0,"country","United States","USA","CN","10--14","6432517"
"CN","2010","United States",0,"country","United States","USA","CN","15--18","4636172"
"CN","2010","United States",0,"country","United States","USA","CN","19--20","1459436"
"MN","2010","United States",0,"country","United States","USA","MN","< 1","197374"
"MN","2010","United States",0,"country","United States","USA","MN","1--2","357352"
"MN","2010","United States",0,"country","United States","USA","MN","3--5","372330"
"MN","2010","United States",0,"country","United States","USA","MN","6--9","450107"
"MN","2010","United States",0,"country","United States","USA","MN","10--14","484727"
"MN","2010","United States",0,"country","United States","USA","MN","15--18","426136"
"MN","2010","United States",0,"country","United States","USA","MN","19--20","460482"
"Total","2010","United States",0,"country","United States","USA","Total","< 1","1778149"
"Total","2010","United States",0,"country","United States","USA","Total","1--2","4615452"
"Total","2010","United States",0,"country","United States","USA","Total","3--5","6031170"
"Total","2010","United States",0,"country","United States","USA","Total","6--9","6591609"
"Total","2010","United States",0,"country","United States","USA","Total","10--14","6917244"
"Total","2010","United States",0,"country","United States","USA","Total","15--18","5062308"
"Total","2010","United States",0,"country","United States","USA","Total","19--20","1919918"
"CN","2011","United States",0,"country","United States","USA","CN","< 1","1593643"
"CN","2011","United States",0,"country","United States","USA","CN","1--2","4200639"
"CN","2011","United States",0,"country","United States","USA","CN","3--5","5986531"
"CN","2011","United States",0,"country","United States","USA","CN","6--9","6475968"
"CN","2011","United States",0,"country","United States","USA","CN","10--14","6851575"
"CN","2011","United States",0,"country","United States","USA","CN","15--18","4790542"
"CN","2011","United States",0,"country","United States","USA","CN","19--20","1503957"
"MN","2011","United States",0,"country","United States","USA","MN","< 1","196912"
"MN","2011","United States",0,"country","United States","USA","MN","1--2","340812"
"MN","2011","United States",0,"country","United States","USA","MN","3--5","367749"
"MN","2011","United States",0,"country","United States","USA","MN","6--9","432147"
"MN","2011","United States",0,"country","United States","USA","MN","10--14","462298"
"MN","2011","United States",0,"country","United States","USA","MN","15--18","401601"
"MN","2011","United States",0,"country","United States","USA","MN","19--20","444594"
"Total","2011","United States",0,"country","United States","USA","Total","< 1","1790555"
"Total","2011","United States",0,"country","United States","USA","Total","1--2","4541451"
"Total","2011","United States",0,"country","United States","USA","Total","3--5","6354280"
"Total","2011","United States",0,"country","United States","USA","Total","6--9","6908115"
"Total","2011","United States",0,"country","United States","USA","Total","10--14","7313873"
"Total","2011","United States",0,"country","United States","USA","Total","15--18","5192143"
"Total","2011","United States",0,"country","United States","USA","Total","19--20","1948551"
"CN","2012","United States",0,"country","United States","USA","CN","< 1","1568160"
"CN","2012","United States",0,"country","United States","USA","CN","1--2","4077772"
"CN","2012","United States",0,"country","United States","USA","CN","3--5","6044543"
"CN","2012","United States",0,"country","United States","USA","CN","6--9","6722163"
"CN","2012","United States",0,"country","United States","USA","CN","10--14","7091157"
"CN","2012","United States",0,"country","United States","USA","CN","15--18","4851782"
"CN","2012","United States",0,"country","United States","USA","CN","19--20","1493993"
"MN","2012","United States",0,"country","United States","USA","MN","< 1","198882"
"MN","2012","United States",0,"country","United States","USA","MN","1--2","356580"
"MN","2012","United States",0,"country","United States","USA","MN","3--5","403960"
"MN","2012","United States",0,"country","United States","USA","MN","6--9","513663"
"MN","2012","United States",0,"country","United States","USA","MN","10--14","554641"
"MN","2012","United States",0,"country","United States","USA","MN","15--18","464471"
"MN","2012","United States",0,"country","United States","USA","MN","19--20","483007"
"Total","2012","United States",0,"country","United States","USA","Total","< 1","1767042"
"Total","2012","United States",0,"country","United States","USA","Total","1--2","4434352"
"Total","2012","United States",0,"country","United States","USA","Total","3--5","6448503"
"Total","2012","United States",0,"country","United States","USA","Total","6--9","7235826"
"Total","2012","United States",0,"country","United States","USA","Total","10--14","7645798"
"Total","2012","United States",0,"country","United States","USA","Total","15--18","5316253"
"Total","2012","United States",0,"country","United States","USA","Total","19--20","1977000"
"CN","2013","United States",0,"country","United States","USA","CN","< 1","1659080"
"CN","2013","United States",0,"country","United States","USA","CN","1--2","4155098"
"CN","2013","United States",0,"country","United States","USA","CN","3--5","6085723"
"CN","2013","United States",0,"country","United States","USA","CN","6--9","7223461"
"CN","2013","United States",0,"country","United States","USA","CN","10--14","7552989"
"CN","2013","United States",0,"country","United States","USA","CN","15--18","5156313"
"CN","2013","United States",0,"country","United States","USA","CN","19--20","1488149"
"MN","2013","United States",0,"country","United States","USA","MN","< 1","120500"
"MN","2013","United States",0,"country","United States","USA","MN","1--2","234370"
"MN","2013","United States",0,"country","United States","USA","MN","3--5","296801"
"MN","2013","United States",0,"country","United States","USA","MN","6--9","430886"
"MN","2013","United States",0,"country","United States","USA","MN","10--14","478061"
"MN","2013","United States",0,"country","United States","USA","MN","15--18","389691"
"MN","2013","United States",0,"country","United States","USA","MN","19--20","469898"
"Total","2013","United States",0,"country","United States","USA","Total","< 1","1779580"
"Total","2013","United States",0,"country","United States","USA","Total","1--2","4389468"
"Total","2013","United States",0,"country","United States","USA","Total","3--5","6382524"
"Total","2013","United States",0,"country","United States","USA","Total","6--9","7654347"
"Total","2013","United States",0,"country","United States","USA","Total","10--14","8031050"
"Total","2013","United States",0,"country","United States","USA","Total","15--18","5546004"
"Total","2013","United States",0,"country","United States","USA","Total","19--20","1958047"
"CN","2014","United States",0,"country","United States","USA","CN","< 1","1752526"
"CN","2014","United States",0,"country","United States","USA","CN","1--2","4268058"
"CN","2014","United States",0,"country","United States","USA","CN","3--5","6182696"
"CN","2014","United States",0,"country","United States","USA","CN","6--9","7836337"
"CN","2014","United States",0,"country","United States","USA","CN","10--14","8251558"
"CN","2014","United States",0,"country","United States","USA","CN","15--18","5728251"
"CN","2014","United States",0,"country","United States","USA","CN","19--20","1778660"
"MN","2014","United States",0,"country","United States","USA","MN","< 1","129558"
"MN","2014","United States",0,"country","United States","USA","MN","1--2","195090"
"MN","2014","United States",0,"country","United States","USA","MN","3--5","212861"
"MN","2014","United States",0,"country","United States","USA","MN","6--9","415550"
"MN","2014","United States",0,"country","United States","USA","MN","10--14","471587"
"MN","2014","United States",0,"country","United States","USA","MN","15--18","382990"
"MN","2014","United States",0,"country","United States","USA","MN","19--20","462085"
"Total","2014","United States",0,"country","United States","USA","Total","< 1","1882084"
"Total","2014","United States",0,"country","United States","USA","Total","1--2","4463147"
"Total","2014","United States",0,"country","United States","USA","Total","3--5","6395557"
"Total","2014","United States",0,"country","United States","USA","Total","6--9","8251887"
"Total","2014","United States",0,"country","United States","USA","Total","10--14","8723145"
"Total","2014","United States",0,"country","United States","USA","Total","15--18","6111240"
"Total","2014","United States",0,"country","United States","USA","Total","19--20","2240744"
"CN","2015","United States",0,"country","United States","USA","CN","< 1","1753065"
"CN","2015","United States",0,"country","United States","USA","CN","1--2","4408067"
"CN","2015","United States",0,"country","United States","USA","CN","3--5","6238633"
"CN","2015","United States",0,"country","United States","USA","CN","6--9","8176915"
"CN","2015","United States",0,"country","United States","USA","CN","10--14","8681212"
"CN","2015","United States",0,"country","United States","USA","CN","15--18","6118188"
"CN","2015","United States",0,"country","United States","USA","CN","19--20","2103185"
"MN","2015","United States",0,"country","United States","USA","MN","< 1","139978"
"MN","2015","United States",0,"country","United States","USA","MN","1--2","197042"
"MN","2015","United States",0,"country","United States","USA","MN","3--5","178459"
"MN","2015","United States",0,"country","United States","USA","MN","6--9","445726"
"MN","2015","United States",0,"country","United States","USA","MN","10--14","525171"
"MN","2015","United States",0,"country","United States","USA","MN","15--18","414395"
"MN","2015","United States",0,"country","United States","USA","MN","19--20","343764"
"Total","2015","United States",0,"country","United States","USA","Total","< 1","1893043"
"Total","2015","United States",0,"country","United States","USA","Total","1--2","4605109"
"Total","2015","United States",0,"country","United States","USA","Total","3--5","6417092"
"Total","2015","United States",0,"country","United States","USA","Total","6--9","8622641"
"Total","2015","United States",0,"country","United States","USA","Total","10--14","9206383"
"Total","2015","United States",0,"country","United States","USA","Total","15--18","6532583"
"Total","2015","United States",0,"country","United States","USA","Total","19--20","2446949"
"CN","2019","United States",0,"country","United States","USA","CN","< 1","1546205"
"CN","2019","United States",0,"country","United States","USA","CN","1--2","4111576"
"CN","2019","United States",0,"country","United States","USA","CN","3--5","6022808"
"CN","2019","United States",0,"country","United States","USA","CN","6--9","7482961"
"CN","2019","United States",0,"country","United States","USA","CN","10--14","9287317"
"CN","2019","United States",0,"country","United States","USA","CN","15--18","6343253"
"CN","2019","United States",0,"country","United States","USA","CN","19--20","2320645"
"MN","2019","United States",0,"country","United States","USA","MN","< 1","116846"
"MN","2019","United States",0,"country","United States","USA","MN","1--2","164913"
"MN","2019","United States",0,"country","United States","USA","MN","3--5","173673"
"MN","2019","United States",0,"country","United States","USA","MN","6--9","368183"
"MN","2019","United States",0,"country","United States","USA","MN","10--14","485290"
"MN","2019","United States",0,"country","United States","USA","MN","15--18","365298"
"MN","2019","United States",0,"country","United States","USA","MN","19--20","235683"
"Total","2019","United States",0,"country","United States","USA","Total","< 1","1663051"
"Total","2019","United States",0,"country","United States","USA","Total","1--2","4276489"
"Total","2019","United States",0,"country","United States","USA","Total","3--5","6196481"
"Total","2019","United States",0,"country","United States","USA","Total","6--9","7851144"
"Total","2019","United States",0,"country","United States","USA","Total","10--14","9772607"
"Total","2019","United States",0,"country","United States","USA","Total","15--18","6708551"
"Total","2019","United States",0,"country","United States","USA","Total","19--20","2556328"
"CN","2015","Wyoming",56,"state","Wyoming","WY","CN","< 1","2826"
"CN","2015","Wyoming",56,"state","Wyoming","WY","CN","1--2","7182"
"CN","2015","Wyoming",56,"state","Wyoming","WY","CN","3--5","9688"
"CN","2015","Wyoming",56,"state","Wyoming","WY","CN","6--9","12727"
"CN","2015","Wyoming",56,"state","Wyoming","WY","CN","10--14","12491"
"CN","2015","Wyoming",56,"state","Wyoming","WY","CN","15--18","8518"
"CN","2015","Wyoming",56,"state","Wyoming","WY","CN","19--20","2947"
"MN","2015","Wyoming",56,"state","Wyoming","WY","MN","< 1","0"
"MN","2015","Wyoming",56,"state","Wyoming","WY","MN","1--2","0"
"MN","2015","Wyoming",56,"state","Wyoming","WY","MN","3--5","0"
"MN","2015","Wyoming",56,"state","Wyoming","WY","MN","6--9","0"
"MN","2015","Wyoming",56,"state","Wyoming","WY","MN","10--14","0"
"MN","2015","Wyoming",56,"state","Wyoming","WY","MN","15--18","0"
"MN","2015","Wyoming",56,"state","Wyoming","WY","MN","19--20","0"
"Total","2015","Wyoming",56,"state","Wyoming","WY","Total","< 1","2826"
"Total","2015","Wyoming",56,"state","Wyoming","WY","Total","1--2","7182"
"Total","2015","Wyoming",56,"state","Wyoming","WY","Total","3--5","9688"
"Total","2015","Wyoming",56,"state","Wyoming","WY","Total","6--9","12727"
"Total","2015","Wyoming",56,"state","Wyoming","WY","Total","10--14","12491"
"Total","2015","Wyoming",56,"state","Wyoming","WY","Total","15--18","8518"
"Total","2015","Wyoming",56,"state","Wyoming","WY","Total","19--20","2947"
"CN","2015","Wisconsin",55,"state","Wisconsin","WI","CN","< 1","25210"
"CN","2015","Wisconsin",55,"state","Wisconsin","WI","CN","1--2","66026"
