"state","report_years","years_max","base_population","category","subcategory","geo_unit","geography","measure_group","measure_value","indicator","estimate","confidence_level","confidence_value","order"
"Oregon","1991-1992",1992,"age 6 - 8","all","total","state","Oregon","caries","any history","caries experience",55,"lower_CI",NA,1
"Oregon","1991-1992",1992,"age 6 - 8","all","total","state","Oregon","caries","any history","caries experience",55,"upper_CI",NA,9999998
"Oregon","1991-1992",1992,"age 3 - 5","all","total","state","Oregon","caries","any history","caries experience",47,"lower_CI",NA,3
"Oregon","1991-1992",1992,"age 3 - 5","all","total","state","Oregon","caries","any history","caries experience",47,"upper_CI",NA,9999996
"Oregon","1991-1992",1992,"age 10 - 12","all","total","state","Oregon","dental sealants","present","dental sealants",28,"lower_CI",NA,5
"Oregon","1991-1992",1992,"age 10 - 12","all","total","state","Oregon","dental sealants","present","dental sealants",28,"upper_CI",NA,9999994
"Oregon","1991-1992",1992,"age 3 - 5","all","total","state","Oregon","treatment need","early","treatment need: early",26,"lower_CI",NA,7
"Oregon","1991-1992",1992,"age 3 - 5","all","total","state","Oregon","treatment need","early","treatment need: early",26,"upper_CI",NA,9999992
"Oregon","1991-1992",1992,"age 6 - 8","all","total","state","Oregon","treatment need","early","treatment need: early",23,"lower_CI",NA,9
"Oregon","1991-1992",1992,"age 6 - 8","all","total","state","Oregon","treatment need","early","treatment need: early",23,"upper_CI",NA,9999990
"Oregon","1991-1992",1992,"age 10 - 12","all","total","state","Oregon","treatment need","early","treatment need: early",20,"lower_CI",NA,11
"Oregon","1991-1992",1992,"age 10 - 12","all","total","state","Oregon","treatment need","early","treatment need: early",20,"upper_CI",NA,9999988
"Oregon","1991-1992",1992,"age 6 - 8","all","total","state","Oregon","dental sealants","present","dental sealants",15,"lower_CI",NA,13
"Oregon","1991-1992",1992,"age 6 - 8","all","total","state","Oregon","dental sealants","present","dental sealants",15,"upper_CI",NA,9999986
"Oregon","1991-1992",1992,"age 6 - 8","all","total","state","Oregon","treatment need","urgent","treatment need: urgent",5,"lower_CI",NA,15
