state,report_years,years_max,base_population,geo_unit,geography,category,subcategory,measure_group,measure_value,indicator,estimate,lower_CI,upper_CI
Ohio,2004-2005,2005,grade 3,county,Adams,all,total,caries,any history,caries experience,83.1,73.5,92.8
Ohio,2004-2005,2005,grade 3,county,Adams,all,total,dental sealants,present,dental sealants,71.6,68.5,74.7
Ohio,2004-2005,2005,grade 3,county,Adams,all,total,treatment need,early or urgent,treatment need: early or urgent,55.9,48.4,63.5
Ohio,2004-2005,2005,grade 3,county,Adams,all,total,caries,untreated,untreated caries,55.9,48.4,63.5
Wyoming,2008-2009,2009,grade 3,county,Albany,all,total,caries,any history,caries experience,68.32,59.09,77.55
Wyoming,2008-2009,2009,grade 3,county,Albany,all,total,dental sealants,present,dental sealants,46.05,39.33,52.76
Wyoming,2008-2009,2009,grade 3,county,Albany,all,total,caries,untreated,untreated caries,24.19,18.42,29.96
Nevada,2008-2009,2009,grade 3,county,All other counties,all,total,caries,any history,caries experience,57.7,,
Nevada,2008-2009,2009,grade 3,county,All other counties,all,total,dental sealants,present,dental sealants,43.1,,
Nevada,2008-2009,2009,grade 3,county,All other counties,all,total,caries,untreated,untreated caries,23.4,,
Ohio,2004-2005,2005,grade 3,county,Allen,all,total,caries,any history,caries experience,56.1,48.5,63.7
Ohio,2004-2005,2005,grade 3,county,Allen,all,total,dental sealants,present,dental sealants,30.8,15.7,45.9
Ohio,2004-2005,2005,grade 3,county,Allen,all,total,caries,untreated,untreated caries,25.3,17.9,32.7
Ohio,2004-2005,2005,grade 3,county,Allen,all,total,treatment need,early or urgent,treatment need: early or urgent,24.4,17.4,31.4
Ohio,2004-2005,2005,grade 3,state,Appalachian,all,total,caries,any history,caries experience,63,,
Ohio,2017-2018,2018,grade 3,Appalachian status,Appalachian,child school lunch program enrollment or eligibility,enrolled,caries,any history,caries experience,60,,
Ohio,2009-2010,2010,grade 3,region,Appalachian,all,total,dental sealants,present,dental sealants,58,,
Ohio,2004-2005,2005,grade 3,region,Appalachian,all,total,dental sealants,present,dental sealants,48,,
Ohio,2004-2005,2005,grade 3,state,Appalachian,all,total,treatment need,early or urgent,treatment need: early or urgent,35,,
Ohio,2004-2005,2005,grade 3,state,Appalachian,all,total,caries,untreated,untreated caries,35,,
Ohio,2009-2010,2010,grade 3,state,Appalachian,all,total,caries,untreated,untreated caries,27,,
Ohio,2017-2018,2018,grade 3,Appalachian status,Appalachian,child school lunch program enrollment or eligibility,not enrolled,caries,any history,caries experience,27,,
Ohio,2004-2005,2005,grade 3,county,Ashland,all,total,dental sealants,present,dental sealants,57,40,74.1
Ohio,2004-2005,2005,grade 3,county,Ashland,all,total,caries,any history,caries experience,55.4,47.2,63.6
Ohio,2004-2005,2005,grade 3,county,Ashland,all,total,treatment need,early or urgent,treatment need: early or urgent,26.6,19.9,33.2
Ohio,2004-2005,2005,grade 3,county,Ashland,all,total,caries,untreated,untreated caries,26.4,20,32.8
Ohio,2004-2005,2005,grade 3,county,Ashtabula,all,total,caries,any history,caries experience,64.9,59.8,70.1
