code,code_dot,Any,description,notes
A690,A69.0,x,Necrotizing ulcerative stomatitis,
K00,K00,x,Disorders of tooth development and eruption,
K000,K00.0,x,Anodontia,
K001,K00.1,x,Supernumerary teeth,
K002,K00.2,x,Abnormalities of size and form of teeth,
K003,K00.3,x,Mottled teeth,
K004,K00.4,x,Disturbances in tooth formation,
K005,K00.5,x,Hereditary disturbances in tooth structure,
K006,K00.6,x,Disturbances in tooth eruption,
K007,K00.7,x,Teething syndrome,
K008,K00.8,x,Other disorders of tooth development,
K009,K00.9,x,"Disorder of tooth development, unspecified",
K01,K01,x,Embedded and impacted teeth,
K010,K01.0,x,Embedded teeth,
K011,K01.1,x,Impacted teeth,
K02,K02.3,x,Dental caries,
K023,K02.3,x,Arrested dental caries,
K025,K02.5,x,Dental caries on pit and fissure surface,
K0251,K02.51,x,Dental caries on pit and fissure surface limited to enamel,
K0252,K02.52,x,Dental caries on pit and fissure surface penetrat into dentin,
K0253,K02.53,x,Dental caries on pit and fissure surface penetrat into pulp,
K026,K02.6,x,Dental caries on smooth surface,
K0261,K02.61,x,Dental caries on smooth surface limited to enamel,
K0262,K02.62,x,Dental caries on smooth surface penetrating into dentin,
K0263,K02.63,x,Dental caries on smooth surface penetrating into pulp,
K027,K02.7,x,Dental root caries,
K029,K02.9,x,"Dental caries, unspecified",
K03,K03,x,Other diseases of hard tissues of teeth,
K030,K03.0,x,Excessive attrition of teeth,
K031,K03.1,x,Abrasion of teeth,
K032,K03.2,x,Erosion of teeth,
K033,K03.3,x,Pathological resorption of teeth,
K034,K03.4,x,Hypercementosis,
K035,K03.5,x,Ankylosis of teeth,
K036,K03.6,x,Deposits [accretions] on teeth,
K037,K03.7,x,Posteruptive color changes of dental hard tissues,
K038,K03.8,x,Other specified diseases of hard tissues of teeth,
K0381,K03.81,x,Cracked tooth,
K0389,K03.89,x,Other specified diseases of hard tissues of teeth,
K039,K03.9,x,"Disease of hard tissues of teeth, unspecified",
K04,K04,x,Diseases of pulp and periapical tissues,
K040,K04.0,x,Pulpitis,
K0401,K04.01,x,Reversible pulpitis,
K0402,K04.02,x,Irreversible pulpitis,
K041,K04.1,x,Necrosis of pulp,
K042,K04.2,x,Pulp degeneration,
K043,K04.3,x,Abnormal hard tissue formation in pulp,
K044,K04.4,x,Acute apical periodontitis of pulpal origin,
K045,K04.5,x,Chronic apical periodontitis,
K046,K04.6,x,Periapical abcess with sinus,
K047,K04.7,x,Periapical abcess without sinus,
K048,K04.8,x,Radicular cyst,
K049,K04.9,x,Other and unspecified diseases of pulp and periapical tissues,
K0490,K04.90,x,Unspecified diseases of pulp and periapical tissues,
K0499,K04.99,x,Other diseases of pulp and periapical tissues,
K05,K05,x,Gingivitis and periodontal diseases,
K050,K05.0,x,Acute gingivitis,
K0500,K05.00,x,"Acute gingivitis, plaque induced",
K0501,K05.01,x,"Acute gingivitis, non-plaque induced",
K051,K05.1,x,Chronic gingivitis,
K0510,K05.10,x,"Chronic gingivitis, plaque induced",
K0511,K05.11,x,"Chronic gingivitis, non-plaque induced",
K052,K05.2,x,Aggressive periodontitis,
K0520,K05.20,x,"Aggressive periodontitis, unspecified",
K0521,K05.21,x,"Aggressive periodontitis, localized",
K05211,K05.211,x,"Aggressive periodontitis, localized, slight",
K05212,K05.212,x,"Aggressive periodontitis, localized, moderate",
K05213,K05.213,x,"Aggressive periodontitis, localized, severe",
K05219,K05.219,x,"Aggressive periodontitis, localized, unspecified severity",
K0522,K05.22,x,"Aggressive periodontitis, generalized",
K05221,K05.221,x,"Aggressive periodontitis, generalized, slight",
K05222,K05.222,x,"Aggressive periodontitis, generalized, moderate",
K05223,K05.223,x,"Aggressive periodontitis, generalized, severe",
K05229,K05.229,x,"Aggressive periodontitis, generalized, unspecified severity",
K053,K05.3,x,Chronic periodontitis,
K0530,K05.30,x,"Chronic periodontitis, unspecified",
K0531,K05.31,x,"Chronic periodontitis, localized",
K05311,K05.311,x,"Chronic periodontitis, localized, slight",
K05312,K05.312,x,"Chronic periodontitis, localized, moderate",
K05313,K05.313,x,"Chronic periodontitis, localized, severe",
K05319,K05.319,x,"Chronic periodontitis, localized, unspecified severity",
K0532,K05.32,x,"Chronic periodontitis, generalized",
K05321,K05.321,x,"Chronic periodontitis, generalized, slight",
K05322,K05.322,x,"Chronic periodontitis, generalized, moderate",
K05323,K05.323,x,"Chronic periodontitis, generalized, severe",
K05329,K05.329,x,"Chronic periodontitis, generalized, unspecified severity",
K054,K05.4,x,Periodontitis,
K0540,K05.40,x,,
K055,K05.5,x,Other periodontal diseases,
K056,K05.6,x,"Periodontal disease, unspecified",
K06,K06,x,Other disorders of gingiva and edentulous alveolar ridge,
K060,K06.0,x,Gingival recession,added 2018
K0601,K06.01,x,"Gingival recession, localized",added 2018
K06010,K06.010,x,"Localized gingival recession, unspecified",added 2018
K06011,K06.011,x,"Localized gingival recession, minimal",added 2018
K06012,K06.012,x,"Localized gingival recession, moderate",added 2018
K06013,K06.013,x,"Localized gingival recession, severe",added 2018
K0602,K06.02,x,"Gingival recession, generalized",added 2018
K06020,K06.020,x,"Generalized gingival recession, unspecified",added 2018
K06021,K06.021,x,"Generalized gingival recession, minimal",added 2018
K06022,K06.022,x,"Generalized gingival recession, moderate",added 2018
K06023,K06.023,x,"Generalized gingival recession, severe",added 2018
K061,K06.1,x,Gingival enlargement,
K062,K06.2,x,Gingival & edentulous alveolar ridge lesions associated with trauma,
K063,K06.3,x,Horizontal alveolar bone loss,
K068,K06.8,x,Other specified disorders of gingiva and edentulous alveolar ridge,
K069,K06.9,x,"Disorder of ginviva and edentulous alveolar ridge, unspecified",
K08,K08.0,x,Other disorders of teeth and supporting structures,
K080,K08.0,x,Exfoliation of teeth due to systemic causes,
K081,K08.1,x,Complete loss of teeth,
K0810,K08.10,x,"Complete loss of teeth, unspecified cause",
K08101,K08.101,x,"Complete loss of teeth, unspecified cause, class I",
K08102,K08.102,x,"Complete loss of teeth, unspecified cause, class II",
K08103,K08.103,x,"Complete loss of teeth, unspecified cause, class III",
K08104,K08.104,x,"Complete loss of teeth, unspecified cause, class IV",
K08109,K08.109,x,"Complete loss of teeth, unspecified cause, unspecified class",
K08111,K08.111,x,"Complete loss of teeth due to trauma, class I",
K08112,K08.112,x,"Complete loss of teeth due to trauma, class II",
K08113,K08.113,x,"Complete loss of teeth due to trauma, class III",
K08114,K08.114,x,"Complete loss of teeth due to trauma, class IV",
K08119,K08.119,x,"Complete loss of teeth due to trauma, unspecified class",
K0812,K08.12,x,Complete loss of teeth due to periodontal diseases,
K08121,K08.121,x,"Complete loss of teeth due to periodontal disease, class I",
K08122,K08.122,x,"Complete loss of teeth due to periodontal disease, class II",
K08123,K08.123,x,"Complete loss of teeth due to periodontal disease, class III",
K08124,K08.124,x,"Complete loss of teeth due to periodontal disease, class IV",
K08129,K08.129,x,"Complete loss of teeth due to periodontal disease, unspecified class",
K0813,K08.12,x,Complete loss of teeth due to caries,
K08131,K08.131,x,"Complete loss of teeth due to caries, class I",
K08132,K08.132,x,"Complete loss of teeth due to caries, class II",
K08133,K08.133,x,"Complete loss of teeth due to caries, class III",
K08134,K08.134,x,"Complete loss of teeth due to caries, class IV",
K08139,K08.139,x,"Complete loss of teeth due to caries, unspecified class",
K0819,J08.19,x,Complete loss of teeth due to other specified cause,
K08191,K08.191,x,"Complete loss of teeth due to other specified cause, class I",
K08192,K08.192,x,"Complete loss of teeth due to other specified cause, class II",
K08193,K08.193,x,"Complete loss of teeth due to other specified cause, class III",
K08194,K08.194,x,"Complete loss of teeth due to other specified cause, class IV",
K08199,K08.199,x,"Complete loss of teeth due to other specified cause, unspecified class",
K082,K08.2,x,Atrophy of edentulous alveolar ridge,
K0820,K08.20,x,Unspecified atrophy of edentulous alveolar ridge,
K0821,K08.21,x,Minimal atrophy of the mandible,
K0822,K08.22,x,Moderate atrophy of the mandible,
K0823,K08.23,x,Severe atrophy of the mandible,
K0824,K08.24,x,Minimal atrophy of maxilla,
K0825,K08.25,x,Moderate atrophy of the maxilla,
K0826,K08.26,x,Severe atrophy of the maxilla,
K083,K08.3,x,Retained dental root,
K084,K08.4,x,Partial loss of teeth,
K0840,K08.40,x,"Partial loss of teeth, unspecified cause",
K08401,K08.401,x,"Partial loss of teeth, unspecified, class I",
K08402,K08.402,x,"Partial loss of teeth, unspecified, class II",
K08403,K08.403,x,"Partial loss of teeth, unspecified, class II",
K08404,K08.404,x,"Partial loss of teeth, unspecified, class IV",
K08409,K08.409,x,"Partial loss of teeth, unspecified cause, unspecified class",
K08411,K08.411,x,"Partial loss of teeth due to trauma, class I",
K08412,K08.412,x,"Partial loss of teeth due to trauma, class II",
K08413,K08.413,x,"Partial loss of teeth due to trauma, class III",
K08414,K08.414,x,"Partial loss of teeth due to trauma, class IV",
K08419,K08.419,x,"Partial loss of teeth due to trauma, unspecified class",
K0842,K08.42,x,Partial loss of teeth due to periodontal diseases,
K08421,K08.421,x,"Partial loss of teeth due to periodontal diseases, class I",
K08422,K08.422,x,"Partial loss of teeth due to periodontal diseases, class II",
K08423,K08.423,x,"Partial loss of teeth due to periodontal diseases, class III",
K08424,K08.424,x,"Partial loss of teeth due to periodontal diseases, class IV",
K08429,K08.429,x,"Partial loss of teeth due to periodontal disease, unspecified class",
K0843,K08.43,x,Partial loss of teeth due to caries,
K08431,K08.431,x,"Partial loss of teeth due to caries, class I",
K08432,K08.432,x,"Partial loss of teeth due to caries, class II",
K08433,K08.433,x,"Partial loss of teeth due to caries, class II",
K08434,K08.434,x,"Partial loss of teeth due to caries, class III",
K08439,K08.439,x,"Partial loss of teeth due to caries, unspecified class",
K0849,K08.49,x,Partial loss of teeth due to other specified cause,
K08491,K08.491,x,"Partial loss of teeth due to other specified cause, class I",
K08492,K08.492,x,"Partial loss of teeth due to other specified cause, class II",
K08493,K08.493,x,"Partial loss of teeth due to other specified cause, class III",
K08494,K08.494,x,"Partial loss of teeth due to other specified cause, class IV",
K08499,K08.499,x,"Partial loss of teeth due to other cause, unspecifed class",
K0850,K08.50,x,"Unsatisfactory restoration of tooth, unspecified",
K0851,K08.51,x,Open restoration margins of tooth,
K0852,K08.52,x,Unrepairable overhanging of dental restorative materials,
K0853,K08.53,x,Fractured dental restorative material,
K08530,K08.530,x,Fractured dental restorative material without loss of material,
K08531,K08.531,x,Fractured dental restorative material with loss of material,
K08539,K08.539,x,"Fracture dental restorative material, unspecified",
K0854,K08.54,x,Contour of existing restoration of tooth biologically incompatible with oral health,
K0855,K08.55,x,Allergy to existing dental restorative material,
K0856,K08.56,x,Poor aesthetic of existing restoration of tooth,
K0859,K08.59,x,Other unsatisfactory restoration of tooth,
K088,K08.8,x,Other specified disorders of teeth and supporting structures,
K0881,K08.81,x,Primary occlusal trauma,
K0882,K08.82,x,Secondary occlusal trauma,
K0889,K08.89,x,Other specified disorders of teeth and supporting structures,
K089,K08.9,x,"Disorder of teeth and supporting structures, unspecified",
K09,K09,x,"Cysts of oral region, not elsewhere classified",
K090,K09.0,x,Developmental odontogenic cysts,
K091,K09.1,x,Developmental (nonodontogenic) cysts of oral region,
K098,K09.8,x,"Other cyst of oral region, not elsewhere classified",
K099,K09.9,x,"Cyst of oral region, unspecified",
K11,K11,x,Diseases of salivary glands,
K110,K11.0,x,Atrophy of salivary gland,
K111,K11.1,x,Hypertrophy of salivary gland,
K112,K11.2,x,Sialoadenitis,
K1120,K11.20,x,"Sialodenitis, unspecified",
K1121,K11.21,x,Acute sialoadenitis,
K1122,K11.22,x,Acute recurrent sialoadenitis,
K1123,K11.23,x,Chronic sialoadenitis,
K113,K11.3,x,Ascess of salivary gland,
K114,K11.4,x,Fistula of salivary gland,
K115,K11.5,x,Sialolithiasis,
K116,K11.6,x,Mucocele of salivary gland,
K117,K11.7,x,Dusturbances of salivary secretion,
K118,K11.8,x,Other diseases of salivary glands,
K119,K11.9,x,"Disease of salivary gland, unspecified",
K12,K12,x,Stomatitis and related lesions,
K120,K12.0,x,Recurrent oral aphtae,
K121,K12.1,x,Other ofrms of stomatitis,
K122,K12.2,x,Cellultis and abscess of mouth,
K123,K12.3,x,Oral mucositis (ulcerative),
K1230,K12.30,x,"Oral mucositis (ulcerative), unspecified",
K1231,K12.31,x,"Oral mucositis (ulcerative), due to antineoplastic therapy",
K1232,K12.32,x,"Oral mucositis (ulcerative), due to other drugs",
K1233,K12.33,x,"Oral mucosisit (ulcerative), due to radiation",
K1239,K12.39,x,Other oral mucositis (ulcerative),
K13,K13,x,Other diseases of lip and oral mucosa,
K130,K13.0,x,Disease of lips,
K131,K13.1,x,Cheek and lip biting,
