"ref_num","category"
"PY 2021 
ECP Reference Number","ECP Category"
"AK-000001","Community Mental Health Centers"
"AK-000001","Dental Providers"
"AK-000001","Family Planning Providers"
"AK-000001","Federally Qualified Health Centers - Medical Services"
"AK-000001","Rural Health Clinics"
"AK-000001","Ryan White Providers"
"AK-000001","Sexually Transmitted Disease Clinics"
"AK-000001","Tribal Health Program operated under P.L. 93-638"
"AK-000002","Dental Providers"
"AK-000002","Federally Qualified Health Centers - Medical Services"
"AK-000002","Indian Health Service"
"AK-000002","Rural Health Clinics"
"AK-000003","Indian Health Service"
"AK-000003","Other ECP Providers"
"AK-000003","Tribal Health Program operated under P.L. 93-638"
"AK-000004","Indian Health Service"
"AK-000004","Other ECP Providers"
"AK-000004","Tribal Health Program operated under P.L. 93-638"
"AK-000005","Community Mental Health Centers"
"AK-000005","Dental Providers"
"AK-000005","Family Planning Providers"
"AK-000005","Federally Qualified Health Centers - Medical Services"
"AK-000005","Rural Health Clinics"
"AK-000005","Ryan White Providers"
"AK-000005","Tribal Health Program operated under P.L. 93-638"
"AK-000006","Indian Health Service"
"AK-000006","Other ECP Providers"
"AK-000006","Tribal Health Program operated under P.L. 93-638"
"AK-000007","Community Mental Health Centers"
"AK-000007","Dental Providers"
"AK-000007","Federally Qualified Health Centers - Medical Services"
"AK-000007","Indian Health Service"
"AK-000007","Rural Health Clinics"
"AK-000007","Tribal Health Program operated under P.L. 93-638"
"AK-000008","Federally Qualified Health Centers - Medical Services"
"AK-000008","Rural Health Clinics"
"AK-000009","Other ECP Providers"
"AK-000009","Tribal Health Program operated under P.L. 93-638"
"AK-000010","Other ECP Providers"
"AK-000011","Hemophilia Treatment Centers"
"AK-000012","Inpatient Hospitals (other than children's hospitals)"
"AK-000012","Tribal Health Program operated under P.L. 93-638"
"AK-000013","Family Planning Providers"
"AK-000013","Sexually Transmitted Disease Clinics"
"AK-000014","Inpatient Hospitals (other than children's hospitals)"
"AK-000014","Urban Indian Health Program"
"AK-000015","Indian Health Service"
"AK-000015","Inpatient Hospitals (other than children's hospitals)"
"AK-000015","Tribal Health Program operated under P.L. 93-638"
"AK-000016","Dental Providers"
"AK-000016","Family Planning Providers"
"AK-000016","Indian Health Service"
"AK-000016","Other ECP Providers"
"AK-000016","Ryan White Providers"
"AK-000016","Sexually Transmitted Disease Clinics"
"AK-000016","Tribal Health Program operated under P.L. 93-638"
"AK-000017","Other ECP Providers"
"AK-000017","Tribal Health Program operated under P.L. 93-638"
"AK-000018","Dental Providers"
"AK-000019","Community Mental Health Centers"
"AK-000019","Tribal Health Program operated under P.L. 93-638"
"AK-000020","Community Mental Health Centers"
"AK-000020","Tribal Health Program operated under P.L. 93-638"
"AK-000021","Dental Providers"
"AK-000022","Dental Providers"
"AK-000022","Family Planning Providers"
"AK-000022","Federally Qualified Health Centers - Medical Services"
"AK-000022","Ryan White Providers"
"AK-000023","Family Planning Providers"
"AK-000023","Sexually Transmitted Disease Clinics"
"AK-000023","Tuberculosis Clinics"
"AK-000024","Federally Qualified Health Centers - Medical Services"
"AK-000024","Indian Health Service"
"AK-000024","Tribal Health Program operated under P.L. 93-638"
"AK-000025","Federally Qualified Health Centers - Medical Services"
"AK-000026","Indian Health Service"
"AK-000026","Other ECP Providers"
"AK-000026","Tribal Health Program operated under P.L. 93-638"
"AK-000027","Community Mental Health Centers"
"AK-000027","Dental Providers"
"AK-000027","Federally Qualified Health Centers - Dental Services"
"AK-000027","Federally Qualified Health Centers - Medical Services"
"AK-000027","Rural Health Clinics"
"AK-000027","Sexually Transmitted Disease Clinics"
"AK-000028","Federally Qualified Health Centers - Medical Services"
"AK-000028","Indian Health Service"
"AK-000029","Indian Health Service"
"AK-000029","Other ECP Providers"
"AK-000029","Tribal Health Program operated under P.L. 93-638"
"AK-000030","Inpatient Hospitals (other than children's hospitals)"
"AK-000030","Tribal Health Program operated under P.L. 93-638"
"AK-000031","Dental Providers"
"AK-000031","Outpatient Hospital Clinics"
"AK-000031","Tribal Health Program operated under P.L. 93-638"
"AK-000032","Community Mental Health Centers"
"AK-000032","Dental Providers"
"AK-000032","Federally Qualified Health Centers - Dental Services"
"AK-000032","Federally Qualified Health Centers - Medical Services"
"AK-000032","Rural Health Clinics"
"AK-000032","Sexually Transmitted Disease Clinics"
"AK-000033","Indian Health Service"
"AK-000033","Other ECP Providers"
"AK-000033","Tribal Health Program operated under P.L. 93-638"
"AK-000034","Indian Health Service"
"AK-000034","Other ECP Providers"
"AK-000034","Tribal Health Program operated under P.L. 93-638"
"AK-000035","Federally Qualified Health Centers - Medical Services"
"AK-000036","Indian Health Service"
"AK-000036","Other ECP Providers"
"AK-000036","Tribal Health Program operated under P.L. 93-638"
"AK-000037","Indian Health Service"
"AK-000037","Other ECP Providers"
"AK-000037","Tribal Health Program operated under P.L. 93-638"
"AK-000038","Dental Providers"
"AK-000039","Dental Providers"
"AK-000039","Indian Health Service"
"AK-000039","Other ECP Providers"
"AK-000039","Tribal Health Program operated under P.L. 93-638"
"AK-000040","Dental Providers"
"AK-000040","Indian Health Service"
"AK-000040","Other ECP Providers"
"AK-000040","Tribal Health Program operated under P.L. 93-638"
"AK-000041","Indian Health Service"
"AK-000041","Other ECP Providers"
"AK-000041","Tribal Health Program operated under P.L. 93-638"
"AK-000042","Community Mental Health Centers"
"AK-000042","Indian Health Service"
"AK-000042","Rural Health Clinics"
"AK-000043","Indian Health Service"
"AK-000043","Other ECP Providers"
"AK-000043","Tribal Health Program operated under P.L. 93-638"
"AK-000044","Dental Providers"
"AK-000044","Indian Health Service"
"AK-000044","Other ECP Providers"
"AK-000044","Tribal Health Program operated under P.L. 93-638"
"AK-000044","Urban Indian Health Program"
"AK-000045","Dental Providers"
"AK-000045","Indian Health Service"
"AK-000045","Other ECP Providers"
"AK-000045","Tribal Health Program operated under P.L. 93-638"
"AK-000045","Urban Indian Health Program"
"AK-000046","Dental Providers"
"AK-000046","Indian Health Service"
"AK-000046","Other ECP Providers"
"AK-000046","Tribal Health Program operated under P.L. 93-638"
"AK-000046","Urban Indian Health Program"
"AK-000047","Rural Health Clinics"
"AK-000047","Tribal Health Program operated under P.L. 93-638"
"AK-000048","Dental Providers"
"AK-000048","Indian Health Service"
"AK-000048","Other ECP Providers"
"AK-000048","Tribal Health Program operated under P.L. 93-638"
"AK-000049","Dental Providers"
"AK-000049","Indian Health Service"
"AK-000049","Other ECP Providers"
"AK-000049","Tribal Health Program operated under P.L. 93-638"
"AK-000049","Urban Indian Health Program"
"AK-000050","Federally Qualified Health Centers - Medical Services"
"AK-000051","Community Mental Health Centers"
"AK-000051","Dental Providers"
"AK-000051","Family Planning Providers"
"AK-000051","Federally Qualified Health Centers - Medical Services"
"AK-000051","Rural Health Clinics"
"AK-000051","Ryan White Providers"
"AK-000051","Tribal Health Program operated under P.L. 93-638"
"AK-000052","Other ECP Providers"
"AK-000052","Tribal Health Program operated under P.L. 93-638"
"AK-000053","Dental Providers"
"AK-000054","Federally Qualified Health Centers - Medical Services"
"AK-000054","Tribal Health Program operated under P.L. 93-638"
"AK-000055","Indian Health Service"
"AK-000055","Other ECP Providers"
"AK-000055","Tribal Health Program operated under P.L. 93-638"
"AK-000056","Federally Qualified Health Centers - Medical Services"
"AK-000057","Indian Health Service"
"AK-000057","Inpatient Hospitals (other than children's hospitals)"
"AK-000057","Tribal Health Program operated under P.L. 93-638"
"AK-000057","Urban Indian Health Program"
"AK-000058","Dental Providers"
"AK-000058","Indian Health Service"
"AK-000058","Other ECP Providers"
"AK-000058","Outpatient Hospital Clinics"
"AK-000058","Tribal Health Program operated under P.L. 93-638"
"AK-000058","Urban Indian Health Program"
"AK-000059","Dental Providers"
"AK-000059","Indian Health Service"
"AK-000059","Other ECP Providers"
"AK-000059","Tribal Health Program operated under P.L. 93-638"
"AK-000060","Dental Providers"
"AK-000060","Indian Health Service"
"AK-000060","Other ECP Providers"
"AK-000060","Tribal Health Program operated under P.L. 93-638"
"AK-000061","Federally Qualified Health Centers - Medical Services"
"AK-000062","Indian Health Service"
"AK-000062","Other ECP Providers"
"AK-000062","Tribal Health Program operated under P.L. 93-638"
"AK-000063","Dental Providers"
"AK-000063","Indian Health Service"
"AK-000063","Other ECP Providers"
"AK-000063","Tribal Health Program operated under P.L. 93-638"
"AK-000063","Urban Indian Health Program"
"AK-000064","Dental Providers"
"AK-000064","Indian Health Service"
"AK-000064","Other ECP Providers"
"AK-000064","Tribal Health Program operated under P.L. 93-638"
"AK-000064","Urban Indian Health Program"
"AK-000065","Federally Qualified Health Centers - Medical Services"
"AK-000066","Federally Qualified Health Centers - Medical Services"
"AK-000067","Dental Providers"
"AK-000067","Indian Health Service"
"AK-000067","Other ECP Providers"
"AK-000067","Tribal Health Program operated under P.L. 93-638"
"AK-000068","Dental Providers"
"AK-000068","Federally Qualified Health Centers - Medical Services"
