reference_num,npi,street,city,state_abr,zip,latitude,longitude,state_name,coded_county
AK-000001,1285796094,2105 Main St,Adak,AK,99546,51.884895,-176.597541,Alaska,Aleutians West
AK-000170,1205883907,500 Molina,Port Lions,AK,99550,57.873013,-152.874295,Alaska,Kodiak Island Borough
AK-000005,1558423392,113 Main St,Akutan,AK,99553,54.128954,-165.792862,Alaska,Aleutians East Borough
AK-000201,1821201278,303 Easton Rd,Tok,AK,99780,63.327992,-143.033813,Alaska,Southeast Fairbanks Census Area
AK-000016,1437368891,4315 Diplomacy Dr,Anchorage,AK,99508,61.182357,-149.80059,Alaska,Municipality of Anchorage
AK-000022,1669475166,4951 Business Park Blvd,Anchorage,AK,99503,61.176031,-149.888156,Alaska,Municipality of Anchorage
AK-000027,1578753067,100 Main St,Arctic Village,AK,99722,68.147243,-145.571658,Alaska,Yukon-Koyukuk Census Area
AK-000031,1306933643,7000 Uula St,Barrow,AK,99723,71.297054,-156.730248,Alaska,North Slope Borough
AK-000032,1205027505,101 Main St,Beaver,AK,99724,66.5,-146.91667,Alaska,Yukon-Koyukuk Census Area
AK-000044,1871654582,Main St,Chignik Bay,AK,99564,56.302636,-158.408989,Alaska,Lake and Peninsula Borough
AK-000045,1578623641,Main St,Chignik Lagoon,AK,99576,56.306591,-158.491809,Alaska,Lake and Peninsula Borough
AK-000046,1962563676,36 Alder Rd,Chignik Lake,AK,99548,56.256725,-158.806639,Alaska,Lake and Peninsula Borough
AK-000049,1922160464,Main St,Clarks Point,AK,99569,58.835714,-158.535351,Alaska,Dillingham Census Area
AK-000051,1124180963,65 Main St,Cold Bay,AK,99571,55.238015,-162.75916,Alaska,Aleutians East Borough
AK-000076,1306987532,Mile 111.5 Richardson Hwy,Glennallen,AK,99588,62.137028,-145.795769,Alaska,Valdez-Cordova Census Area
AK-000058,1831270842,6000 Kanakanak Rd,Dillingham,AK,99576,59.000439,-158.536426,Alaska,Dillingham Census Area
AK-000063,1699836007,Main St,Egegik,AK,99579,58.238642,-157.578073,Alaska,Lake and Peninsula Borough
AK-000068,1588739015,1606 23rd Ave,Fairbanks,AK,99701,64.82944,-147.629116,Alaska,Fairbanks North Star Borough
AK-000071,1841352689,49 Main St,False Pass,AK,99583,54.851211,-163.415023,Alaska,Aleutians East Borough
AK-000073,1225228729,101 Main St,Fort Yukon,AK,99740,66.564682,-145.273779,Alaska,Yukon-Koyukuk Census Area
AK-000072,1871704395,101 Spruce St,Fort Yukon,AK,99740,66.564682,-145.273779,Alaska,Yukon-Koyukuk Census Area
AK-000081,1932184298,131 1st Ave S,Haines,AK,99827,59.23345,-135.444628,Alaska,Haines Borough
AK-000085,1336178847,880 E End Rd,Homer,AK,99603,59.650418,-151.522209,Alaska,Kenai Peninsula Borough
AK-000093,1942284765,1200 Salmon Creek Ln,Juneau,AK,99801,58.331021,-134.466959,Alaska,Juneau City and Borough
AK-000103,1700984614,395 Main Street Loop,Kenai,AK,99611,60.557652,-151.25617,Alaska,Kenai Peninsula Borough
AK-000104,1932114600,508 Upland St,Kenai,AK,99611,60.552742,-151.263307,Alaska,Kenai Peninsula Borough
AK-000106,1043533946,2960 Tongass Ave,Ketchikan,AK,99901,55.35257,-131.684451,Alaska,Ketchikan Gateway Borough
AK-000108,1891856894,Main St,King Salmon,AK,99613,58.688703,-156.661378,Alaska,Bristol Bay Borough
AK-000110,1306173752,7300 Klawock Hollis Highway,Klawock,AK,99925,55.555124,-133.088093,Alaska,
AK-000112,1326047044,1911 E Rezanof Dr,Kodiak,AK,99615,57.800871,-152.375436,Alaska,Kodiak Island Borough
AK-000116,1013079607,Main St,Koliganek,AK,99576,59.705152,-157.231923,Alaska,Dillingham Census Area
AK-000120,1316995210,436 Fifth And Stevens Way,Kotzebue,AK,99752,66.860442,-162.531602,Alaska,Northwest Arctic Borough
