"state_name","state_abbrev","county_name","state_fips","county_fips","state_county_fips","year","population"
"Alabama","AL","Autauga","01","001","01001","2017","00055504"
"Alabama","AL","Autauga","01","001","01001","2016","00055416"
"Alabama","AL","Autauga","01","001","01001","2015","00055347"
"Alabama","AL","Autauga","01","001","01001","2014","00055395"
"Alabama","AL","Autauga","01","001","01001","2013","00055246"
"Alabama","AL","Autauga","01","001","01001","2010","00054571"
"Alabama","AL","Baldwin","01","003","01003","2017","00212628"
"Alabama","AL","Baldwin","01","003","01003","2016","00208563"
"Alabama","AL","Baldwin","01","003","01003","2015","00203709"
"Alabama","AL","Baldwin","01","003","01003","2014","00200111"
"Alabama","AL","Baldwin","01","003","01003","2013","00195540"
"Alabama","AL","Baldwin","01","003","01003","2010","00182265"
"Alabama","AL","Barbour","01","005","01005","2017","00025270"
"Alabama","AL","Barbour","01","005","01005","2016","00025965"
"Alabama","AL","Barbour","01","005","01005","2015","00026489"
"Alabama","AL","Barbour","01","005","01005","2014","00026887"
"Alabama","AL","Barbour","01","005","01005","2013","00027076"
"Alabama","AL","Barbour","01","005","01005","2010","00027457"
"Alabama","AL","Bibb","01","007","01007","2017","00022668"
"Alabama","AL","Bibb","01","007","01007","2016","00022643"
"Alabama","AL","Bibb","01","007","01007","2015","00022583"
"Alabama","AL","Bibb","01","007","01007","2014","00022506"
"Alabama","AL","Bibb","01","007","01007","2013","00022512"
"Alabama","AL","Bibb","01","007","01007","2010","00022915"
"Alabama","AL","Blount","01","009","01009","2017","00058013"
"Alabama","AL","Blount","01","009","01009","2016","00057704"
"Alabama","AL","Blount","01","009","01009","2015","00057673"
"Alabama","AL","Blount","01","009","01009","2014","00057719"
"Alabama","AL","Blount","01","009","01009","2013","00057872"
"Alabama","AL","Blount","01","009","01009","2010","00057322"
"Alabama","AL","Bullock","01","011","01011","2017","00010309"
"Alabama","AL","Bullock","01","011","01011","2016","00010362"
"Alabama","AL","Bullock","01","011","01011","2015","00010696"
"Alabama","AL","Bullock","01","011","01011","2014","00010764"
"Alabama","AL","Bullock","01","011","01011","2013","00010639"
"Alabama","AL","Bullock","01","011","01011","2010","00010914"
"Alabama","AL","Butler","01","013","01013","2017","00019825"
"Alabama","AL","Butler","01","013","01013","2016","00019998"
"Alabama","AL","Butler","01","013","01013","2015","00020154"
"Alabama","AL","Butler","01","013","01013","2014","00020296"
"Alabama","AL","Butler","01","013","01013","2013","00020265"
"Alabama","AL","Butler","01","013","01013","2010","00020947"
"Alabama","AL","Calhoun","01","015","01015","2017","00114728"
"Alabama","AL","Calhoun","01","015","01015","2016","00114611"
"Alabama","AL","Calhoun","01","015","01015","2015","00115620"
"Alabama","AL","Calhoun","01","015","01015","2014","00115916"
"Alabama","AL","Calhoun","01","015","01015","2013","00116736"
"Alabama","AL","Calhoun","01","015","01015","2010","00118572"
"Alabama","AL","Chambers","01","017","01017","2017","00033713"
"Alabama","AL","Chambers","01","017","01017","2016","00033843"
"Alabama","AL","Chambers","01","017","01017","2015","00034123"
"Alabama","AL","Chambers","01","017","01017","2014","00034076"
"Alabama","AL","Chambers","01","017","01017","2013","00034162"
"Alabama","AL","Chambers","01","017","01017","2010","00034215"
"Alabama","AL","Cherokee","01","019","01019","2017","00025857"
"Alabama","AL","Cherokee","01","019","01019","2016","00025725"
"Alabama","AL","Cherokee","01","019","01019","2015","00025859"
"Alabama","AL","Cherokee","01","019","01019","2014","00026037"
"Alabama","AL","Cherokee","01","019","01019","2013","00026203"
"Alabama","AL","Cherokee","01","019","01019","2010","00025989"
"Alabama","AL","Chilton","01","021","01021","2017","00044067"
"Alabama","AL","Chilton","01","021","01021","2016","00043941"
"Alabama","AL","Chilton","01","021","01021","2015","00043943"
"Alabama","AL","Chilton","01","021","01021","2014","00043931"
"Alabama","AL","Chilton","01","021","01021","2013","00043951"
"Alabama","AL","Chilton","01","021","01021","2010","00043643"
"Alabama","AL","Choctaw","01","023","01023","2017","00012945"
"Alabama","AL","Choctaw","01","023","01023","2016","00012993"
"Alabama","AL","Choctaw","01","023","01023","2015","00013170"
"Alabama","AL","Choctaw","01","023","01023","2014","00013323"
"Alabama","AL","Choctaw","01","023","01023","2013","00013426"
"Alabama","AL","Choctaw","01","023","01023","2010","00013859"
"Alabama","AL","Clarke","01","025","01025","2017","00024083"
"Alabama","AL","Clarke","01","025","01025","2016","00024392"
"Alabama","AL","Clarke","01","025","01025","2015","00024675"
