"hc_id","year","hc_type","HealthCenterName","HealthCenterState"
"'01E00188",2019,"lookalike","COMMUNITY CLINICAL SERVICES, INC.","ME"
"'01E01129",2019,"lookalike","INTERCOMMUNITY, INC.","CT"
"'01E01297",2019,"lookalike","WHITE MTN CMMTY HEALTH CENTER","NH"
"'027370",2019,"lookalike","COMMUNITY MEDICAL AND DENTAL CARE, INC","NY"
"'02E01238",2019,"lookalike","TRI COUNTY FAMILY MEDICINE PROGRAM","NY"
"'02E01239",2019,"lookalike","TRILLIUM HEALTH, INC.","NY"
"'02E01288",2019,"lookalike","LASANTE HEALTH CENTER, INC.","NY"
"'02E01296",2019,"lookalike","HIS BRANCHES, INC.","NY"
"'03E00460",2019,"lookalike","WRIGHT CENTER MEDICAL GROUP, P.C., THE","PA"
"'03E00566",2019,"lookalike","METRO FAMILY PRACTICE, INC.","PA"
"'03E00583",2019,"lookalike","RURAL HEALTH ACCESS CORPORATION","WV"
"'03E00793",2019,"lookalike","HYGEIA FACILITIES FOUNDATION, INC.","WV"
"'03E00937",2019,"lookalike","SHARON COMMUNITY HEALTH CENTER, INC.","PA"
"'03E01267",2019,"lookalike","COMMUNITY ACCESS NETWORK, INC.","VA"
"'03E01355",2019,"lookalike","MULTI-CULTURAL HEALTH EVALUATION DELIVERY SYSTEM, INC.","PA"
"'044855E",2019,"lookalike","HOT SPRINGS HEALTH PROGRAM INC","NC"
"'04E01130",2019,"lookalike","LEE MEMORIAL HEALTH SYSTEM","FL"
"'04E01274",2019,"lookalike","WHOLE FAMILY HEALTH CENTER, INC.","FL"
"'04E01286",2019,"lookalike","CLOVER FORK OUTPATIENT MEDICAL PROJECT, INC.","KY"
"'04E01290",2019,"lookalike","BLACK RIVER HEALTH SERVICES INC","NC"
"'04E01301",2019,"lookalike","CARETEAM PLUS, INC.","SC"
"'04E01321",2019,"lookalike","SOUTHWEST GEORGIA HEALTHCARE CLINICS, INC.","GA"
"'04E01364",2019,"lookalike","NEIGHBORHEALTH CENTER, INC.","NC"
"'05E00734",2019,"lookalike","KNOX/WINAMAC COMMUNITY HEALTH CENTERS, INC","IN"
"'05E00781",2019,"lookalike","UNIVERSAL MEDICAL SERVICES, INC.","MN"
"'05E00936",2019,"lookalike","HEALTH CENTERS DETROIT FOUNDATION, INC.","MI"
"'05E01162",2019,"lookalike","LEGACY MEDICAL CARE INC.","IL"
"'05E01262",2019,"lookalike","CATHERINE'S HEALTH CENTER","MI"
"'05E01266",2019,"lookalike","GREENE COUNTY HEALTH, INC.","IN"
"'05E01271",2019,"lookalike","ASPIRE HEALTH CENTER","IN"
"'05E01284",2019,"lookalike","EQUITAS HEALTH, INC.","OH"
