"hc_id","year","identified_high_risk_6_9","sealants_high_risk_6_9"
"'010030",2019,"327","166"
"'010040",2019,"0","0"
"'010060",2019,"79","64"
"'010070",2019,"46","25"
"'010120",2019,"2","1"
"'010130",2019,"0","0"
"'010150",2019,"109","61"
"'010160",2019,"76","63"
"'010170",2019,"104","75"
"'010220",2019,"34","24"
"'010330",2019,"134","79"
"'010340",2019,"16","4"
"'010380",2019,"14","4"
"'010450",2019,"7","5"
"'010460",2019,"23","7"
"'010480",2019,"95","58"
"'010530",2019,"134","90"
"'010570",2019,"29","25"
"'010580",2019,"935","506"
"'010600",2019,"7","5"
"'010640",2019,"147","111"
"'010700",2019,"35","18"
"'010710",2019,"303","63"
"'010720",2019,"228","115"
"'010760",2019,"0","0"
"'010800",2019,"63","24"
"'010810",2019,"105","79"
"'010830",2019,"149","67"
"'010840",2019,"58","57"
"'010850",2019,"63","53"
"'010860",2019,"19","16"
"'010980",2019,"4","1"
"'011190",2019,"0","0"
"'011210",2019,"0","0"
"'0112200",2019,"0","0"
"'0112210",2019,"159","98"
"'0112220",2019,"0","0"
"'0112230",2019,"46","25"
"'011230",2019,"17","3"
"'011260",2019,"36","21"
"'011270",2019,"170","77"
"'011280",2019,"60","50"
"'011430",2019,"192","157"
"'011440",2019,"200","110"
"'0114410",2019,"13","9"
"'011450",2019,"4","3"
"'011460",2019,"92","75"
"'0115570",2019,"38","18"
"'011580",2019,"0","0"
"'011640",2019,"0","0"
"'011720",2019,"0","0"
"'011820",2019,"261","223"
"'011830",2019,"109","36"
"'011890",2019,"148","58"
"'011930",2019,"101","53"
"'011990",2019,"208","111"
"'012010",2019,"85","43"
"'012070",2019,"341","253"
"'012080",2019,"404","246"
"'012120",2019,"109","56"
"'012160",2019,"0","0"
"'012230",2019,"23","21"
"'012410",2019,"774","684"
"'013240",2019,"211","119"
"'013250",2019,"90","30"
"'013260",2019,"58","46"
"'013280",2019,"2","2"
"'013370",2019,"298","113"
"'013470",2019,"3","1"
"'013600",2019,"34","19"
"'013840",2019,"51","25"
"'013900",2019,"1046","574"
"'013970",2019,"164","116"
"'014060",2019,"57","57"
"'014580",2019,"319","96"
"'015110",2019,"38","13"
"'015160",2019,"197","68"
