provider_language_id,provider_id,language
540,1154338648,Spanish
577,1821168675,Spanish
599,1770585424,Spanish
600,1770585424, Vietnamese
602,1891702866,Spanish
603,1891702866, French
605,1265515472,Spanish
606,1265515472, French
612,1265635353,Spanish
621,1558465815,Spanish
625,1760611818,Spanish
633,1932123395,Spanish
640,1538416888,Spanish
650,1396905485,Spanish
663,1508843715,German
664,1508843715, Korean
669,1255462958,Gujarati
670,1255462958, Hindi
682,1841321981,Spanish
684,1124236047,Spanish
697,1003350059,Spanish
760,1306802665,Spanish
782,1548347958,Spanish
783,1548347958, American Sign Language
790,1154419935,Spanish
791,1538257290,Spanish
912,1144296302,Spanish
932,1316137110,Spanish
967,1215950753,Spanish
974,1447377783,Spanish
987,1356301659,Spanish
997,1891884672,German
998,1891884672, Spanish
1000,1801967898,Chinese
1058,1316212186,Spanish
1071,1255319091,Spanish
1085,1912430893,Spanish
1088,1538689070,Spanish
1093,1841245826,Spanish
1119,1073928560,Spanish
1121,1558314385,Spanish
1123,1568949253,Spanish
1125,1790847176,Spanish
1127,1720374630,Spanish
1129,1093866493,Spanish
1131,1316232838,Spanish
1133,1144485160,Spanish
1136,1275645632,Spanish
1139,1730333949,Spanish
1142,1720599897,Spanish
1143,1720599897, American Sign Language
1148,1922348507,Spanish
1150,1679614804,Spanish
1152,1336251800,Spanish
1154,1023375235,Spanish
1164,1235241746,Spanish
1170,1598251423,Spanish
1172,1891280913,Spanish
1179,1740736990,Spanish
1181,1912021247,Spanish
1183,1972098911,Spanish
1190,1104168244,Spanish
1191,1124438122,Spanish
1193,1821397589,Spanish
1195,1649703885,Spanish
1197,1639738453,Spanish
1198,1639738453, Chinese
1209,1568020402,Spanish
1217,1750304390,Spanish
1218,1750304390, American Sign Language
1219,1013418201,Spanish
1223,1861568891,Spanish
1224,1861568891, American Sign Language
1229,1134404734,Spanish
1233,1164915518,Spanish
1238,1659933190,Spanish
1242,1508427030,Spanish
1244,1831208750,Spanish
1247,1255410932,Spanish
1248,1144541095,Spanish
1250,1649599507,Spanish
1252,1447516794,Spanish
1254,1588198725,Spanish
1256,1089555,Spanish
1259,1295185023,Spanish
1261,1063857589,Spanish
1263,1972690824,Spanish
1265,1790743953,Spanish
1271,1518320829,Spanish
1273,1649432584,Vietnamese
1276,1089548,Spanish
1278,1851471593,Spanish
1280,1922138072,Spanish
1282,1306055801,Spanish
1283,1255461315,Spanish
1285,1114115169,Spanish
1287,1089563,Spanish
1291,1932217593,Spanish
1303,1174739726,Spanish
1309,1730298548,Spanish
1310,1396828513,Spanish
1332,1952530131,Spanish
1336,1801202163,Spanish
1338,1770661811,Spanish
1353,1750794632,Spanish
1357,1619142270,Spanish
1360,1992098727,Spanish
1370,1811021546,Spanish
1374,1831257781,Spanish
1375,1831257781, American Sign Language
1390,1659720415,Spanish
1396,1649293143,Spanish
1417,1114412103,Spanish
1434,1881847796,Spanish
1437,1407342884,Spanish
1438,1407342884, Hindi
1440,1922584663,Spanish
1447,1477039006,Spanish
1466,1487910733,Spanish
1467,1487183117,Spanish
1471,1780812313,Spanish
1473,1922387281,Spanish
1490,1477886026,Spanish
1498,1124571559,Spanish
1501,1649293143, Vietnamese
1503,1407330913,Spanish
1513,1255610564,Spanish
1518,1871515726,Spanish
1531,1902190507,Spanish
1533,1538480199,Spanish
1546,1558685339,Spanish
1548,1487914198,Spanish
1553,1114368800,Spanish
1555,1598020893,Spanish
1556,1598020893, Urdu
1558,1912347022,Spanish
1565,1801967898,Spanish
1566,1821004805,Spanish
1569,1285062877,Spanish
1579,1356597504,Spanish
1584,1346581527,Korean
1586,1629283080,Spanish
1597,1089559,German
1598,1089559, Spanish
1600,1780023325,Spanish
1609,1710207618,Spanish
1616,1316202120,Spanish
1624,1184030926,Vietnamese
1631,1912343088,Spanish
1636,1447570825,Spanish
1642,1225111396,Spanish
1645,1033512231,Spanish
1656,1073937488,Korean
1658,1992966261,Spanish
1671,1639461155,Spanish
1677,1477769461,Spanish
1679,1962842773,Spanish
1682,1609037449,Gujarati
1698,1982875746,Spanish
1708,1649302738,Spanish
1712,1790117414,Spanish
1714,1003297326,Vietnamese
1718,1881930014,Spanish
1724,1770965667,Spanish
1730,1184032419,Spanish
1740,1023239050,Spanish
1742,1487939435,Spanish
1744,1700267291,Spanish
1747,1629484324,Spanish
1749,1396185104,Spanish
1752,1801980511,Spanish
1770,1467550400,Spanish
1771,1467550400, German
1780,1609932581,Spanish
1781,1609967959,Spanish
1791,1740373703,Chinese
1792,1740373703, Italian
1797,1831247931,Spanish
1798,1831247931, Persian
1803,1912090986,Chinese
1804,1912090986, Italian
1816,1265694533,Spanish
1820,1063594588,Spanish
1823,1089562,Spanish
1825,1760873343,Spanish
1833,1528079860,Spanish
1836,1841603313,Spanish
1844,1689089906,Spanish
1846,1407954639,Spanish
1849,1275650764,Spanish
1851,1689869745,Spanish
1852,1306299185,Spanish
1855,1427266345,Spanish
1856,1659637908,Spanish
1857,1538459458,Spanish
1859,1124409602,Spanish
1860,1861650004,Spanish
1862,1023138963,Spanish
1864,1871655936,Spanish
1866,1487035283,Spanish
1867,1124097324,Spanish
1869,1003297326,Spanish
1870,1205983350,Spanish
1872,1144341611,Spanish
1877,1356699250,Spanish
1879,1700248085,Spanish
1880,1710070776,Spanish
1884,1528160140,Spanish
1886,1780033621,Spanish
1888,1790135465,Spanish
1890,1285085936,Spanish
1893,1073066171,Spanish
1896,1043692148,Spanish
1897,1669856530,Spanish
1899,1396825170,Spanish
1902,1619050366,Spanish
1904,1104156116,Spanish
1906,1255483806,Spanish
1908,1508803735,Spanish
1910,1649432584, Spanish
1911,1528473634,Spanish
1912,1992970545,Spanish
1913,1089517,Spanish
1915,1447585294,Spanish
1917,1285773580,Spanish
1918,1720469877,Spanish
1919,1366409807,Spanish
1921,1346459278,Spanish
1922,1356743397,Spanish
1924,1089554,Spanish
1928,1770527707,Spanish
1929,1346256203,Spanish
1931,1639399512,Spanish
1933,1962591214,Spanish
1934,1265687552,Spanish
1935,1699863449,Spanish
1997,1477674679,Spanish
2021,1003999202,Arabic
2030,1750506465,Spanish
2035,1063655082,Spanish
2037,1285839761,Spanish
2066,1548461676,Spanish
2067,1548461676, Vietnamese
2073,1124266887,Spanish
2079,1750462214,Spanish
2092,1841475480,Spanish
2095,1760425060,Spanish
2099,1619981248,Spanish
2101,1134314289,Spanish
2108,1033416730,Spanish
2124,1063675924,Spanish
2126,1174602692,Spanish
2130,1871660654,Chinese
2132,1538305719,Spanish
2141,1467788497,Spanish
2143,1588893622,Spanish
2148,1235259557,Spanish
2151,1992856728,American Sign Language
2153,1316080856,Spanish
2157,1558624973,Spanish
2160,1558312801,Spanish
2163,1649534504,Spanish
2166,1659635712,Spanish
2178,1477840056,Spanish
2184,1235492190,Spanish
2185,1235492190, French
2303,1104014430,Spanish
2309,1154335198,Spanish
2312,1710996590,Spanish
2313,1710996590, French
2353,1255381273,Spanish
2356,1861548521,Spanish
2368,1306045547,Spanish
2382,1861691925,Spanish
2385,1982716403,Spanish
2387,1194870121,Spanish
2395,1245349471,Spanish
2417,1912051921,Spanish
2419,1336260702,Gujarati
2445,1821010216,Spanish
2470,1912056102,Spanish
2473,1821188954,Spanish
2491,1114972130,Spanish
2501,1508236530,Spanish
2503,1003822545,Spanish
2509,1184736605,Spanish
2535,1861495400,Spanish
2543,1811089030,Spanish
2570,1316167448,Spanish
2579,1023193109,Spanish
2581,1245519545,Spanish
2585,1184066425,Spanish
2588,1811126915,Spanish
2592,1275940215,Spanish
2606,1437457884,Spanish
2620,1255694063,Spanish
2627,1089550,Spanish
2628,1275740235,Spanish
2635,1104956069,Spanish
2636,1831392380,Spanish
2638,1568022887,Spanish
2640,1093367450,Spanish
2647,1356897623,Spanish
2649,1700314986,Spanish
2650,1861051260,Spanish
2652,1366799009,Spanish
2655,1447811666,Spanish
2657,1477114007,Spanish
2661,1740835529,Spanish
2675,1861493033,Spanish
2677,1089516,Spanish
2682,1992202634,Spanish
2686,1649811746,Spanish
2691,1598241515,Spanish
2703,1093374282,Spanish
3579,1089917,Spanish
3582,1090550,Arabic
3583,1090550, Armenian
3585,1090550,Spanish
3586,1089936,Spanish
3588,1089936,German
3589,1089936, Portuguese
3590,1091019,Spanish
3592,1089730,Urdu
3593,1089730, Pakistani
3594,1089730, Spanish
3596,1089730,Arabic
3597,1089730, Hindi
3598,1089730, Indian
3599,1089730,French
3600,1089730,Spanish
3602,1090207,Chinese
3603,1090207, Persian
3605,1090207,Spanish
3608,1090868,Spanish
3610,1090510,Arabic
3611,1090510, Chinese
3612,1090510,Spanish
3613,1090510, Vietnamese
3614,1090954,Spanish
3617,1090629,Spanish
3620,1090286,Spanish
3623,1089636,Arabic
3624,1089636, Hindi
3625,1089636, Indian
3626,1089636,Spanish
3627,1089636, Vietnamese
3628,1090603,Spanish
3630,1090785,French
3631,1090785, German
3633,1090785,Spanish
3634,1090785,Hindi
3635,1090785, Indian
3636,1091087,Spanish
3639,1089820,Spanish
3640,1089805,Spanish
3642,1089805,Arabic
3643,1089805, Armenian
3644,1089794,Spanish
3647,1090984,Vietnamese
3648,1090984, Spanish
3650,1090984,Chinese
3651,1089670,Arabic
3652,1089670, Armenian
3654,1089670, French
3655,1089670, Spanish
3656,1089670,Spanish
3659,1090888,Spanish
3661,1090634,Spanish
3663,1090588,Spanish
3665,1090588,Portuguese
3666,1090588, Spanish
3667,1090793,Italian
3668,1090793, Polish
3670,1089937,Spanish
3672,1090129,Arabic
3673,1090129, Armenian
3675,1090129,Spanish
3676,1090654,Spanish
3678,1090654,Arabic
3679,1090654, Armenian
3680,1090654,French
3681,1090654, Navajo
3682,1090723,Italian
3683,1090723, Spanish
3685,1090723,Spanish
3686,1090471,Italian
3687,1090471, Spanish
3689,1090471,Spanish
3690,1090761,Persian
3691,1090761, Spanish
3693,1090761,Hebrew
3694,1090761,Spanish
3695,1090552,Spanish
3696,1090552, Navajo
3698,1090106,Spanish
3700,1090106,French
3701,1090106, Hindi
3702,1090106, Indian
3704,1090170,Chinese
3705,1090170, Persian
3708,1090566,Spanish
3709,1090566,Arabic
3710,1090566, Hindi
3711,1090566, Indian
3712,1090876,German
3714,1090445,Spanish
3716,1090445,Persian
3717,1090445, Spanish
3718,1090010,Spanish
3720,1089957,Spanish
3722,1090275,Spanish
3724,1089782,Spanish
3726,1090996,Korean
3727,1090996, Spanish
3729,1090996,Spanish
3730,1090996, Persian
3732,1091051,Spanish
3733,1091051, Vietnamese
3734,1089947,Arabic
3735,1089947, Armenian
3737,1089947,Spanish
3739,1089793,Portuguese
3740,1089793, Spanish
3741,1089793,Spanish
3742,1090281,Spanish
3744,1090344,Spanish
3746,1090344, Vietnamese
3747,1090856,Spanish
3749,1090856,Arabic
3750,1090856, Armenian
3751,1090856,Cantonese
3752,1090856, Spanish
3754,1090341,Hindi
3755,1090341, Indian
3756,1090341, Spanish
3759,1090468,Spanish
3760,1090468, Vietnamese
3762,1090217,Spanish
3763,1089675,Spanish
3765,1090263,Arabic
3766,1090263, Cantonese
3768,1090263,Spanish
3769,1090900,Persian
3770,1090900, Spanish
3772,1089864,Spanish
3774,1089864,Arabic
3775,1089864, Chinese
3776,1089864,Chinese
3777,1089864, Russian
3778,1089864, Vietnamese
3779,1091023,Hindi
3780,1091023, Indian
3781,1091023, Punjabi
3783,1091023,Korean
3784,1091023, Spanish
3785,1090388,Persian
3786,1090388, Russian
3788,1090388,Spanish
3789,1090345,Spanish
3790,1090345, Persian
3792,1090701,Persian
3793,1090701, Korean
3795,1090701,Spanish
3797,1089724,Spanish
3799,1090777,Spanish
3801,1090581,Spanish
3803,1090377,Cantonese
3806,1090626,Spanish
3808,1090626,Arabic
3809,1090626, Spanish
