provider_specialty_id,provider_id,specialty
1,1089036,General Dentistry
2,1089243,General Dentistry
3,1089462,General Dentistry
4,1089276,General Dentistry
5,1089383,General Dentistry
6,1089475,General Dentistry
7,1089419,General Dentistry
8,1089274,General Dentistry
9,1089162,General Dentistry
10,1089167,General Dentistry
11,1089412,General Dentistry
12,1089174,Pediatric Dentistry
13,1089171,Oral and Maxillofacial Surgery
14,1089281,General Dentistry
15,1089131,Pediatric Dentistry
16,1089040,General Dentistry
17,1089482,General Dentistry
18,1089020,General Dentistry
19,1089510,General Dentistry
20,1089282,General Dentistry
21,1089120,General Dentistry
22,1089098,General Dentistry
23,1089329,General Dentistry
24,1089007,General Dentistry
25,1089251,Orthodontics and Dentofacial Orthopedics
26,1089181,General Dentistry
27,1089409,General Dentistry
28,1089272,General Dentistry
29,1089156,General Dentistry
30,1089460,General Dentistry
31,1089466,General Dentistry
32,1089294,General Dentistry
33,1089185,Oral and Maxillofacial Surgery
34,1089175,General Dentistry
35,1089380,General Dentistry
36,1089217,General Dentistry
37,1089190,General Dentistry
38,1089254,General Dentistry
39,1089004,Pediatric Dentistry
40,1089145,Pediatric Dentistry
41,1089005,General Dentistry
42,1088997,General Dentistry
43,1089222,General Dentistry
44,1089278,General Dentistry
45,1089324,Pediatric Dentistry
46,1089113,General Dentistry
47,1089393,General Dentistry
48,1089354,General Dentistry
49,1089375,General Dentistry
50,1089011,General Dentistry
51,1089437,General Dentistry
52,1089396,General Dentistry
53,1089245,General Dentistry
54,1089038,General Dentistry
55,1089189,General Dentistry
56,1089368,General Dentistry
57,1089442,General Dentistry
58,1089009,General Dentistry
59,1089436,General Dentistry
60,1089110,General Dentistry
61,1089112,Pediatric Dentistry
62,1089446,General Dentistry
63,1089390,General Dentistry
64,1089440,General Dentistry
65,1089464,General Dentistry
66,1089405,General Dentistry
67,1089366,General Dentistry
68,1089013,General Dentistry
69,1089084,General Dentistry
70,1089150,General Dentistry
71,1089304,Pediatric Dentistry
72,1089372,Oral and Maxillofacial Surgery
73,1089386,General Dentistry
74,1089102,General Dentistry
75,1089318,General Dentistry
76,1089334,General Dentistry
77,1089126,General Dentistry
78,1089172,General Dentistry
79,1089505,General Dentistry
80,1089024,Pediatric Dentistry
81,1089050,General Dentistry
82,1089132,General Dentistry
83,1089398,General Dentistry
84,1089269,General Dentistry
85,1089319,Oral and Maxillofacial Surgery
86,1089067,General Dentistry
87,1089144,General Dentistry
88,1089253,General Dentistry
89,1089484,Orthodontics and Dentofacial Orthopedics
90,1089327,General Dentistry
91,1089178,Oral and Maxillofacial Surgery
92,1089500,General Dentistry
93,1089118,General Dentistry
94,1089292,General Dentistry
95,1088992,General Dentistry
96,1089199,General Dentistry
97,1089048,General Dentistry
98,1089402,General Dentistry
99,1089221,General Dentistry
100,1089023,General Dentistry
101,1089265,General Dentistry
102,1089352,General Dentistry
103,1089493,General Dentistry
104,1089286,Oral and Maxillofacial Surgery
105,1089047,Oral and Maxillofacial Surgery
106,1089100,Pediatric Dentistry
107,1089483,General Dentistry
108,1089142,General Dentistry
109,1089448,General Dentistry
110,1089242,General Dentistry
111,1089259,General Dentistry
112,1089246,Pediatric Dentistry
113,1089391,Pediatric Dentistry
114,1089415,General Dentistry
115,1089001,Pediatric Dentistry
116,1089357,General Dentistry
117,1089049,General Dentistry
118,1089435,General Dentistry
119,1089117,General Dentistry
120,1089241,General Dentistry
121,1089054,General Dentistry
122,1089198,General Dentistry
123,1089092,General Dentistry
124,1089135,General Dentistry
125,1089053,General Dentistry
126,1089166,General Dentistry
127,1089039,General Dentistry
128,1089378,General Dentistry
129,1089257,General Dentistry
130,1089096,General Dentistry
131,1089355,General Dentistry
132,1089029,General Dentistry
133,1089044,General Dentistry
134,1089045,General Dentistry
135,1089068,General Dentistry
136,1089426,General Dentistry
137,1089332,General Dentistry
138,1089204,Orthodontics and Dentofacial Orthopedics
139,1089058,General Dentistry
140,1089136,General Dentistry
141,1089458,General Dentistry
142,1089157,General Dentistry
143,1089164,General Dentistry
144,1089486,Pediatric Dentistry
145,1089479,General Dentistry
146,1089227,General Dentistry
147,1089064,Pediatric Dentistry
148,1089322,General Dentistry
149,1089056,General Dentistry
150,1089169,General Dentistry
151,1089328,General Dentistry
152,1088993,General Dentistry
153,1089270,General Dentistry
154,1089336,Orthodontics and Dentofacial Orthopedics
155,1089502,General Dentistry
156,1089488,General Dentistry
157,1089337,General Dentistry
158,1089394,General Dentistry
159,1089219,General Dentistry
160,1089341,General Dentistry
161,1089492,General Dentistry
162,1089021,General Dentistry
163,1089438,General Dentistry
164,1089416,General Dentistry
165,1089279,General Dentistry
166,1089480,General Dentistry
167,1089154,General Dentistry
168,1089006,General Dentistry
169,1089041,General Dentistry
170,1089088,General Dentistry
171,1089026,General Dentistry
172,1089014,General Dentistry
173,1089197,General Dentistry
174,1089220,General Dentistry
175,1089325,Pediatric Dentistry
176,1089470,General Dentistry
177,1089358,General Dentistry
178,1089432,General Dentistry
179,1089347,General Dentistry
180,1089495,General Dentistry
181,1089215,General Dentistry
182,1089202,General Dentistry
183,1089445,General Dentistry
184,1089062,General Dentistry
185,1089430,General Dentistry
186,1089031,General Dentistry
187,1089349,General Dentistry
188,1089149,General Dentistry
189,1089384,General Dentistry
190,1089114,General Dentistry
191,1089449,General Dentistry
192,1089130,General Dentistry
193,1089504,General Dentistry
194,1089320,General Dentistry
195,1089501,General Dentistry
196,1089237,General Dentistry
197,1089249,Orthodontics and Dentofacial Orthopedics
198,1089200,General Dentistry
199,1089057,General Dentistry
200,1089155,General Dentistry
201,1089360,General Dentistry
202,1089333,General Dentistry
203,1088994,General Dentistry
204,1089017,General Dentistry
205,1089468,General Dentistry
206,1089473,General Dentistry
207,1089177,Pediatric Dentistry
208,1089090,General Dentistry
209,1089074,Orthodontics and Dentofacial Orthopedics
210,1089356,General Dentistry
211,1089421,General Dentistry
212,1089471,General Dentistry
213,1089104,General Dentistry
214,1089420,General Dentistry
215,1089137,General Dentistry
216,1089086,General Dentistry
217,1089210,General Dentistry
218,1089361,General Dentistry
219,1089291,General Dentistry
220,1089032,General Dentistry
221,1089216,General Dentistry
222,1089256,General Dentistry
223,1089306,General Dentistry
224,1089153,General Dentistry
225,1089122,Orthodontics and Dentofacial Orthopedics
226,1089196,General Dentistry
227,1089395,Pediatric Dentistry
228,1089223,General Dentistry
229,1089317,General Dentistry
230,1089474,Pediatric Dentistry
231,1089507,General Dentistry
232,1089073,General Dentistry
233,1089289,Oral and Maxillofacial Surgery
234,1089359,General Dentistry
235,1089447,General Dentistry
236,1089338,General Dentistry
237,1089107,General Dentistry
238,1089403,General Dentistry
239,1089002,General Dentistry
240,1089093,Endodontics
241,1089400,Endodontics
242,1089433,General Dentistry
243,1089423,General Dentistry
244,1089382,General Dentistry
245,1089191,General Dentistry
246,1089331,General Dentistry
247,1089314,General Dentistry
248,1089123,General Dentistry
249,1089063,General Dentistry
250,1089069,Pediatric Dentistry
251,1089310,Orthodontics and Dentofacial Orthopedics
252,1089028,General Dentistry
253,1089160,General Dentistry
254,1089034,General Dentistry
255,1089266,General Dentistry
256,1089140,General Dentistry
257,1089081,General Dentistry
258,1089498,General Dentistry
259,1089414,General Dentistry
260,1089066,General Dentistry
261,1089387,General Dentistry
262,1089508,General Dentistry
263,1089385,General Dentistry
264,1089134,General Dentistry
265,1089232,General Dentistry
266,1089095,General Dentistry
267,1089046,General Dentistry
268,1089125,Pediatric Dentistry
269,1089297,General Dentistry
270,1089101,General Dentistry
271,1089248,General Dentistry
272,1089192,Pediatric Dentistry
273,1089285,General Dentistry
274,1089494,General Dentistry
275,1089209,General Dentistry
276,1089218,General Dentistry
277,1089428,Pediatric Dentistry
278,1089425,General Dentistry
279,1089247,General Dentistry
280,1089491,General Dentistry
281,1089299,General Dentistry
282,1089307,General Dentistry
283,1089127,General Dentistry
284,1089467,General Dentistry
285,1089179,General Dentistry
286,1089071,General Dentistry
287,1089511,General Dentistry
288,1089370,General Dentistry
289,1089235,General Dentistry
290,1089159,General Dentistry
291,1089367,General Dentistry
292,1089506,Pediatric Dentistry
293,1089454,General Dentistry
294,1089388,General Dentistry
295,1089408,Pediatric Dentistry
296,1089233,Oral and Maxillofacial Surgery
297,1089487,General Dentistry
298,1089298,General Dentistry
299,1089106,General Dentistry
300,1089188,General Dentistry
301,1089214,General Dentistry
302,1089481,General Dentistry
303,1089353,General Dentistry
304,1089290,General Dentistry
305,1089240,General Dentistry
306,1089163,General Dentistry
307,1089165,General Dentistry
308,1089151,General Dentistry
309,1089176,General Dentistry
310,1089330,General Dentistry
311,1089457,General Dentistry
312,1089060,General Dentistry
313,1089128,General Dentistry
314,1089255,General Dentistry
315,1089061,Oral and Maxillofacial Surgery
316,1089343,General Dentistry
317,1089392,General Dentistry
318,1089284,General Dentistry
319,1089121,General Dentistry
320,1089260,General Dentistry
321,1089363,General Dentistry
322,1089148,General Dentistry
323,1089469,Pediatric Dentistry
324,1089302,Pediatric Dentistry
325,1089326,General Dentistry
326,1089261,General Dentistry
327,1089208,General Dentistry
328,1089147,General Dentistry
329,1089193,Orthodontics and Dentofacial Orthopedics
330,1089170,Pediatric Dentistry
331,1089351,General Dentistry
332,1089267,General Dentistry
333,1089043,Pediatric Dentistry
334,1089315,Oral and Maxillofacial Surgery
335,1089077,General Dentistry
