"data_id","table_2019_benchmark","table_actual","base_population","ages","ages_min","indicator_specific","indicator_abbr","indicator_short","tooth_location","dentition_set","category","subcategory","years","statistic","confidence_level","confidence_value","order"
10995,"t02","t05","ages 2-5","2-5",2,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","primary teeth","all","total","1988 - 1994","percent","lower_CI",16.7584,1
10995,"t02","t05","ages 2-5","2-5",2,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","primary teeth","all","total","1988 - 1994","percent","upper_CI",21.5016,99998
11132,"t1","t5","ages 2-5","2-5",2,"prevalence of dental caries","caries","prevalance of caries","any teeth","primary teeth","all","total","1988 - 1994","percent","lower_CI",21.6428,3
11132,"t1","t5","ages 2-5","2-5",2,"prevalence of dental caries","caries","prevalance of caries","any teeth","primary teeth","all","total","1988 - 1994","percent","upper_CI",26.8172,99996
11069,"t09","t10","ages 6-11","6-8",6,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","age (years)","6 -- 8","1988 - 1994","percent","lower_CI",11.442,5
11069,"t09","t10","ages 6-11","6-8",6,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","age (years)","6 -- 8","1988 - 1994","percent","upper_CI",17.518,99994
12191,"t21","t17","ages 6-11","6-8",6,"mean number of sealed first molars of those with dental sealants","sealed","# sealed first molars if have sealants","first molars","permanent teeth","age (years)","6 -- 8","1988 - 1994","mean","lower_CI",2.8868,7
12191,"t21","t17","ages 6-11","6-8",6,"mean number of sealed first molars of those with dental sealants","sealed","# sealed first molars if have sealants","first molars","permanent teeth","age (years)","6 -- 8","1988 - 1994","mean","upper_CI",3.5532,99992
12192,"t21","t17","ages 6-11","6-8",6,"mean number of sealed premolars of those with dental sealants","sealed","# sealed premolars if have sealants","premolars","permanent teeth","age (years)","6 -- 8","1988 - 1994","mean","lower_CI",NA,9
12192,"t21","t17","ages 6-11","6-8",6,"mean number of sealed premolars of those with dental sealants","sealed","# sealed premolars if have sealants","premolars","permanent teeth","age (years)","6 -- 8","1988 - 1994","mean","upper_CI",NA,99990
12193,"t21","t17","ages 6-11","6-8",6,"mean number of sealed secondary molars of those with dental sealants","sealed","# sealed secondary molars if have sealants","secondary molars","permanent teeth","age (years)","6 -- 8","1988 - 1994","mean","lower_CI",NA,11
12193,"t21","t17","ages 6-11","6-8",6,"mean number of sealed secondary molars of those with dental sealants","sealed","# sealed secondary molars if have sealants","secondary molars","permanent teeth","age (years)","6 -- 8","1988 - 1994","mean","upper_CI",NA,99988
12194,"t20","t16","ages 6-11","6-8",6,"mean number of teeth with dental sealants of those with dental dental sealants","sealants","# sealants if have sealant","any teeth","permanent teeth","age (years)","6 -- 8","1988 - 1994","mean","lower_CI",2.8868,13
12194,"t20","t16","ages 6-11","6-8",6,"mean number of teeth with dental sealants of those with dental dental sealants","sealants","# sealants if have sealant","any teeth","permanent teeth","age (years)","6 -- 8","1988 - 1994","mean","upper_CI",3.5532,99986
12196,"t19","t15","ages 6-11","6-8",6,"prevalence of dental sealants","sealants","prevalence of sealants","any teeth","permanent teeth","age (years)","6 -- 8","1988 - 1994","percent","lower_CI",9.216,15
12196,"t19","t15","ages 6-11","6-8",6,"prevalence of dental sealants","sealants","prevalence of sealants","any teeth","permanent teeth","age (years)","6 -- 8","1988 - 1994","percent","upper_CI",19.604,99984
12197,"t10","t11","ages 6-11","6-8",6,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","age (years)","6 -- 8","1988 - 1994","percent","lower_CI",4.6072,17
12197,"t10","t11","ages 6-11","6-8",6,"prevalence of untreatedd tooth decay","untreated caries","prevalance of untreated caries","any teeth","permanent teeth","age (years)","6 -- 8","1988 - 1994","percent","upper_CI",8.2528,99982
11202,"t21","t17","ages 6-11","6-11",6,"mean number of sealed first molars of those with dental sealants","sealed","# sealed first molars if have sealants","first molars","permanent teeth","all","total","1988 - 1994","mean","lower_CI",3.034,19
11202,"t21","t17","ages 6-11","6-11",6,"mean number of sealed first molars of those with dental sealants","sealed","# sealed first molars if have sealants","first molars","permanent teeth","all","total","1988 - 1994","mean","upper_CI",3.426,99980
11203,"t21","t17","ages 6-11","6-11",6,"mean number of sealed premolars of those with dental sealants","sealed","# sealed premolars if have sealants","premolars","permanent teeth","all","total","1988 - 1994","mean","lower_CI",NA,21
11203,"t21","t17","ages 6-11","6-11",6,"mean number of sealed premolars of those with dental sealants","sealed","# sealed premolars if have sealants","premolars","permanent teeth","all","total","1988 - 1994","mean","upper_CI",NA,99978
11204,"t21","t17","ages 6-11","6-11",6,"mean number of sealed secondary molars of those with dental sealants","sealed","# sealed secondary molars if have sealants","secondary molars","permanent teeth","all","total","1988 - 1994","mean","lower_CI",0.286,23
11204,"t21","t17","ages 6-11","6-11",6,"mean number of sealed secondary molars of those with dental sealants","sealed","# sealed secondary molars if have sealants","secondary molars","permanent teeth","all","total","1988 - 1994","mean","upper_CI",0.874,99976
11205,"t20","t16","ages 6-11","6-11",6,"mean number of teeth with dental sealants of those with dental dental sealants","sealants","# sealants if have sealant","any teeth","permanent teeth","all","total","1988 - 1994","mean","lower_CI",3.1644,25
11205,"t20","t16","ages 6-11","6-11",6,"mean number of teeth with dental sealants of those with dental dental sealants","sealants","# sealants if have sealant","any teeth","permanent teeth","all","total","1988 - 1994","mean","upper_CI",3.5956,99974
11206,"t09","t10","ages 6-11","6-11",6,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","all","total","1988 - 1994","percent","lower_CI",22.354,27
11206,"t09","t10","ages 6-11","6-11",6,"prevalence of dental caries","caries","prevalance of caries","any teeth","permanent teeth","all","total","1988 - 1994","percent","upper_CI",28.626,99972
11207,"t19","t15","ages 6-11","6-11",6,"prevalence of dental sealants","sealants","prevalence of sealants","any teeth","permanent teeth","all","total","1988 - 1994","percent","lower_CI",17.0844,29
11207,"t19","t15","ages 6-11","6-11",6,"prevalence of dental sealants","sealants","prevalence of sealants","any teeth","permanent teeth","all","total","1988 - 1994","percent","upper_CI",26.3356,99970
