id ,state,year(s),year_min,residency,measure_group,measure,category,subcategory,population_denominator_dentition,estimate,lower_CI,upper_CI
10001,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,untreated decay,all,total,all adults ages 65+*,10.6,6,15.1
10002,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,untreated decay,region,Upper Peninsula,all adults ages 65+*,8.2,1.7,14.8
10003,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,untreated decay,region,Northern Lower Peninsula,all adults ages 65+*,9.3,2,16.6
10004,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,untreated decay,region,City of Detroit,all adults ages 65+*,17,0.6,33.3
10005,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,untreated decay,region,Suburban Detroit,all adults ages 65+*,7.9,4.6,11.2
10006,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,untreated decay,region,Southern Lower Peninsula,all adults ages 65+*,10.6,3,18.3
10007,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,untreated decay,age,65--74,all adults ages 65+*,12.8,6.9,18.8
10008,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,untreated decay,age,75--84,all adults ages 65+*,7.2,3.2,11.2
10009,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,untreated decay,age,85+,all adults ages 65+*,11,1.3,20.6
10010,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,untreated decay,gender,male,all adults ages 65+*,13.2,7.8,18.6
10011,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,untreated decay,gender,female,all adults ages 65+*,9.6,4.8,14.3
10012,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,untreated decay,race,White,all adults ages 65+*,10.6,5.3,15.8
10013,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,untreated decay,race,Black/African American,all adults ages 65+*,13,1.7,24.4
10014,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,untreated decay,race,Other,all adults ages 65+*,6.9,0,20.7
10015,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,root fragments,all,total,all adults ages 65+*,11.1,7.4,14.8
10016,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,root fragments,region,Upper Peninsula,all adults ages 65+*,5.2,0.9,9.5
10017,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,root fragments,region,Northern Lower Peninsula,all adults ages 65+*,5.6,2.3,8.9
10018,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,root fragments,region,City of Detroit,all adults ages 65+*,16.2,0,33.1
10019,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,root fragments,region,Suburban Detroit,all adults ages 65+*,9.1,3.5,14.7
10020,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,root fragments,region,Southern Lower Peninsula,all adults ages 65+*,13.6,7.6,19.6
10021,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,root fragments,age,65--74,all adults ages 65+*,12.9,7.2,18.6
10022,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,root fragments,age,75--84,all adults ages 65+*,6,1.3,10.8
10023,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,root fragments,age,85+,all adults ages 65+*,15.5,3.4,27.6
10024,Michigan,2016-2017,2016,congregate meal sites,condition of hard tissue,root fragments,gender,male,all adults ages 65+*,13.8,8.2,19.4
