"id","confidence_level","confidence_value","order"
10478,"lower_CI",26.8,1
10478,"upper_CI",39.2,99998
10480,"lower_CI",35,3
10480,"upper_CI",49.8,99996
10481,"lower_CI",,5
10481,"upper_CI",,99994
10482,"lower_CI",,7
10482,"upper_CI",,99992
10483,"lower_CI",26.3,9
10483,"upper_CI",36.1,99990
10484,"lower_CI",2.2,11
10484,"upper_CI",6.2,99988
10487,"lower_CI",12.5,13
10487,"upper_CI",31.9,99986
10488,"lower_CI",2.6,15
10488,"upper_CI",8.8,99984
10489,"lower_CI",24.3,17
10489,"upper_CI",46.1,99982
10490,"lower_CI",18.5,19
10490,"upper_CI",36.1,99980
10491,"lower_CI",3,21
10491,"upper_CI",11.5,99978
10689,"lower_CI",8.1,23
10689,"upper_CI",15.1,99976
10690,"lower_CI",21,25
10690,"upper_CI",29.5,99974
10693,"lower_CI",42.9,27
10693,"upper_CI",56.8,99972
10695,"lower_CI",70.7,29
10695,"upper_CI",90.7,99970
10696,"lower_CI",89.2,31
10696,"upper_CI",97,99968
10699,"lower_CI",64.2,33
10699,"upper_CI",82.7,99966
10700,"lower_CI",5.7,35
10700,"upper_CI",16.2,99964
10701,"lower_CI",10,37
10701,"upper_CI",21.2,99962
10702,"lower_CI",49.9,39
10702,"upper_CI",66.7,99960
10707,"lower_CI",1.5,41
10707,"upper_CI",11.4,99958
10709,"lower_CI",74.3,43
10709,"upper_CI",84.5,99956
10378,"lower_CI",24,45
10378,"upper_CI",34.2,99954
10379,"lower_CI",24.6,47
10379,"upper_CI",35.9,99952
10380,"lower_CI",28.6,49
10380,"upper_CI",47.9,99950
10381,"lower_CI",22.1,51
10381,"upper_CI",39.7,99948
10382,"lower_CI",13.8,53
10382,"upper_CI",29.6,99946
10383,"lower_CI",26.7,55
10383,"upper_CI",38.8,99944
10384,"lower_CI",20.9,57
10384,"upper_CI",33.3,99942
10385,"lower_CI",21.6,59
10385,"upper_CI",34,99940
10386,"lower_CI",24.7,61
10386,"upper_CI",42.8,99938
10387,"lower_CI",32,63
10387,"upper_CI",42.9,99936
10388,"lower_CI",9.9,65
10388,"upper_CI",21,99934
10389,"lower_CI",20.5,67
10389,"upper_CI",34.4,99932
10390,"lower_CI",18.9,69
10390,"upper_CI",33.2,99930
10391,"lower_CI",26.7,71
10391,"upper_CI",44.1,99928
10392,"lower_CI",25.9,73
10392,"upper_CI",41,99926
10393,"lower_CI",19.3,75
10393,"upper_CI",33.5,99924
10394,"lower_CI",17.5,77
10394,"upper_CI",45.9,99922
10395,"lower_CI",31.3,79
10395,"upper_CI",44.6,99920
10396,"lower_CI",13.6,81
10396,"upper_CI",28.5,99918
10397,"lower_CI",23.9,83
10397,"upper_CI",41.6,99916
10398,"lower_CI",41,85
10398,"upper_CI",59,99914
10399,"lower_CI",15.7,87
10399,"upper_CI",41.9,99912
10400,"lower_CI",47.7,89
10400,"upper_CI",71.3,99910
10401,"lower_CI",38.7,91
10401,"upper_CI",65.4,99908
10402,"lower_CI",45.3,93
10402,"upper_CI",83.9,99906
10403,"lower_CI",29.2,95
10403,"upper_CI",58.5,99904
10404,"lower_CI",43.9,97
10404,"upper_CI",61.4,99902
10405,"lower_CI",44.4,99
10405,"upper_CI",63.8,99900
10406,"lower_CI",10.6,101
10406,"upper_CI",53.5,99898
10407,"lower_CI",35.3,103
10407,"upper_CI",55.2,99896
10408,"lower_CI",51.5,105
10408,"upper_CI",83.5,99894
10409,"lower_CI",36.4,107
10409,"upper_CI",65.8,99892
10410,"lower_CI",46.9,109
10410,"upper_CI",69.4,99890
10411,"lower_CI",29.7,111
10411,"upper_CI",57,99888
10412,"lower_CI",21,113
10412,"upper_CI",62,99886
10413,"lower_CI",40.3,115
10413,"upper_CI",62.7,99884
10414,"lower_CI",29,117
10414,"upper_CI",78.6,99882
10415,"lower_CI",28.4,119
10415,"upper_CI",53.9,99880
10416,"lower_CI",34.6,121
10416,"upper_CI",73.4,99878
10417,"lower_CI",36.9,123
10417,"upper_CI",76.6,99876
10418,"lower_CI",7.5,125
10418,"upper_CI",25.2,99874
10419,"lower_CI",9.6,127
10419,"upper_CI",23.8,99872
10420,"lower_CI",26.9,129
10420,"upper_CI",48.2,99870
10421,"lower_CI",7.5,131
10421,"upper_CI",25.2,99868
10422,"lower_CI",10.5,133
10422,"upper_CI",23.7,99866
10423,"lower_CI",53.1,135
10423,"upper_CI",71.4,99864
10424,"lower_CI",14.2,137
10424,"upper_CI",31.5,99862
10425,"lower_CI",9.3,139
10425,"upper_CI",26.1,99860
10426,"lower_CI",43.7,141
10426,"upper_CI",69.4,99858
10427,"lower_CI",17.4,143
10427,"upper_CI",38.5,99856
10428,"lower_CI",5.6,145
10428,"upper_CI",17.6,99854
10429,"lower_CI",31.8,147
10429,"upper_CI",55.1,99852
10430,"lower_CI",16.4,149
10430,"upper_CI",28,99850
10431,"lower_CI",10.2,151
10431,"upper_CI",27.4,99848
10432,"lower_CI",26.6,153
10432,"upper_CI",53,99846
10433,"lower_CI",8.7,155
10433,"upper_CI",33.8,99844
10434,"lower_CI",9.6,157
10434,"upper_CI",26.6,99842
10435,"lower_CI",45.4,159
10435,"upper_CI",70.4,99840
10436,"lower_CI",26.9,161
10436,"upper_CI",48.3,99838
10437,"lower_CI",11.4,163
10437,"upper_CI",21.5,99836
10438,"lower_CI",40.1,165
10438,"upper_CI",57.2,99834
10439,"lower_CI",12.7,167
10439,"upper_CI",26.3,99832
10440,"lower_CI",0.2,169
10440,"upper_CI",18,99830
10441,"lower_CI",41,171
10441,"upper_CI",64.2,99828
10442,"lower_CI",3.3,173
10442,"upper_CI",31,99826
10443,"lower_CI",0.7,175
10443,"upper_CI",21.5,99824
10444,"lower_CI",36,177
10444,"upper_CI",59.5,99822
10445,"lower_CI",14.1,179
10445,"upper_CI",29.4,99820
10446,"lower_CI",14,181
10446,"upper_CI",27.1,99818
10447,"lower_CI",36,183
10447,"upper_CI",59.5,99816
10448,"lower_CI",14.5,185
10448,"upper_CI",36.4,99814
10449,"lower_CI",4.7,187
10449,"upper_CI",30.1,99812
10450,"lower_CI",33,189
10450,"upper_CI",72,99810
10451,"lower_CI",14.7,191
10451,"upper_CI",26.7,99808
10452,"lower_CI",9.2,193
10452,"upper_CI",24.3,99806
10453,"lower_CI",27.9,195
10453,"upper_CI",46.8,99804
10454,"lower_CI",15.5,197
10454,"upper_CI",35.8,99802
10455,"lower_CI",7.7,199
10455,"upper_CI",23.1,99800
10456,"lower_CI",52.4,201
10456,"upper_CI",79.4,99798
10457,"lower_CI",13,203
10457,"upper_CI",26.3,99796
10458,"lower_CI",8.4,205
10458,"upper_CI",20,99794
10459,"lower_CI",36.5,207
10459,"upper_CI",54.6,99792
10460,"lower_CI",19.3,209
10460,"upper_CI",40.5,99790
10461,"lower_CI",13.9,211
10461,"upper_CI",28.6,99788
10462,"lower_CI",43.1,213
10462,"upper_CI",65.4,99786
10463,"lower_CI",10.3,215
10463,"upper_CI",25.7,99784
10464,"lower_CI",8.4,217
10464,"upper_CI",20,99782
10465,"lower_CI",33.5,219
10465,"upper_CI",59.9,99780
10466,"lower_CI",13.2,221
10466,"upper_CI",26.8,99778
10467,"lower_CI",11,223
10467,"upper_CI",27.1,99776
10468,"lower_CI",47.9,225
10468,"upper_CI",69,99774
10469,"lower_CI",16.6,227
10469,"upper_CI",32.9,99772
10470,"lower_CI",7.7,229
10470,"upper_CI",21.9,99770
10471,"lower_CI",34.5,231
10471,"upper_CI",58.6,99768
10472,"lower_CI",10.8,233
10472,"upper_CI",27.7,99766
10473,"lower_CI",8.2,235
10473,"upper_CI",27.6,99764
10474,"lower_CI",49.3,237
10474,"upper_CI",76.9,99762
10475,"lower_CI",16.6,239
10475,"upper_CI",29.1,99760
10476,"lower_CI",10.7,241
10476,"upper_CI",21.5,99758
10477,"lower_CI",35.7,243
10477,"upper_CI",54,99756
10071,"lower_CI",55.2,245
10071,"upper_CI",75.6,99754
10072,"lower_CI",39.2,247
10072,"upper_CI",53.4,99752
10073,"lower_CI",30.3,249
10073,"upper_CI",46,99750
10074,"lower_CI",21.9,251
10074,"upper_CI",46.8,99748
10075,"lower_CI",41.5,253
10075,"upper_CI",51.9,99746
10076,"lower_CI",46.3,255
10076,"upper_CI",67.6,99744
10077,"lower_CI",29.9,257
10077,"upper_CI",42.9,99742
10078,"lower_CI",25.5,259
10078,"upper_CI",41.8,99740
10079,"lower_CI",17.9,261
10079,"upper_CI",40.9,99738
10080,"lower_CI",34.7,263
10080,"upper_CI",44.4,99736
10081,"lower_CI",42.9,265
10081,"upper_CI",63.6,99734
10082,"lower_CI",25.5,267
10082,"upper_CI",38.6,99732
10083,"lower_CI",18.7,269
10083,"upper_CI",35.8,99730
10084,"lower_CI",10.8,271
10084,"upper_CI",33.9,99728
10085,"lower_CI",29.3,273
10085,"upper_CI",39.5,99726
10086,"lower_CI",3.3,275
10086,"upper_CI",7.7,99724
10087,"lower_CI",22.3,277
10087,"upper_CI",35.2,99722
10088,"lower_CI",2.6,279
10088,"upper_CI",7.4,99720
10089,"lower_CI",1,281
10089,"upper_CI",10.5,99718
10090,"lower_CI",21.8,283
10090,"upper_CI",38.2,99716
10091,"lower_CI",1.6,285
10091,"upper_CI",10.6,99714
10092,"lower_CI",0,287
10092,"upper_CI",3.9,99712
10093,"lower_CI",7.9,289
10093,"upper_CI",56.1,99710
10094,"lower_CI",0.3,291
10094,"upper_CI",14.5,99708
10095,"lower_CI",4.3,293
10095,"upper_CI",9,99706
10096,"lower_CI",17.6,295
10096,"upper_CI",34.8,99704
10097,"lower_CI",1.6,297
10097,"upper_CI",7.5,99702
10098,"lower_CI",0,299
10098,"upper_CI",10.3,99700
10099,"lower_CI",27.3,301
10099,"upper_CI",47.2,99698
10100,"lower_CI",0,303
10100,"upper_CI",2.6,99696
10101,"lower_CI",0,305
10101,"upper_CI",9.6,99694
10102,"lower_CI",0.1,307
10102,"upper_CI",20.2,99692
10103,"lower_CI",,309
10103,"upper_CI",,99690
10104,"lower_CI",,311
10104,"upper_CI",,99688
10105,"lower_CI",0,313
10105,"upper_CI",76.7,99686
10106,"lower_CI",0,315
10106,"upper_CI",15.2,99684
10107,"lower_CI",0,317
10107,"upper_CI",8.6,99682
10108,"lower_CI",18.6,319
10108,"upper_CI",46.6,99680
10109,"lower_CI",0,321
10109,"upper_CI",7.6,99678
10110,"lower_CI",0,323
10110,"upper_CI",7.4,99676
10111,"lower_CI",18.7,325
10111,"upper_CI",32.5,99674
10112,"lower_CI",0,327
10112,"upper_CI",10.4,99672
10113,"lower_CI",0,329
10113,"upper_CI",7.4,99670
10114,"lower_CI",1.1,331
10114,"upper_CI",44.3,99668
10115,"lower_CI",0,333
10115,"upper_CI",11.3,99666
10116,"lower_CI",0,335
10116,"upper_CI",9.9,99664
10117,"lower_CI",11.6,337
10117,"upper_CI",83.3,99662
10118,"lower_CI",3.9,339
10118,"upper_CI",11.7,99660
10119,"lower_CI",4.1,341
10119,"upper_CI",8.9,99658
10120,"lower_CI",21.4,343
10120,"upper_CI",34.3,99656
10121,"lower_CI",2.2,345
10121,"upper_CI",9.3,99654
10122,"lower_CI",1.1,347
10122,"upper_CI",8.7,99652
10123,"lower_CI",14.5,349
10123,"upper_CI",35.9,99650
10124,"lower_CI",0.4,351
10124,"upper_CI",4.1,99648
10125,"lower_CI",0.6,353
10125,"upper_CI",6.7,99646
10126,"lower_CI",18.8,355
10126,"upper_CI",34.7,99644
10127,"lower_CI",2.2,357
10127,"upper_CI",8.9,99642
