indicator_variable_original,variable_origin,indicator_category,Denominator,indicator_general,indicator_question_number,before_during_after_pregnancy,indicator_value_number,indicator_value_label,numerator,indicator_specific,desired_direction
DDS_CLN,raw,services,people of child-bearing age with a live birth,teeth cleaned by a dentist or hygienist (12 months before pregnancy),17,before,1,no,teeth not cleaned,did not have teeth cleaned during pregnancy,undesired
DDS_CLN,raw,services,people of child-bearing age with a live birth,teeth cleaned by a dentist or hygienist (12 months before pregnancy),17,before,2,yes,teeth cleaned,had teeth cleaned during pregnancy,desired
TYP_DDS,raw,services,people of child-bearing age with a live birth,teeth cleaned by a dentist or hygienst,7,during,1,no,teeth not cleaned,did not have teeth cleaned before pregnancy,undesired
TYP_DDS,raw,services,people of child-bearing age with a live birth,teeth cleaned by a dentist or hygienst,7,during,2,yes,teeth cleaned,had teeth cleaned before pregnancy,desired
DDS_BORN,raw,services,people of child-bearing age with a live birth,teeth cleaned by a dentist or hygienist (after pregnancy),Y3,after,1,no,teeth not cleaned,did not have teeth cleaned after pregnancy,undesired
DDS_BORN,raw,services,people of child-bearing age with a live birth,teeth cleaned by a dentist or hygienist (after pregnancy),Y3,after,2,yes,teeth cleaned,had teeth cleaned after pregnancy,desired
DDS_CAV,logic skip modified denominator,oral health problem,people of child-bearing age with a live birth,cavities that needed to be filled,Y5a,during,1,no,did not have cavities that needed to be filled,did not have cavities that needed to be filled,desired
DDS_CAV,logic skip modified denominator,oral health problem,people of child-bearing age with a live birth,cavities that needed to be filled,Y5a,during,2,yes,had cavities that needed to be filled,had cavities that needed to be filled,undesired
DDS_GUM,logic skip modified denominator,oral health problem,people of child-bearing age with a live birth,"painful, red, or swollen gums",Y5b,during,1,no,"did not have painful, red, or swollen gums","did not have painful, red, or swollen gums",desired
DDS_GUM,logic skip modified denominator,oral health problem,people of child-bearing age with a live birth,"painful, red, or swollen gums",Y5b,during,2,yes,"had painful, red, or swollen gums","had painful, red, or swollen gums",undesired
DDS_ACHE,logic skip modified denominator,oral health problem,people of child-bearing age with a live birth,toothache during pregnacy,Y5c,during,1,no,did not have a toothache,did not have a toothache,desired
DDS_ACHE,logic skip modified denominator,oral health problem,people of child-bearing age with a live birth,toothache during pregnacy,Y5c,during,2,yes,had a toothache,had a toothache,undesired
DDS_PULL,logic skip modified denominator,oral health problem,people of child-bearing age with a live birth,needed to have a tooth pulled,Y5d,during,1,no,did not need a tooth pulled,did not need a tooth pulled,desired
DDS_PULL,logic skip modified denominator,oral health problem,people of child-bearing age with a live birth,needed to have a tooth pulled,Y5d,during,2,yes,needed a tooth pulled,needed a tooth pulled,undesired
DDS_INJ,logic skip modified denominator,oral health problem,people of child-bearing age with a live birth,"injury to mouth, teeth, or gums",Y5e,during,1,no,did not have an oral injury,did not have an oral injury,desired
DDS_INJ,logic skip modified denominator,oral health problem,people of child-bearing age with a live birth,"injury to mouth, teeth, or gums",Y5e,during,2,yes,had an oral injury,had an oral injury,undesired
DDS_OTH,logic skip modified denominator,oral health problem,people of child-bearing age with a live birth,other problem with teeth or gums,Y5f,during,1,no,did not have an 'other' oral problem,did not have an 'other' oral problem,desired
DDS_OTH,logic skip modified denominator,oral health problem,people of child-bearing age with a live birth,other problem with teeth or gums,Y5f,during,2,yes,had an 'other' oral problem,had an 'other' oral problem,undesired
DDS_WHAT,logic skip modified denominator,oral health problem,people of child-bearing age with a live birth,,Y5g,during,,,,,
DDS_ACPT8,raw,barrier to care,people of child-bearing age with a live birth,difficulty finding a dentist that takes pregnant patients,Y6a,during,1,no,did not have difficulty finding a dentist that takes pregnant patients,did not have difficulty finding a dentist that takes pregnant patients,desired
