state,indicator_short,indicator_detailed,year,sample_size,estimate,ci_lower,ci_upper
Alabama,had dental insurance during pregnancy,had dental insurance during pregnancy,2014,848,57.2,54.1,60.1
Alabama,had dental insurance during pregnancy,had dental insurance during pregnancy,2015,843,55.7,52.8,58.6
Alaska,had dental insurance during pregnancy,had dental insurance during pregnancy,2012,880,77.1,73.7,80.1
Alaska,had dental insurance during pregnancy,had dental insurance during pregnancy,2013,1278,79.3,76.4,81.9
Alaska,had dental insurance during pregnancy,had dental insurance during pregnancy,2014,1183,78.5,75.6,81.2
Alaska,had dental insurance during pregnancy,had dental insurance during pregnancy,2015,1194,80.3,77.5,83
Arkansas,had dental insurance during pregnancy,had dental insurance during pregnancy,2012,804,53.8,48.2,59.4
Arkansas,had dental insurance during pregnancy,had dental insurance during pregnancy,2013,1016,54.3,49.4,59.1
Arkansas,had dental insurance during pregnancy,had dental insurance during pregnancy,2015,884,61.7,57.2,66
Colorado,had dental insurance during pregnancy,had dental insurance during pregnancy,2012,1207,64.5,60.7,68.1
Colorado,had dental insurance during pregnancy,had dental insurance during pregnancy,2013,1628,65,61.7,68.2
Colorado,had dental insurance during pregnancy,had dental insurance during pregnancy,2015,1713,72.3,69.2,75.2
Delaware,had dental insurance during pregnancy,had dental insurance during pregnancy,2012,1013,55.2,52.1,58.4
Delaware,had dental insurance during pregnancy,had dental insurance during pregnancy,2013,994,54.9,51.6,58.1
Delaware,had dental insurance during pregnancy,had dental insurance during pregnancy,2014,912,57.3,53.9,60.6
Delaware,had dental insurance during pregnancy,had dental insurance during pregnancy,2015,913,58.8,55.5,62.1
Georgia,had dental insurance during pregnancy,had dental insurance during pregnancy,2012,1103,51.8,47.8,55.9
Georgia,had dental insurance during pregnancy,had dental insurance during pregnancy,2013,725,39.4,33.9,45.1
Hawaii,had dental insurance during pregnancy,had dental insurance during pregnancy,2012,1458,72.4,69.4,75.2
Hawaii,had dental insurance during pregnancy,had dental insurance during pregnancy,2013,1450,76.5,73.4,79.3
Hawaii,had dental insurance during pregnancy,had dental insurance during pregnancy,2014,1274,76.2,72.9,79.3
Hawaii,had dental insurance during pregnancy,had dental insurance during pregnancy,2015,1274,76.5,73.3,79.4
Illinois,had dental insurance during pregnancy,had dental insurance during pregnancy,2012,1067,68.7,65.5,71.7
Illinois,had dental insurance during pregnancy,had dental insurance during pregnancy,2013,1377,65.9,63.1,68.6
Illinois,had dental insurance during pregnancy,had dental insurance during pregnancy,2014,1406,63.7,60.9,66.4
Illinois,had dental insurance during pregnancy,had dental insurance during pregnancy,2015,1492,72.4,69.9,74.9
Iowa,had dental insurance during pregnancy,had dental insurance during pregnancy,2013,1146,86,82.9,88.6
Iowa,had dental insurance during pregnancy,had dental insurance during pregnancy,2014,1104,81.1,77.4,84.2
Iowa,had dental insurance during pregnancy,had dental insurance during pregnancy,2015,1081,84.7,81.2,87.7
Maine,had dental insurance during pregnancy,had dental insurance during pregnancy,2012,668,57.3,52.8,61.6
Maine,had dental insurance during pregnancy,had dental insurance during pregnancy,2013,939,57.1,53.3,60.7
Maine,had dental insurance during pregnancy,had dental insurance during pregnancy,2014,902,56.9,53.1,60.7
Maine,had dental insurance during pregnancy,had dental insurance during pregnancy,2015,826,59.7,55.7,63.6
Maryland,had dental insurance during pregnancy,had dental insurance during pregnancy,2012,916,81.3,78,84.1
Maryland,had dental insurance during pregnancy,had dental insurance during pregnancy,2013,1266,79.5,76.7,82
Maryland,had dental insurance during pregnancy,had dental insurance during pregnancy,2014,1305,79.4,76.8,81.8
Maryland,had dental insurance during pregnancy,had dental insurance during pregnancy,2015,1255,79.6,77,82
Massachusetts,had dental insurance during pregnancy,had dental insurance during pregnancy,2012,1480,80.5,77.6,83.1
Massachusetts,had dental insurance during pregnancy,had dental insurance during pregnancy,2013,1424,81.9,79.1,84.4
Massachusetts,had dental insurance during pregnancy,had dental insurance during pregnancy,2014,1508,83.5,80.8,85.8
