FIPS_code,geographic_type,short_name,full_name,abbreviation
0,country,United States,United States,USA
1,state,Alabama,Alabama,AL
2,state,Alaska,Alaska,AK
4,state,Arizona,Arizona,AZ
5,state,Arkansas,Arkansas,AR
6,state,California,California,CA
8,state,Colorado,Colorado,CO
9,state,Connecticut,Connecticut,CT
10,state,Delaware,Delaware,DE
11,territory,Washington DC,Washington District of Columbia,DC
12,state,Florida,Florida,FL
13,state,Georgia,Georgia,GA
15,state,Hawaii,Hawaii,HI
16,state,Idaho,Idaho,ID
17,state,Illinois,Illinois,IL
18,state,Indiana,Indiana,IN
19,state,Iowa,Iowa,IA
20,state,Kansas,Kansas,KS
21,state,Kentucky,Kentucky,KY
22,state,Louisiana,Louisiana,LA
23,state,Maine,Maine,ME
24,state,Maryland,Maryland,MD
25,state,Massachusetts,Massachusetts,MA
26,state,Michigan,Michigan,MI
27,state,Minnesota,Minnesota,MN
28,state,Mississippi,Mississippi,MS
29,state,Missouri,Missouri,MO
30,state,Montana,Montana,MT
31,state,Nebraska,Nebraska,NE
32,state,Nevada,Nevada,NV
33,state,New Hampshire,New Hampshire,NH
34,state,New Jersey,New Jersey,NJ
35,state,New Mexico,New Mexico,NM
36,state,New York,New York,NY
37,state,North Carolina,North Carolina,NC
38,state,North Dakota,North Dakota,ND
39,state,Ohio,Ohio,OH
40,state,Oklahoma,Oklahoma,OK
41,state,Oregon,Oregon,OR
42,state,Pennsylvania,Pennsylvania,PA
44,state,Rhode Island,Rhode Island,RI
45,state,South Carolina,South Carolina,SC
46,state,South Dakota,South Dakota,SD
47,state,Tennessee,Tennessee,TN
48,state,Texas,Texas,TX
49,state,Utah,Utah,UT
50,state,Vermont,Vermont,VT
51,state,Virginia,Virginia,VA
53,state,Washington,Washington,WA
54,state,West Virginia,West Virginia,WV
55,state,Wisconsin,Wisconsin,WI
56,state,Wyoming,Wyoming,WY
60,state,American Samoa,American Samoa,AS
66,territory,Guam,Guam,GU
69,territory,Northern Mariana Islands,Northern Mariana Islands,MP
72,territory,Puerto Rico,Puerto Rico,PR
78,territory,Virgin Islands,Virgin Islands,VI
1001,county,"Autauga County, Alabama",Autauga,AL
1003,county,"Baldwin County, Alabama",Baldwin,AL
1005,county,"Barbour County, Alabama",Barbour,AL
1007,county,"Bibb County, Alabama",Bibb,AL
1009,county,"Blount County, Alabama",Blount,AL
1011,county,"Bullock County, Alabama",Bullock,AL
1013,county,"Butler County, Alabama",Butler,AL
1015,county,"Calhoun County, Alabama",Calhoun,AL
1017,county,"Chambers County, Alabama",Chambers,AL
1019,county,"Cherokee County, Alabama",Cherokee,AL
1021,county,"Chilton County, Alabama",Chilton,AL
1023,county,"Choctaw County, Alabama",Choctaw,AL
1025,county,"Clarke County, Alabama",Clarke,AL
1027,county,"Clay County, Alabama",Clay,AL
1029,county,"Cleburne County, Alabama",Cleburne,AL
1031,county,"Coffee County, Alabama",Coffee,AL
1033,county,"Colbert County, Alabama",Colbert,AL
1035,county,"Conecuh County, Alabama",Conecuh,AL
1037,county,"Coosa County, Alabama",Coosa,AL
1039,county,"Covington County, Alabama",Covington,AL
1041,county,"Crenshaw County, Alabama",Crenshaw,AL
1043,county,"Cullman County, Alabama",Cullman,AL
1045,county,"Dale County, Alabama",Dale,AL
1047,county,"Dallas County, Alabama",Dallas,AL
1049,county,"De Kalb County, Alabama",De Kalb,AL
1051,county,"Elmore County, Alabama",Elmore,AL
1053,county,"Escambia County, Alabama",Escambia,AL
1055,county,"Etowah County, Alabama",Etowah,AL
1057,county,"Fayette County, Alabama",Fayette,AL
1059,county,"Franklin County, Alabama",Franklin,AL
1061,county,"Geneva County, Alabama",Geneva,AL
1063,county,"Greene County, Alabama",Greene,AL
1065,county,"Hale County, Alabama",Hale,AL
1067,county,"Henry County, Alabama",Henry,AL
1069,county,"Houston County, Alabama",Houston,AL
1071,county,"Jackson County, Alabama",Jackson,AL
1073,county,"Jefferson County, Alabama",Jefferson,AL
1075,county,"Lamar County, Alabama",Lamar,AL
1077,county,"Lauderdale County, Alabama",Lauderdale,AL
1079,county,"Lawrence County, Alabama",Lawrence,AL
1081,county,"Lee County, Alabama",Lee,AL
1083,county,"Limestone County, Alabama",Limestone,AL
1085,county,"Lowndes County, Alabama",Lowndes,AL
1087,county,"Macon County, Alabama",Macon,AL
1089,county,"Madison County, Alabama",Madison,AL
1091,county,"Marengo County, Alabama",Marengo,AL
1093,county,"Marion County, Alabama",Marion,AL
1095,county,"Marshall County, Alabama",Marshall,AL
1097,county,"Mobile County, Alabama",Mobile,AL
1099,county,"Monroe County, Alabama",Monroe,AL
1101,county,"Montgomery County, Alabama",Montgomery,AL
1103,county,"Morgan County, Alabama",Morgan,AL
1105,county,"Perry County, Alabama",Perry,AL
1107,county,"Pickens County, Alabama",Pickens,AL
1109,county,"Pike County, Alabama",Pike,AL
1111,county,"Randolph County, Alabama",Randolph,AL
1113,county,"Russell County, Alabama",Russell,AL
1115,county,"St Clair County, Alabama",St Clair,AL
1117,county,"Shelby County, Alabama",Shelby,AL
1119,county,"Sumter County, Alabama",Sumter,AL
1121,county,"Talladega County, Alabama",Talladega,AL
1123,county,"Tallapoosa County, Alabama",Tallapoosa,AL
1125,county,"Tuscaloosa County, Alabama",Tuscaloosa,AL
1127,county,"Walker County, Alabama",Walker,AL
1129,county,"Washington County, Alabama",Washington,AL
1131,county,"Wilcox County, Alabama",Wilcox,AL
1133,county,"Winston County, Alabama",Winston,AL
2013,county,"Aleutians East County, Alaska",Aleutians East,AK
2016,county,"Aleutians West County, Alaska",Aleutians West,AK
2020,county,"Anchorage County, Alaska",Anchorage,AK
2050,county,"Bethel County, Alaska",Bethel,AK
2060,county,"Bristol Bay County, Alaska",Bristol Bay,AK
2068,county,"Denali County, Alaska",Denali,AK
2070,county,"Dillingham County, Alaska",Dillingham,AK
2090,county,"Fairbanks North Star County, Alaska",Fairbanks North Star,AK
2100,county,"Haines County, Alaska",Haines,AK
2110,county,"Juneau County, Alaska",Juneau,AK
2122,county,"Kenai Peninsula County, Alaska",Kenai Peninsula,AK
2130,county,"Ketchikan Gateway County, Alaska",Ketchikan Gateway,AK
2150,county,"Kodiak Island County, Alaska",Kodiak Island,AK
2164,county,"Lake and Peninsula County, Alaska",Lake and Peninsula,AK
2170,county,"Matanuska-Susitna County, Alaska",Matanuska-Susitna,AK
2180,county,"Nome County, Alaska",Nome,AK
2185,county,"North Slope County, Alaska",North Slope,AK
2188,county,"Northwest Arctic County, Alaska",Northwest Arctic,AK
2201,county,"Prince of Wales-Outer Ketchikan County, Alaska",Prince of Wales-Outer Ketchikan,AK
2220,county,"Sitka County, Alaska",Sitka,AK
2232,county,"Skagway-Hoonah-Angoon County, Alaska",Skagway-Hoonah-Angoon,AK
2240,county,"Southeast Fairbanks County, Alaska",Southeast Fairbanks,AK
2261,county,"Valdez-Cordova County, Alaska",Valdez-Cordova,AK
2270,county,"Wade Hampton County, Alaska",Wade Hampton,AK
2280,county,"Wrangell-Petersburg County, Alaska",Wrangell-Petersburg,AK
2282,county,"Yakutat County, Alaska",Yakutat,AK
2290,county,"Yukon-Koyukuk County, Alaska",Yukon-Koyukuk,AK
4001,county,"Apache County, Arizona",Apache,AZ
4003,county,"Cochise County, Arizona",Cochise,AZ
4005,county,"Coconino County, Arizona",Coconino,AZ
4007,county,"Gila County, Arizona",Gila,AZ
4009,county,"Graham County, Arizona",Graham,AZ
4011,county,"Greenlee County, Arizona",Greenlee,AZ
4012,county,"La Paz County, Arizona",La Paz,AZ
4013,county,"Maricopa County, Arizona",Maricopa,AZ
4015,county,"Mohave County, Arizona",Mohave,AZ
4017,county,"Navajo County, Arizona",Navajo,AZ
4019,county,"Pima County, Arizona",Pima,AZ
4021,county,"Pinal County, Arizona",Pinal,AZ
4023,county,"Santa Cruz County, Arizona",Santa Cruz,AZ
4025,county,"Yavapai County, Arizona",Yavapai,AZ
4027,county,"Yuma County, Arizona",Yuma,AZ
5001,county,"Arkansas County, Arkansas",Arkansas,AR
5003,county,"Ashley County, Arkansas",Ashley,AR
5005,county,"Baxter County, Arkansas",Baxter,AR
5007,county,"Benton County, Arkansas",Benton,AR
5009,county,"Boone County, Arkansas",Boone,AR
5011,county,"Bradley County, Arkansas",Bradley,AR
5013,county,"Calhoun County, Arkansas",Calhoun,AR
5015,county,"Carroll County, Arkansas",Carroll,AR
5017,county,"Chicot County, Arkansas",Chicot,AR
5019,county,"Clark County, Arkansas",Clark,AR
5021,county,"Clay County, Arkansas",Clay,AR
5023,county,"Cleburne County, Arkansas",Cleburne,AR
5025,county,"Cleveland County, Arkansas",Cleveland,AR
5027,county,"Columbia County, Arkansas",Columbia,AR
5029,county,"Conway County, Arkansas",Conway,AR
5031,county,"Craighead County, Arkansas",Craighead,AR
5033,county,"Crawford County, Arkansas",Crawford,AR
5035,county,"Crittenden County, Arkansas",Crittenden,AR
5037,county,"Cross County, Arkansas",Cross,AR
5039,county,"Dallas County, Arkansas",Dallas,AR
5041,county,"Desha County, Arkansas",Desha,AR
5043,county,"Drew County, Arkansas",Drew,AR
5045,county,"Faulkner County, Arkansas",Faulkner,AR
5047,county,"Franklin County, Arkansas",Franklin,AR
5049,county,"Fulton County, Arkansas",Fulton,AR
5051,county,"Garland County, Arkansas",Garland,AR
5053,county,"Grant County, Arkansas",Grant,AR
5055,county,"Greene County, Arkansas",Greene,AR
5057,county,"Hempstead County, Arkansas",Hempstead,AR
5059,county,"Hot Spring County, Arkansas",Hot Spring,AR
5061,county,"Howard County, Arkansas",Howard,AR
5063,county,"Independence County, Arkansas",Independence,AR
5065,county,"Izard County, Arkansas",Izard,AR
5067,county,"Jackson County, Arkansas",Jackson,AR
5069,county,"Jefferson County, Arkansas",Jefferson,AR
5071,county,"Johnson County, Arkansas",Johnson,AR
5073,county,"Lafayette County, Arkansas",Lafayette,AR
5075,county,"Lawrence County, Arkansas",Lawrence,AR
5077,county,"Lee County, Arkansas",Lee,AR
5079,county,"Lincoln County, Arkansas",Lincoln,AR
5081,county,"Little River County, Arkansas",Little River,AR
5083,county,"Logan County, Arkansas",Logan,AR
5085,county,"Lonoke County, Arkansas",Lonoke,AR
5087,county,"Madison County, Arkansas",Madison,AR
5089,county,"Marion County, Arkansas",Marion,AR
5091,county,"Miller County, Arkansas",Miller,AR
5093,county,"Mississippi County, Arkansas",Mississippi,AR
5095,county,"Monroe County, Arkansas",Monroe,AR
5097,county,"Montgomery County, Arkansas",Montgomery,AR
5099,county,"Nevada County, Arkansas",Nevada,AR
5101,county,"Newton County, Arkansas",Newton,AR
5103,county,"Ouachita County, Arkansas",Ouachita,AR
5105,county,"Perry County, Arkansas",Perry,AR
5107,county,"Phillips County, Arkansas",Phillips,AR
5109,county,"Pike County, Arkansas",Pike,AR
5111,county,"Poinsett County, Arkansas",Poinsett,AR
5113,county,"Polk County, Arkansas",Polk,AR
5115,county,"Pope County, Arkansas",Pope,AR
5117,county,"Prairie County, Arkansas",Prairie,AR
5119,county,"Pulaski County, Arkansas",Pulaski,AR
5121,county,"Randolph County, Arkansas",Randolph,AR
5123,county,"St Francis County, Arkansas",St Francis,AR
5125,county,"Saline County, Arkansas",Saline,AR
5127,county,"Scott County, Arkansas",Scott,AR
5129,county,"Searcy County, Arkansas",Searcy,AR
5131,county,"Sebastian County, Arkansas",Sebastian,AR
5133,county,"Sevier County, Arkansas",Sevier,AR
5135,county,"Sharp County, Arkansas",Sharp,AR
5137,county,"Stone County, Arkansas",Stone,AR
5139,county,"Union County, Arkansas",Union,AR
5141,county,"Van Buren County, Arkansas",Van Buren,AR
5143,county,"Washington County, Arkansas",Washington,AR
5145,county,"White County, Arkansas",White,AR
5147,county,"Woodruff County, Arkansas",Woodruff,AR
5149,county,"Yell County, Arkansas",Yell,AR
6001,county,"Alameda County, California",Alameda,CA
6003,county,"Alpine County, California",Alpine,CA
6005,county,"Amador County, California",Amador,CA
6007,county,"Butte County, California",Butte,CA
6009,county,"Calaveras County, California",Calaveras,CA
6011,county,"Colusa County, California",Colusa,CA
6013,county,"Contra Costa County, California",Contra Costa,CA
6015,county,"Del Norte County, California",Del Norte,CA
6017,county,"El Dorado County, California",El Dorado,CA
6019,county,"Fresno County, California",Fresno,CA
6021,county,"Glenn County, California",Glenn,CA
6023,county,"Humboldt County, California",Humboldt,CA
6025,county,"Imperial County, California",Imperial,CA
6027,county,"Inyo County, California",Inyo,CA
6029,county,"Kern County, California",Kern,CA
6031,county,"Kings County, California",Kings,CA
6033,county,"Lake County, California",Lake,CA
6035,county,"Lassen County, California",Lassen,CA
6037,county,"Los Angeles County, California",Los Angeles,CA
6039,county,"Madera County, California",Madera,CA
6041,county,"Marin County, California",Marin,CA
6043,county,"Mariposa County, California",Mariposa,CA
6045,county,"Mendocino County, California",Mendocino,CA
6047,county,"Merced County, California",Merced,CA
6049,county,"Modoc County, California",Modoc,CA
6051,county,"Mono County, California",Mono,CA
6053,county,"Monterey County, California",Monterey,CA
6055,county,"Napa County, California",Napa,CA
6057,county,"Nevada County, California",Nevada,CA
6059,county,"Orange County, California",Orange,CA
6061,county,"Placer County, California",Placer,CA
6063,county,"Plumas County, California",Plumas,CA
6065,county,"Riverside County, California",Riverside,CA
6067,county,"Sacramento County, California",Sacramento,CA
6069,county,"San Benito County, California",San Benito,CA
6071,county,"San Bernardino County, California",San Bernardino,CA
6073,county,"San Diego County, California",San Diego,CA
6075,county,"San Francisco County, California",San Francisco,CA
6077,county,"San Joaquin County, California",San Joaquin,CA
6079,county,"San Luis Obispo County, California",San Luis Obispo,CA
6081,county,"San Mateo County, California",San Mateo,CA
6083,county,"Santa Barbara County, California",Santa Barbara,CA
6085,county,"Santa Clara County, California",Santa Clara,CA
6087,county,"Santa Cruz County, California",Santa Cruz,CA
6089,county,"Shasta County, California",Shasta,CA
6091,county,"Sierra County, California",Sierra,CA
6093,county,"Siskiyou County, California",Siskiyou,CA
6095,county,"Solano County, California",Solano,CA
6097,county,"Sonoma County, California",Sonoma,CA
6099,county,"Stanislaus County, California",Stanislaus,CA
6101,county,"Sutter County, California",Sutter,CA
6103,county,"Tehama County, California",Tehama,CA
6105,county,"Trinity County, California",Trinity,CA
6107,county,"Tulare County, California",Tulare,CA
6109,county,"Tuolumne County, California",Tuolumne,CA
6111,county,"Ventura County, California",Ventura,CA
6113,county,"Yolo County, California",Yolo,CA
6115,county,"Yuba County, California",Yuba,CA
8001,county,"Adams County, Colorado",Adams,CO
8003,county,"Alamosa County, Colorado",Alamosa,CO
8005,county,"Arapahoe County, Colorado",Arapahoe,CO
8007,county,"Archuleta County, Colorado",Archuleta,CO
8009,county,"Baca County, Colorado",Baca,CO
8011,county,"Bent County, Colorado",Bent,CO
8013,county,"Boulder County, Colorado",Boulder,CO
8015,county,"Chaffee County, Colorado",Chaffee,CO
8017,county,"Cheyenne County, Colorado",Cheyenne,CO
8019,county,"Clear Creek County, Colorado",Clear Creek,CO
8021,county,"Conejos County, Colorado",Conejos,CO
8023,county,"Costilla County, Colorado",Costilla,CO
8025,county,"Crowley County, Colorado",Crowley,CO
8027,county,"Custer County, Colorado",Custer,CO
8029,county,"Delta County, Colorado",Delta,CO
8031,county,"Denver County, Colorado",Denver,CO
8033,county,"Dolores County, Colorado",Dolores,CO
8035,county,"Douglas County, Colorado",Douglas,CO
8037,county,"Eagle County, Colorado",Eagle,CO
8039,county,"Elbert County, Colorado",Elbert,CO
8041,county,"El Paso County, Colorado",El Paso,CO
8043,county,"Fremont County, Colorado",Fremont,CO
