data_id,table_2019_benchmark,table_actual,base_population,ages,ages_min,indicator_specific,indicator_abbr,indicator_short,tooth_location,dentition_set,category,subcategory,years,statistic,estimate_value,estimate_SE,lower_CI,upper_CI
12427,t13,t13,ages 6-11,9-11,9,"mean number of decayed, missing, or filled anteriors of those with decayed, filled, or missing teeth",DMFT,# DMFT anteriors of those with DMFT,anteriors,permanent teeth,age (years),9 -- 11,1999 - 2004,mean,,,,
12445,t13,t13,ages 6-11,9-11,9,"mean number of decayed, missing, or filled anteriors of those with decayed, filled, or missing teeth",DMFT,# DMFT anteriors of those with DMFT,anteriors,permanent teeth,age (years),9 -- 11,2011 - 2016,mean,0.1,0.03,0.0412,0.1588
12429,t13,t13,ages 6-11,9-11,9,"mean number of decayed, missing, or filled molars of those with decayed, filled, or missing teeth",DMFT,# DMFT any molars of those with DMFT,any molars,permanent teeth,age (years),9 -- 11,1999 - 2004,mean,2.1,0.06,1.9824,2.2176
12447,t13,t13,ages 6-11,9-11,9,"mean number of decayed, missing, or filled molars of those with decayed, filled, or missing teeth",DMFT,# DMFT any molars of those with DMFT,any molars,permanent teeth,age (years),9 -- 11,2011 - 2016,mean,2.3,0.12,2.0648,2.5352
12428,t13,t13,ages 6-11,9-11,9,"mean number of decayed, missing, or filled first molars of those with decayed, filled, or missing teeth",DMFT,# DMFT first molars of those with DMFT,first molars,permanent teeth,age (years),9 -- 11,1999 - 2004,mean,2,0.06,1.8824,2.1176
12446,t13,t13,ages 6-11,9-11,9,"mean number of decayed, missing, or filled first molars of those with decayed, filled, or missing teeth",DMFT,# DMFT first molars of those with DMFT,first molars,permanent teeth,age (years),9 -- 11,2011 - 2016,mean,2.2,0.11,1.9844,2.4156
12426,t11,t11,ages 6-11,9-11,9,"mean number of decayed teeth of those with decayed, filled, or missing teeth",DT,# DT if have DMFT,any teeth,permanent teeth,age (years),9 -- 11,1999 - 2004,mean,0.6,0.06,0.4824,0.7176
12444,t11,t11,ages 6-11,9-11,9,"mean number of decayed teeth of those with decayed, filled, or missing teeth",DT,# DT if have DMFT,any teeth,permanent teeth,age (years),9 -- 11,2011 - 2016,mean,0.6,0.06,0.4824,0.7176
12433,t11,t11,ages 6-11,9-11,9,"mean number of filled teeth of those with decayed, filled, or missing teeth",FT,# FT if have DMFT,any teeth,permanent teeth,age (years),9 -- 11,1999 - 2004,mean,1.6,0.1,1.404,1.796
12451,t11,t11,ages 6-11,9-11,9,"mean number of filled teeth of those with decayed, filled, or missing teeth",FT,# FT if have DMFT,any teeth,permanent teeth,age (years),9 -- 11,2011 - 2016,mean,1.9,0.1,1.704,2.096
