"fips","year","quarter","establishments","wages","date_approx"
"1000",2020,1,1508,139413478,"2020-2-15"
"1001",2020,1,11,858712,"2020-2-15"
"1003",2020,1,90,9067795,"2020-2-15"
"1005",2020,1,5,283166,"2020-2-15"
"1007",2020,1,4,393832,"2020-2-15"
"1009",2020,1,7,465816,"2020-2-15"
"1011",2020,1,2,0,"2020-2-15"
"1013",2020,1,5,369404,"2020-2-15"
"1015",2020,1,32,2995451,"2020-2-15"
"1017",2020,1,4,267917,"2020-2-15"
"1019",2020,1,4,178968,"2020-2-15"
"1021",2020,1,8,496555,"2020-2-15"
"1023",2020,1,3,203608,"2020-2-15"
"1025",2020,1,6,423837,"2020-2-15"
"1027",2020,1,1,0,"2020-2-15"
"1029",2020,1,2,0,"2020-2-15"
"1031",2020,1,13,1103966,"2020-2-15"
"1033",2020,1,14,2549338,"2020-2-15"
"1035",2020,1,2,0,"2020-2-15"
"1037",2020,1,1,0,"2020-2-15"
"1039",2020,1,9,781598,"2020-2-15"
"1041",2020,1,3,0,"2020-2-15"
"1043",2020,1,23,2227497,"2020-2-15"
"1045",2020,1,8,814737,"2020-2-15"
"1047",2020,1,5,627443,"2020-2-15"
"1049",2020,1,15,1640083,"2020-2-15"
"1051",2020,1,15,1594273,"2020-2-15"
"1053",2020,1,9,421107,"2020-2-15"
"1055",2020,1,33,2750419,"2020-2-15"
"1057",2020,1,2,0,"2020-2-15"
"1059",2020,1,6,290039,"2020-2-15"
"1061",2020,1,3,262588,"2020-2-15"
"1065",2020,1,1,0,"2020-2-15"
"1067",2020,1,4,260694,"2020-2-15"
"1069",2020,1,42,4537279,"2020-2-15"
"1071",2020,1,14,761924,"2020-2-15"
"1073",2020,1,280,27284127,"2020-2-15"
"1075",2020,1,2,0,"2020-2-15"
"1077",2020,1,33,2984083,"2020-2-15"
"1079",2020,1,2,0,"2020-2-15"
"1081",2020,1,45,4316536,"2020-2-15"
"1083",2020,1,20,1429908,"2020-2-15"
"1087",2020,1,3,0,"2020-2-15"
"1089",2020,1,162,14434698,"2020-2-15"
"1091",2020,1,3,167979,"2020-2-15"
"1093",2020,1,6,329943,"2020-2-15"
"1095",2020,1,23,2872666,"2020-2-15"
"1097",2020,1,131,11668906,"2020-2-15"
"1099",2020,1,2,0,"2020-2-15"
"1101",2020,1,91,9874422,"2020-2-15"
"1103",2020,1,43,4250945,"2020-2-15"
"1105",2020,1,1,0,"2020-2-15"
"1107",2020,1,1,0,"2020-2-15"
"1109",2020,1,4,427466,"2020-2-15"
"1111",2020,1,3,215919,"2020-2-15"
"1113",2020,1,11,936618,"2020-2-15"
"1115",2020,1,18,1519456,"2020-2-15"
"1117",2020,1,98,7792894,"2020-2-15"
"1119",2020,1,2,0,"2020-2-15"
"1121",2020,1,12,705302,"2020-2-15"
"1123",2020,1,8,570405,"2020-2-15"
"1125",2020,1,61,6473907,"2020-2-15"
"1127",2020,1,20,1723028,"2020-2-15"
"1129",2020,1,1,0,"2020-2-15"
"1131",2020,1,2,0,"2020-2-15"
"1133",2020,1,4,255281,"2020-2-15"
"1999",2020,1,10,960564,"2020-2-15"
"2000",2020,1,292,28877671,"2020-2-15"
"2016",2020,1,1,0,"2020-2-15"
"2020",2020,1,133,13993480,"2020-2-15"
"2060",2020,1,1,0,"2020-2-15"
"2063",2020,1,2,0,"2020-2-15"
"2066",2020,1,1,0,"2020-2-15"
"2090",2020,1,44,3738452,"2020-2-15"
"2110",2020,1,17,1186946,"2020-2-15"
"2122",2020,1,31,2052752,"2020-2-15"
"2130",2020,1,4,242907,"2020-2-15"
"2150",2020,1,6,3571328,"2020-2-15"
"2170",2020,1,39,3391370,"2020-2-15"
"2180",2020,1,1,0,"2020-2-15"
"2195",2020,1,2,0,"2020-2-15"
"2198",2020,1,2,0,"2020-2-15"
"2220",2020,1,4,125527,"2020-2-15"
"2240",2020,1,3,113270,"2020-2-15"
"2999",2020,1,1,0,"2020-2-15"
"4000",2020,1,2532,241756291,"2020-2-15"
"4001",2020,1,4,232309,"2020-2-15"
"4003",2020,1,28,2102955,"2020-2-15"
"4005",2020,1,44,4032571,"2020-2-15"
"4007",2020,1,12,984276,"2020-2-15"
"4009",2020,1,10,1065668,"2020-2-15"
"4011",2020,1,1,0,"2020-2-15"
"4012",2020,1,3,281108,"2020-2-15"
"4013",2020,1,1840,175794628,"2020-2-15"
"4015",2020,1,60,10629082,"2020-2-15"
"4017",2020,1,30,1751834,"2020-2-15"
"4019",2020,1,303,28339087,"2020-2-15"
"4021",2020,1,45,4092323,"2020-2-15"
"4023",2020,1,3,0,"2020-2-15"
"4025",2020,1,85,7558902,"2020-2-15"
"4027",2020,1,45,4062475,"2020-2-15"
"4999",2020,1,19,752772,"2020-2-15"
"5000",2020,1,957,88990623,"2020-2-15"
"5001",2020,1,6,685181,"2020-2-15"
"5003",2020,1,6,368980,"2020-2-15"
"5005",2020,1,13,1605894,"2020-2-15"
"5007",2020,1,100,9298567,"2020-2-15"
"5009",2020,1,16,927530,"2020-2-15"
"5011",2020,1,2,0,"2020-2-15"
"5015",2020,1,5,0,"2020-2-15"
"5017",2020,1,2,0,"2020-2-15"
"5019",2020,1,8,448584,"2020-2-15"
"5021",2020,1,3,202192,"2020-2-15"
"5023",2020,1,6,237203,"2020-2-15"
"5025",2020,1,1,0,"2020-2-15"
"5027",2020,1,6,384371,"2020-2-15"
"5029",2020,1,3,519187,"2020-2-15"
"5031",2020,1,53,6907632,"2020-2-15"
"5033",2020,1,9,904115,"2020-2-15"
"5035",2020,1,12,785012,"2020-2-15"
"5037",2020,1,6,545806,"2020-2-15"
"5039",2020,1,2,0,"2020-2-15"
"5041",2020,1,5,184640,"2020-2-15"
"5043",2020,1,2,0,"2020-2-15"
"5045",2020,1,37,4357850,"2020-2-15"
"5047",2020,1,2,0,"2020-2-15"
"5049",2020,1,2,0,"2020-2-15"
"5051",2020,1,43,3726165,"2020-2-15"
"5053",2020,1,2,0,"2020-2-15"
"5055",2020,1,9,629294,"2020-2-15"
"5057",2020,1,5,503533,"2020-2-15"
"5059",2020,1,3,0,"2020-2-15"
"5061",2020,1,4,183431,"2020-2-15"
"5063",2020,1,13,816397,"2020-2-15"
"5065",2020,1,4,81365,"2020-2-15"
"5067",2020,1,5,209003,"2020-2-15"
"5069",2020,1,20,2382984,"2020-2-15"
"5071",2020,1,7,343755,"2020-2-15"
"5075",2020,1,2,0,"2020-2-15"
"5081",2020,1,2,0,"2020-2-15"
"5083",2020,1,5,251646,"2020-2-15"
"5085",2020,1,15,1468839,"2020-2-15"
"5087",2020,1,3,236139,"2020-2-15"
"5089",2020,1,1,0,"2020-2-15"
"5091",2020,1,10,561693,"2020-2-15"
"5093",2020,1,7,0,"2020-2-15"
"5095",2020,1,1,0,"2020-2-15"
"5097",2020,1,2,0,"2020-2-15"
"5099",2020,1,1,0,"2020-2-15"
"5103",2020,1,8,338918,"2020-2-15"
"5105",2020,1,1,0,"2020-2-15"
"5107",2020,1,3,349606,"2020-2-15"
"5109",2020,1,2,0,"2020-2-15"
"5111",2020,1,3,189352,"2020-2-15"
"5113",2020,1,3,104997,"2020-2-15"
"5115",2020,1,22,1570671,"2020-2-15"
"5117",2020,1,1,0,"2020-2-15"
"5119",2020,1,187,16130426,"2020-2-15"
"5121",2020,1,5,324172,"2020-2-15"
"5123",2020,1,4,0,"2020-2-15"
"5125",2020,1,24,3202690,"2020-2-15"
"5127",2020,1,1,0,"2020-2-15"
"5129",2020,1,1,0,"2020-2-15"
"5131",2020,1,62,5730596,"2020-2-15"
"5133",2020,1,4,290744,"2020-2-15"
"5135",2020,1,2,0,"2020-2-15"
"5137",2020,1,3,0,"2020-2-15"
"5139",2020,1,15,1105686,"2020-2-15"
"5141",2020,1,3,319375,"2020-2-15"
"5143",2020,1,91,11540692,"2020-2-15"
"5145",2020,1,21,2183609,"2020-2-15"
