"date","state","cases","deaths","state_name"
"05/04/2020","KY",5245,8,"Kentucky"
"12/08/2020","OK",205999,0,"Oklahoma"
"04/30/2020","IA",,14,"Iowa"
"06/25/2020","NE",,3,"Nebraska"
"02/24/2020","CA",,,"California"
"11/14/2020","VA",201961,1,"Virginia"
"12/02/2020","NY",,56,"New York"
"01/23/2020","WY",,,"Wyoming"
"05/05/2020","GA",28196,47,"Georgia"
"01/29/2020","MA",,,"Massachusetts"
"02/25/2020","NJ",,,"New Jersey"
"05/16/2020","AS",,0,
"03/13/2020","MS",,,"Mississippi"
"12/10/2020","WY",38223,0,"Wyoming"
"07/29/2020","NV",,21,"Nevada"
"06/16/2020","NJ",,51,"New Jersey"
"06/18/2020","NJ",,31,"New Jersey"
"12/02/2020","AR",,12,"Arkansas"
"04/05/2020","PR",,,"Puerto Rico"
"08/06/2020","MS",64400,24,"Mississippi"
"11/12/2020","GA",416217,1026,"Georgia"
"05/28/2020","IL",115833,103,"Illinois"
"11/21/2020","IA",,25,"Iowa"
"12/18/2020","IA",,0,"Iowa"
"05/21/2020","CO",23121,10,"Colorado"
"09/19/2020","IN",,8,"Indiana"
"11/09/2020","TX",,26,"Texas"
"01/28/2020","SC",,,"South Carolina"
"01/28/2020","SC",,,"South Dakota"
"12/19/2020","TX",,272,"Texas"
"09/13/2020","MS",90018,9,"Mississippi"
"12/02/2020","NJ",,69,"New Jersey"
"11/03/2020","NY",,8,"New York"
"04/10/2020","CT",,,"Connecticut"
"08/21/2020","ND",9736,3,"North Dakota"
"06/18/2020","WA",,19,"Washington"
"02/27/2020","ND",,,"North Dakota"
"03/17/2020","NM",,,"New Mexico"
"04/09/2020","KY",,,"Kentucky"
"12/29/2020","TX",,241,"Texas"
"11/17/2020","OK",169762,55,"Oklahoma"
"03/09/2020","NYC",,,
"11/08/2020","WI",281910,11,"Wisconsin"
"10/30/2020","TN",259488,87,"Tennessee"
"10/28/2020","AR",,18,"Arkansas"
"12/23/2020","OH",644822,135,"Ohio"
"10/22/2020","WV",21057,5,"West Virginia"
"03/30/2020","ND",,,"North Dakota"
"02/15/2020","IN",,,"Indiana"
"12/09/2020","IL",812430,279,"Illinois"
"12/28/2020","AS",,0,
"10/29/2020","NM",,3,"New Mexico"
"02/23/2020","MN",,,"Minnesota"
"02/23/2020","MN",,,"Montana"
"09/04/2020","LA",,14,"Louisiana"
"08/21/2020","NYC",232789,3,
"09/18/2020","SC",136318,20,"South Carolina"
"09/18/2020","SC",136318,20,"South Dakota"
"02/09/2020","ND",,,"North Dakota"
"06/09/2020","RMI",0,0,
"09/23/2020","IN",,10,"Indiana"
"03/20/2020","RMI",,,
"10/10/2020","AL",164526,10,"Alabama"
"03/12/2020","SC",,,"South Carolina"
"03/12/2020","SC",,,"South Dakota"
"04/10/2020","NE",,,"Nebraska"
"04/11/2020","MD",,,"Maryland"
"09/28/2020","MI",135702,6,"Michigan"
"06/13/2020","PA",78462,0,"Pennsylvania"
"08/17/2020","AR",,4,"Arkansas"
"11/27/2020","NJ",,17,"New Jersey"
"07/30/2020","CO",46204,0,"Colorado"
"05/05/2020","IN",,62,"Indiana"
"08/28/2020","RMI",0,0,
"03/25/2020","OH",,,"Ohio"
"10/11/2020","TX",,31,"Texas"
"02/01/2020","WI",,,"Wisconsin"
"09/10/2020","WA",,7,"Washington"
"07/05/2020","CT",46717,0,"Connecticut"
"03/22/2020","PA",,,"Pennsylvania"
"08/01/2020","AZ",177022,53,"Arizona"
"10/06/2020","WY",6770,0,"Wyoming"
"01/31/2020","GA",,,"Georgia"
"01/26/2020","PR",,,"Puerto Rico"
"02/06/2020","ID",,,"Idaho"
"02/11/2020","NYC",,,
"03/02/2020","OH",,,"Ohio"
"06/19/2020","NJ",,35,"New Jersey"
"12/13/2020","IL",848904,99,"Illinois"
"02/18/2020","AR",,,"Arkansas"
"02/26/2020","MD",,,"Maryland"
"10/21/2020","NE",,11,"Nebraska"
"11/23/2020","MA",211731,18,"Massachusetts"
"05/16/2020","WI",12187,8,"Wisconsin"
"12/07/2020","IL",796264,112,"Illinois"
"04/11/2020","WA",,,"Washington"
"08/19/2020","CO",53901,1,"Colorado"
"04/24/2020","FL",,59,"Florida"
"06/16/2020","CT",45349,6,"Connecticut"
"05/19/2020","NJ",,151,"New Jersey"
"09/25/2020","WA",,20,"Washington"
"12/17/2020","MS",190411,47,"Mississippi"
"08/09/2020","GA",221951,13,"Georgia"
"12/03/2020","GA",487978,113,"Georgia"
"04/28/2020","WY",536,0,"Wyoming"
"11/04/2020","TX",,126,"Texas"
"10/22/2020","LA",,9,"Louisiana"
"02/01/2020","WV",,,"West Virginia"
"05/23/2020","ID",2626,0,"Idaho"
"07/24/2020","PA",106625,19,"Pennsylvania"
"06/03/2020","IN",,10,"Indiana"
"11/27/2020","OH",399808,81,"Ohio"
"09/03/2020","MN",,17,"Minnesota"
"09/03/2020","MN",,17,"Montana"
"04/21/2020","WI",4620,12,"Wisconsin"
"12/10/2020","GA",525402,58,"Georgia"
"04/15/2020","NYC",116073,8644,
"09/21/2020","PA",150812,98,"Pennsylvania"
"10/07/2020","CO",74922,6,"Colorado"
"12/05/2020","IL",779975,265,"Illinois"
"02/13/2020","MS",,,"Mississippi"
"12/26/2020","OK",285914,17,"Oklahoma"
"09/15/2020","IN",,22,"Indiana"
"03/06/2020","GA",8,,"Georgia"
"02/29/2020","CA",,,"California"
"08/14/2020","AR",,5,"Arkansas"
"09/12/2020","MA",132533,16,"Massachusetts"
"03/15/2020","AS",,,
"03/18/2020","MN",,,"Minnesota"
"03/18/2020","MN",,,"Montana"
"05/26/2020","ND",2422,0,"North Dakota"
"08/03/2020","AS",,0,
"11/10/2020","CT",82987,12,"Connecticut"
"05/11/2020","NJ",,55,"New Jersey"
"06/23/2020","AS",,0,
"02/14/2020","AZ",,,"Arizona"
"05/08/2020","AS",,0,
"06/04/2020","FL",,41,"Florida"
"02/06/2020","NV",,,"Nevada"
"10/10/2020","PR",53671,1,"Puerto Rico"
"05/05/2020","ID",2127,2,"Idaho"
"10/03/2020","FL",,76,"Florida"
"08/28/2020","PR",32550,5,"Puerto Rico"
"05/26/2020","ID",2699,2,"Idaho"
"01/22/2020","AL",,,"Alabama"
"03/29/2020","CA",,,"California"
"02/01/2020","AS",,,
"04/05/2020","WY",,,"Wyoming"
"10/18/2020","AR",,21,"Arkansas"
"12/18/2020","GA",576537,38,"Georgia"
"07/25/2020","GA",168460,53,"Georgia"
"11/05/2020","NYC",271053,6,
"10/07/2020","AZ",222538,20,"Arizona"
"07/25/2020","CA",,151,"California"
"04/01/2020","FL",,,"Florida"
"04/30/2020","NV",,24,"Nevada"
"06/13/2020","NE",,0,"Nebraska"
"02/18/2020","CA",,,"California"
"06/19/2020","IA",,1,"Iowa"
"03/19/2020","NV",,,"Nevada"
"10/06/2020","FL",,57,"Florida"
"03/16/2020","OH",,,"Ohio"
"11/06/2020","WV",27087,7,"West Virginia"
"10/26/2020","WV",22223,1,"West Virginia"
"12/07/2020","FL",,111,"Florida"
"12/18/2020","CO",304107,44,"Colorado"
"04/09/2020","NJ",,,"New Jersey"
"06/20/2020","WV",2500,0,"West Virginia"
"04/18/2020","OH",10222,33,"Ohio"
"08/15/2020","CA",,151,"California"
"12/01/2020","FL",,98,"Florida"
"04/04/2020","WY",,,"Wyoming"
"12/11/2020","MS",177947,86,"Mississippi"
"03/07/2020","AL",,,"Alabama"
"03/31/2020","OK",,,"Oklahoma"
"04/14/2020","NE",,,"Nebraska"
"04/14/2020","NYC",,,
"03/27/2020","GA",2367,,"Georgia"
"02/15/2020","MA",,,"Massachusetts"
"07/07/2020","RMI",0,0,
"08/09/2020","NY",,4,"New York"
"05/26/2020","IL",113195,39,"Illinois"
"03/20/2020","MN",,,"Minnesota"
"03/20/2020","MN",,,"Montana"
"08/21/2020","IN",,21,"Indiana"
"11/24/2020","SC",209230,27,"South Carolina"
"11/24/2020","SC",209230,27,"South Dakota"
"10/16/2020","CA",,73,"California"
"05/04/2020","MD",,72,"Maryland"
"08/09/2020","RMI",0,0,
"05/13/2020","AR",,2,"Arkansas"
"09/29/2020","RMI",0,0,
"09/19/2020","SC",137240,15,"South Carolina"
"09/19/2020","SC",137240,15,"South Dakota"
"02/17/2020","MD",,,"Maryland"
"11/30/2020","AS",,0,
"07/05/2020","MD",,3,"Maryland"
"06/13/2020","NYC",206322,29,
"02/08/2020","MA",,,"Massachusetts"
"10/22/2020","WY",10119,7,"Wyoming"
"10/25/2020","NV",,5,"Nevada"
"11/07/2020","AL",202482,41,"Alabama"
"08/11/2020","MN",,0,"Minnesota"
"08/11/2020","MN",,0,"Montana"
"05/10/2020","CT",33554,-12,"Connecticut"
"12/15/2020","IL",863477,149,"Illinois"
"05/11/2020","WY",669,0,"Wyoming"
"09/14/2020","CA",,56,"California"
"04/19/2020","AL",4946,52,"Alabama"
"12/03/2020","CA",,113,"California"
"10/13/2020","NY",,4,"New York"
"06/08/2020","MA",103626,36,"Massachusetts"
"09/08/2020","AL",133606,20,"Alabama"
"11/22/2020","WV",40478,4,"West Virginia"
"06/23/2020","AL",31234,27,"Alabama"
"04/12/2020","TX",,,"Texas"
"04/16/2020","KY",,,"Kentucky"
"04/20/2020","WV",902,6,"West Virginia"
"09/07/2020","AL",133604,-19,"Alabama"
"03/26/2020","AZ",,,"Arizona"
"12/11/2020","AS",,0,
"06/22/2020","PA",82186,-264,"Pennsylvania"
"02/07/2020","KY",,,"Kentucky"
"06/27/2020","MD",,10,"Maryland"
"06/29/2020","AR",,1,"Arkansas"
"12/22/2020","SC",278055,13,"South Carolina"
"12/22/2020","SC",278055,13,"South Dakota"
"05/19/2020","ND",1994,1,"North Dakota"
"08/11/2020","MI",98213,7,"Michigan"
"05/21/2020","IA",,21,"Iowa"
"06/05/2020","GA",49543,27,"Georgia"
"04/20/2020","GA",18416,,"Georgia"
"07/31/2020","AZ",174010,68,"Arizona"
"12/29/2020","NJ",,126,"New Jersey"
"09/23/2020","IL",281312,22,"Illinois"
"09/18/2020","NJ",,4,"New Jersey"
"05/26/2020","AZ",16783,1,"Arizona"
"08/16/2020","TX",,143,"Texas"
"07/14/2020","CO",37686,14,"Colorado"
"06/13/2020","MD",,14,"Maryland"
"11/11/2020","MI",251872,42,"Michigan"
"06/03/2020","TN",24990,7,"Tennessee"
"03/01/2020","MN",,,"Minnesota"
"03/01/2020","MN",,,"Montana"
"02/22/2020","NE",,,"Nebraska"
"12/03/2020","TX",,244,"Texas"
"05/19/2020","AZ",14566,18,"Arizona"
"04/17/2020","OH",9107,30,"Ohio"
"10/11/2020","CA",,64,"California"
"10/27/2020","GA",379592,17,"Georgia"
"03/16/2020","PA",,,"Pennsylvania"
"05/16/2020","ID",2419,0,"Idaho"
"10/08/2020","CA",,133,"California"
"02/08/2020","MN",,,"Minnesota"
"02/08/2020","MN",,,"Montana"
"07/13/2020","WA",,-39,"Washington"
"08/18/2020","CT",51255,1,"Connecticut"
"08/15/2020","CT",50897,0,"Connecticut"
"05/25/2020","TX",,8,"Texas"
"08/26/2020","AS",,0,
"06/30/2020","OH",51789,50,"Ohio"
"12/24/2020","OK",276095,0,"Oklahoma"
"02/04/2020","NJ",,,"New Jersey"
"10/04/2020","NV",,3,"Nevada"
"09/16/2020","OH",140518,49,"Ohio"
"09/23/2020","WA",,11,"Washington"
"05/03/2020","SC",6626,8,"South Carolina"
"05/03/2020","SC",6626,8,"South Dakota"
"11/21/2020","MS",143180,29,"Mississippi"
"07/27/2020","FL",,77,"Florida"
"03/11/2020","GA",55,,"Georgia"
"08/20/2020","WY",3468,0,"Wyoming"
"03/25/2020","MS",,,"Mississippi"
"12/07/2020","WI",443389,23,"Wisconsin"
"12/16/2020","MA",302212,71,"Massachusetts"
"07/13/2020","NYC",221089,14,
"04/17/2020","IA",,,"Iowa"
"11/16/2020","ND",65967,26,"North Dakota"
"11/01/2020","WY",13723,0,"Wyoming"
"06/03/2020","WI",19400,9,"Wisconsin"
"12/15/2020","MN",,23,"Minnesota"
"12/15/2020","MN",,23,"Montana"
"12/26/2020","PR",73227,17,"Puerto Rico"
"09/22/2020","NE",,9,"Nebraska"
"10/31/2020","AZ",245946,67,"Arizona"
"06/29/2020","WI",31033,0,"Wisconsin"
"10/20/2020","AL",174528,20,"Alabama"
"06/16/2020","VA",55775,13,"Virginia"
"09/20/2020","AL",144962,0,"Alabama"
"06/09/2020","IA",,10,"Iowa"
"04/22/2020","WY",447,0,"Wyoming"
"07/18/2020","TN",76336,24,"Tennessee"
"02/05/2020","GA",,,"Georgia"
"06/12/2020","IL",132059,81,"Illinois"
"04/08/2020","WV",,,"West Virginia"
"05/01/2020","MD",,0,"Maryland"
"12/12/2020","NJ",,70,"New Jersey"
"07/11/2020","TX",,99,"Texas"
"08/13/2020","ID",26631,6,"Idaho"
"07/01/2020","WV",2979,0,"West Virginia"
"12/03/2020","FL",,107,"Florida"
"08/26/2020","NE",,3,"Nebraska"
"03/01/2020","PR",,,"Puerto Rico"
"09/27/2020","SC",145887,3,"South Carolina"
"09/27/2020","SC",145887,3,"South Dakota"
"09/30/2020","ID",42048,6,"Idaho"
"06/05/2020","SC",13453,13,"South Carolina"
"06/05/2020","SC",13453,13,"South Dakota"
"11/12/2020","MI",259183,53,"Michigan"
"02/29/2020","KY",,,"Kentucky"
"10/29/2020","SC",174591,15,"South Carolina"
"10/29/2020","SC",174591,15,"South Dakota"
"03/29/2020","GA",2835,,"Georgia"
"02/27/2020","PA",,,"Pennsylvania"
"11/07/2020","NV",,5,"Nevada"
"07/14/2020","NE",,-2,"Nebraska"
"04/05/2020","MN",,,"Minnesota"
"04/05/2020","MN",,,"Montana"
"06/07/2020","OH",38476,7,"Ohio"
"01/23/2020","NJ",,,"New Jersey"
"11/19/2020","MS",140429,26,"Mississippi"
"05/24/2020","MA",92675,68,"Massachusetts"
"02/10/2020","OH",,,"Ohio"
"07/05/2020","IN",,6,"Indiana"
"04/05/2020","MS",,,"Mississippi"
"06/04/2020","LA",,13,"Louisiana"
"10/27/2020","WV",22706,8,"West Virginia"
"04/07/2020","WA",,,"Washington"
"12/07/2020","GA",506690,54,"Georgia"
"07/13/2020","KY",19653,4,"Kentucky"
"02/08/2020","WY",,,"Wyoming"
"12/04/2020","NV",,23,"Nevada"
"06/19/2020","CT",45557,17,"Connecticut"
"03/14/2020","IN",,,"Indiana"
"09/05/2020","MA",130253,-35,"Massachusetts"
"10/08/2020","MD",,12,"Maryland"
"10/18/2020","MS",110592,0,"Mississippi"
"07/15/2020","MI",78913,4,"Michigan"
"04/15/2020","TN",,,"Tennessee"
"10/20/2020","MI",165994,18,"Michigan"
"05/12/2020","WA",,17,"Washington"
"01/23/2020","AZ",,,"Arizona"
"06/03/2020","MS",16560,13,"Mississippi"
"03/02/2020","SC",,,"South Carolina"
"03/02/2020","SC",,,"South Dakota"
"11/20/2020","NE",,43,"Nebraska"
"04/04/2020","WI",,,"Wisconsin"
"02/25/2020","RMI",,,
"04/06/2020","SC",,,"South Carolina"
"04/06/2020","SC",,,"South Dakota"
"04/04/2020","LA",,,"Louisiana"
"03/03/2020","ID",,,"Idaho"
"06/02/2020","LA",,34,"Louisiana"
"12/21/2020","AL",324832,0,"Alabama"
"07/19/2020","ID",14873,0,"Idaho"
"10/15/2020","MI",156913,36,"Michigan"
"08/26/2020","CO",55994,1,"Colorado"
"04/08/2020","IN",,,"Indiana"
"03/04/2020","ID",,,"Idaho"
"06/05/2020","IN",,28,"Indiana"
"08/24/2020","AZ",198414,1,"Arizona"
"12/26/2020","ID",135787,6,"Idaho"
"05/06/2020","AL",8691,19,"Alabama"
"12/24/2020","IL",925107,140,"Illinois"
"07/03/2020","CA",,100,"California"
"07/10/2020","MN",,4,"Minnesota"
"07/10/2020","MN",,4,"Montana"
"08/25/2020","WV",9395,8,"West Virginia"
"12/23/2020","MS",202651,33,"Mississippi"
"08/19/2020","NYC",232371,-6,
"08/30/2020","WV",10110,1,"West Virginia"
"04/29/2020","CO",14675,35,"Colorado"
"06/11/2020","KY",11945,9,"Kentucky"
"12/08/2020","MD",,46,"Maryland"
"09/27/2020","IA",,4,"Iowa"
"11/25/2020","NY",,33,"New York"
"02/01/2020","CT",,,"Connecticut"
"07/04/2020","OK",15645,-9,"Oklahoma"
"11/05/2020","MS",124854,18,"Mississippi"
"02/03/2020","AZ",,,"Arizona"
"08/07/2020","NV",,20,"Nevada"
"10/05/2020","AZ",221070,1,"Arizona"
"02/20/2020","WY",,,"Wyoming"
"05/22/2020","AZ",15608,12,"Arizona"
"03/30/2020","RMI",,,
"05/14/2020","NJ",,244,"New Jersey"
"06/29/2020","CO",32511,6,"Colorado"
"09/12/2020","ID",35167,3,"Idaho"
"03/25/2020","NE",,,"Nebraska"
"09/17/2020","WV",13430,4,"West Virginia"
"06/30/2020","LA",,22,"Louisiana"
"12/20/2020","NJ",,21,"New Jersey"
"09/28/2020","WI",124217,2,"Wisconsin"
"09/20/2020","AS",,0,
"05/15/2020","KY",7444,4,"Kentucky"
"06/29/2020","WV",2870,0,"West Virginia"
"06/10/2020","IA",,7,"Iowa"
"06/19/2020","AS",,0,
"12/09/2020","TN",422962,82,"Tennessee"
"04/24/2020","VA",12366,27,"Virginia"
"02/08/2020","KY",,,"Kentucky"
