"id","confidence_level","confidence_value","order"
4435,"lower_CI",NA,1
4435,"upper_CI",NA,9998
1724,"lower_CI",NA,3
1724,"upper_CI",NA,9996
1727,"lower_CI",NA,5
1727,"upper_CI",NA,9994
2081,"lower_CI",NA,7
2081,"upper_CI",NA,9992
1900,"lower_CI",59.5,9
1900,"upper_CI",69.7,9990
1901,"lower_CI",32.3,11
1901,"upper_CI",41.6,9988
2019,"lower_CI",34.6,13
2019,"upper_CI",51.8,9986
5670,"lower_CI",10.7,15
5670,"upper_CI",11,9984
5689,"lower_CI",9.9,17
5689,"upper_CI",11.9,9982
5708,"lower_CI",9.7,19
5708,"upper_CI",17.8,9980
5727,"lower_CI",8.1,21
5727,"upper_CI",9.8,9978
5763,"lower_CI",10.5,23
5763,"upper_CI",11.2,9976
5782,"lower_CI",7,25
5782,"upper_CI",8.8,9974
5801,"lower_CI",10,27
5801,"upper_CI",12.1,9972
5820,"lower_CI",8.9,29
5820,"upper_CI",13.7,9970
5839,"lower_CI",11.5,31
5839,"upper_CI",18,9968
5858,"lower_CI",13.5,33
5858,"upper_CI",14.6,9966
5877,"lower_CI",9.7,35
5877,"upper_CI",11.3,9964
5896,"lower_CI",9.4,37
5896,"upper_CI",13.2,9962
5915,"lower_CI",8.4,39
5915,"upper_CI",12.1,9960
5934,"lower_CI",10.5,41
5934,"upper_CI",11.7,9958
5953,"lower_CI",9.4,43
5953,"upper_CI",11,9956
5972,"lower_CI",9.7,45
5972,"upper_CI",12.1,9954
5991,"lower_CI",9.3,47
5991,"upper_CI",11.8,9952
6010,"lower_CI",10.3,49
6010,"upper_CI",12.4,9950
6029,"lower_CI",12.4,51
6029,"upper_CI",14.7,9948
6048,"lower_CI",9.6,53
6048,"upper_CI",13.2,9946
6067,"lower_CI",10.3,55
6067,"upper_CI",12.2,9944
6086,"lower_CI",10.8,57
6086,"upper_CI",12.5,9942
6105,"lower_CI",10.3,59
6105,"upper_CI",11.6,9940
6124,"lower_CI",9.9,61
6124,"upper_CI",11.8,9938
6158,"lower_CI",9.5,63
6158,"upper_CI",11.2,9936
