"dataset","NOHSS_topic","indicator_short","indicator_text","indicator_tooltip","geo_name","geo_abr","fips_code","fips_code_1","years","year_min","desired_direction","unit","value","lower_CI","upper_CI","indicator_calculation","base_population","geo_type","measure_value","measure_group","indicator","X6","geo_level","geo_abr_1","service","id"
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Alabama","AL","1",NA,"2018","2018","higher","percent",60.8,59.2,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1001
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Alaska","AK","2",NA,"2018","2018","higher","percent",69.3,66.8,71.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1002
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Arizona","AZ","4",NA,"2018","2018","higher","percent",62.3,60.5,64.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1003
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Arkansas","AR","5",NA,"2018","2018","higher","percent",56.1,54.1,58.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1004
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","California","CA","6",NA,"2018","2018","higher","percent",67.4,66.2,68.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1005
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Colorado","CO","8",NA,"2018","2018","higher","percent",67.6,66.4,68.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1006
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Connecticut","CT","9",NA,"2018","2018","higher","percent",76.5,75.4,77.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1007
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Delaware","DE","10",NA,"2018","2018","higher","percent",66.5,64.7,68.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1008
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","District of Columbia","DC","11",NA,"2018","2018","higher","percent",73.8,72,75.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1009
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Florida","FL","12",NA,"2018","2018","higher","percent",65.7,64.1,67.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1010
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Georgia","GA","13",NA,"2018","2018","higher","percent",62.5,61.2,63.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1011
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Guam","GU","66",NA,"2018","2018","higher","percent",58.2,54.6,61.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1012
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Hawaii","HI","15",NA,"2018","2018","higher","percent",75.3,74,76.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1013
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Idaho","ID","16",NA,"2018","2018","higher","percent",65.6,63.4,67.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1014
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Illinois","IL","17",NA,"2018","2018","higher","percent",68.1,66.5,69.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1015
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Indiana","IN","18",NA,"2018","2018","higher","percent",64.4,62.9,65.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1016
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Iowa","IA","19",NA,"2018","2018","higher","percent",70.8,69.7,71.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1017
"Behavior Risk Factor Surveillance System","access to care","adult diabetes dental visit","percent of adults with diabetes who visited the dentist","adults with diabetes had a dental visit in the previous year","Kansas","KS","20",NA,"2018","2018","higher","percent",67.9,66.8,69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1018
